0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11612 15521	1	 * 	298.65	橙5易伤3时间1等级2雷电	13468易伤278时间58雷电8序列升级9等级a核
2	14212 22354	10	 * 	290.32	橙5易伤2伤害2时间	14689易伤2攻速39伤害5立即金币79时间9序列升级a核
3	11226 14311	6	 * 	288.27	橙5易伤2等级1伤害	1569a易伤2掉矿3伤害45等级5序列升级7全技能8核
4	25226 14311	6	 * 	287.62	橙4易伤2等级2伤害	15伤害2矿等369a易伤45等级5序列升级7全技能8核
5	13214 33365	7	   	287.47	橙4易伤2等级2伤害1卖塔	1479易伤2金币生成37伤害5卖塔67等级7序列升级8全技能a核
6	22113 61521	1	   	286.26	橙4易伤2等级2伤害	18伤害2489易伤3掉矿5攻速6核78等级8序列升级a策反
7	22113 61524	1	   	286.26	橙4易伤2等级2伤害	18伤害2489易伤3掉矿5攻速6核78等级8序列升级a最后敌人
8	22113 61525	1	   	286.26	橙4易伤2等级2伤害	18伤害2489易伤3掉矿5攻速6核78等级8序列升级a平台
9	22113 61526	1	   	286.26	橙4易伤2等级2伤害	18伤害2489易伤3掉矿5攻速6核78等级8序列升级a随机矿
10	11226 14315	6	   	286.18	橙4易伤2等级1伤害1时间	1569易伤2掉矿3伤害45等级5序列升级7全技能8核a时间
11	22113 61522	1	   	286.16	橙4易伤2等级2伤害	18伤害2489易伤3掉矿5攻速6核78等级8序列升级a挖尘
12	34213 23641	3	 * 	285.27	橙3易伤2等级2伤害2暴击	18等级29伤害348易伤5攻速6矿等78暴击8序列升级a核
13	34213 23641	4	   	285.27	橙3易伤2等级2伤害2暴击	18等级29伤害348易伤5攻速6矿等78暴击8序列升级a核
14	62151 11223	5	 * 	283.38	橙3易伤3等级3时间1伤害	1平台238时间468易伤568等级68序列升级7赏金邻近9伤害a核
15	62152 11223	4	   	283.38	橙3易伤3等级3时间1伤害	1平台238时间468易伤568等级68序列升级7赏金邻近9伤害a核
16	22212 22354	10	   	282.01	橙5易伤2伤害2时间	19伤害2随机矿34689易伤5立即金币79时间9序列升级a核
17	24212 22354	10	   	281.91	橙5易伤2伤害2时间1核弹	19伤害2核弹34689易伤5立即金币79时间9序列升级a核
