0	Index      	Bounty	 *	Score 	Summary	Detail	
1	54111 33164	8	 * 	301.06	橙3易伤2等级3时间2伤害	145时间249易伤3随机矿49序列升级6加一79等级89伤害a核
2	24113 36253	2	 * 	294.10	橙4易伤2等级2伤害1时间	1289易伤38等级4赏金邻近5赏金塔68伤害7核8序列升级a时间
3	24133 36253	2	   	294.10	橙4易伤2等级2伤害1时间	1289易伤38等级4赏金塔5赏金邻近68伤害7核8序列升级a时间
4	65117 31234	8	 * 	292.52	橙3易伤3伤害2等级2暴击	145伤害24a易伤3加一4a序列升级6核7掉矿8a暴击9a等级
5	65111 34284	7	 * 	290.74	橙4易伤3伤害1等级1时间	149伤害2489易伤3加一49序列升级5时间6等级79挖尘a核
6	62143 43222	4	 * 	288.81	橙3易伤3伤害3等级1时间	145伤害2立即金币345易伤45序列升级678等级9时间a核
7	65111 33384	6	   	288.71	橙3易伤3伤害2等级1时间	149伤害249易伤3加一49序列升级5时间67等级89挖尘a核
8	33145 12612	7	 * 	284.30	橙2易伤3伤害2时间1等级2雷电	18雷电28a伤害3等级4全技能57时间68易伤8序列升级9核
9	65311 36323	6	   	284.04	橙3易伤2等级1伤害2暴击1时间	1伤害24a易伤34低血量敌人4a序列升级5时间6a等级7攻速8核9a暴击
10	24113 36223	2	   	280.12	橙3易伤2等级2伤害1暴击	128易伤38等级4赏金邻近5赏金塔68伤害7核8序列升级9全技能a暴击
11	24133 36223	2	   	280.12	橙3易伤2等级2伤害1暴击	128易伤38等级4赏金塔5赏金邻近68伤害7核8序列升级9全技能a暴击
12	65111 41348	5	 * 	279.33	橙4易伤3伤害2时间	149伤害2469易伤3加一469序列升级56时间7掉矿89金币生成a核
13	65111 42246	10	   	278.24	橙3易伤3伤害2时间2暴击	146伤害249易伤3加一49序列升级59时间7随机矿89暴击a核
14	22333 36265	4	   	278.05	橙4易伤2等级2伤害	1689易伤29最后敌人37伤害4金币生成59等级9序列升级a核
15	24113 36242	2	   	277.85	橙4易伤2等级2伤害	128a易伤38等级4赏金邻近5赏金塔68伤害7核8序列升级9敌人爆炸
16	24113 36251	2	   	277.85	橙4易伤2等级2伤害	1289易伤38等级4赏金邻近5赏金塔68伤害7核8序列升级a敌人爆炸
17	24113 36252	2	   	277.85	橙4易伤2等级2伤害	1289易伤38等级4赏金邻近5赏金塔68伤害7核8序列升级a策反
18	24133 36242	2	   	277.85	橙4易伤2等级2伤害	128a易伤38等级4赏金塔5赏金邻近68伤害7核8序列升级9敌人爆炸
19	24133 36251	2	   	277.85	橙4易伤2等级2伤害	1289易伤38等级4赏金塔5赏金邻近68伤害7核8序列升级a敌人爆炸
20	24133 36252	2	   	277.85	橙4易伤2等级2伤害	1289易伤38等级4赏金塔5赏金邻近68伤害7核8序列升级a策反
21	33145 31612	5	   	277.49	橙2易伤3伤害1等级2全技能1时间2雷电	18雷电28a伤害3等级46全技能5时间78易伤8序列升级9核
22	22331 53542	4	   	277.32	橙4易伤2伤害2时间1暴击	168a易伤2最后敌人38伤害4金币生成5暴击78时间8序列升级9核
23	23331 53542	4	   	277.32	橙4易伤2伤害2时间1暴击	168a易伤2低血量敌人38伤害4金币生成5暴击78时间8序列升级9核
24	21331 53542	4	   	277.22	橙4易伤2伤害2时间1暴击	168a易伤2挖尘38伤害4金币生成5暴击78时间8序列升级9核
25	65112 71313	7	   	276.76	橙3易伤3伤害1等级1暴击	14a伤害24a易伤3加一4a序列升级5全技能6等级7核8暴击9a掉矿
26	65112 28344	5	 * 	276.49	橙5易伤3伤害	14a伤害2468a易伤3加一4a序列升级5全技能7a最后敌人9核
27	24113 36222	2	   	274.77	橙3易伤2等级2伤害	128易伤38等级4赏金邻近5赏金塔68伤害7核8序列升级9全技能a雷电
28	24133 36222	2	   	274.77	橙3易伤2等级2伤害	128易伤38等级4赏金塔5赏金邻近68伤害7核8序列升级9全技能a雷电
29	21316 65322	8	   	274.39	橙4易伤3伤害1等级	168a易伤246挖尘345伤害46序列升级7核9等级
30	33312 33663	3	   	274.39	橙2易伤2伤害2时间1等级1暴击	1雷电29伤害3攻速4暴击5额外掉落69易伤7等级89时间9序列升级a核
31	36355 23122	10	   	273.90	橙4易伤2伤害1等级2雷电	18雷电2额外掉落3基地爆炸4568易伤78伤害8序列升级9核a等级
32	33151 11246	6	   	273.70	橙4易伤2伤害1等级2雷电	14雷电25伤害3等级689a易伤7核
33	22632 61323	5	   	273.01	橙3易伤2等级2伤害1时间1卖塔	18a易伤2最后敌人3a等级4时间5策反6a伤害7核9卖塔a序列升级
34	65113 13242	5	   	272.66	橙3易伤3伤害2等级	149伤害246易伤3加一49序列升级59金币生成7核89等级a低血量敌人
35	65113 13243	5	   	272.66	橙3易伤3伤害2等级	149伤害246易伤3加一49序列升级59金币生成7核89等级a基地爆炸
36	65113 13246	5	   	272.66	橙3易伤3伤害2等级	149伤害246易伤3加一49序列升级59金币生成7核89等级a平台
37	65113 13248	5	   	272.66	橙3易伤3伤害2等级	149伤害246易伤3加一49序列升级59金币生成7核89等级a额外掉落
38	65113 43242	6	   	272.66	橙3易伤3伤害2等级	149伤害246易伤3加一49序列升级59金币生成7核89等级a低血量敌人
39	65113 43243	6	   	272.66	橙3易伤3伤害2等级	149伤害246易伤3加一49序列升级59金币生成7核89等级a基地爆炸
40	65113 43246	6	   	272.66	橙3易伤3伤害2等级	149伤害246易伤3加一49序列升级59金币生成7核89等级a平台
41	65113 43248	6	   	272.66	橙3易伤3伤害2等级	149伤害246易伤3加一49序列升级59金币生成7核89等级a额外掉落
42	62143 43212	4	   	272.56	橙3易伤3伤害3等级	145伤害2立即金币345易伤45序列升级678等级9敌人爆炸a核
43	65113 13241	5	   	272.56	橙3易伤3伤害2等级	149伤害246易伤3加一49序列升级59金币生成7核89等级a赏金邻近
44	65113 13244	5	   	272.56	橙3易伤3伤害2等级	149伤害246易伤3加一49序列升级59金币生成7核89等级a赏金塔
45	65113 43241	6	   	272.56	橙3易伤3伤害2等级	149伤害246易伤3加一49序列升级59金币生成7核89等级a赏金邻近
46	65113 43244	6	   	272.56	橙3易伤3伤害2等级	149伤害246易伤3加一49序列升级59金币生成7核89等级a赏金塔
47	24113 36213	2	   	272.46	橙3易伤3伤害2等级	128易伤38等级4赏金邻近5赏金塔68a伤害7核8序列升级9金币生成
48	24133 36213	2	   	272.46	橙3易伤3伤害2等级	128易伤38等级4赏金塔5赏金邻近68a伤害7核8序列升级9金币生成
49	65112 53344	4	   	272.46	橙3易伤3伤害2等级	149伤害249易伤3加一49序列升级5最后敌人67等级89挖尘a核
50	65113 13247	5	   	272.41	橙3易伤3伤害2等级1卖塔	149伤害246易伤3加一49序列升级59金币生成7核89等级a卖塔
51	65113 43247	6	   	272.41	橙3易伤3伤害2等级1卖塔	149伤害246易伤3加一49序列升级59金币生成7核89等级a卖塔
52	24113 36233	2	   	272.36	橙3易伤3伤害2等级	128易伤38等级4赏金邻近5赏金塔68a伤害7核8序列升级9掉矿
53	24133 36233	2	   	272.36	橙3易伤3伤害2等级	128易伤38等级4赏金塔5赏金邻近68a伤害7核8序列升级9掉矿
