0	Index      	 *	Score 	Summary	Detail	
1	36351 31421	 * 	276.55	ACR|DCR|2VULN|3MLV|1RPLT|1SELL	1SELL|29aMLV|39CGEN|4BBNT|58RCR|6RPLT|79VULN|9BPWR
2	36351 31422	 * 	276.13	ACR|DCR|2VULN|2MLV|1ASPD|1RPLT|1SELL	1SELL|29MLV|39CGEN|4BBNT|58RCR|6RPLT|79VULN|9BPWR|aASPD
3	13362 36513	 * 	273.59	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1LHND|2ASPD|3MLV|4LSRHEA|5TLV|6CDMG|7aRCR|8DUR|9VULN
4	13362 36413	   	265.18	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1LHND|2ASPD|3MLV|4LSRHEA|5TLV|6CDMG|7aRCR|8DUST|9VULN
5	11611 12124	 * 	263.38	DCR|DCR|2VULN|2DUR	1LHND|2BBNT|3RCVC|47DUR|5TSLFST|69RCR|8aVULN
6	14611 12124	   	263.38	DCR|DCR|2VULN|2DUR	1LHND|2TBNT|3RCVC|47DUR|5TSLFST|69RCR|8aVULN
7	21611 12124	   	263.38	DCR|DCR|2VULN|2DUR	1LWND|2BBNT|3RCVC|47DUR|5TSLFST|69RCR|8aVULN
8	24611 12124	   	263.38	DCR|DCR|2VULN|2DUR	1LWND|2TBNT|3RCVC|47DUR|5TSLFST|69RCR|8aVULN
9	61611 12124	   	263.28	DCR|DCR|2VULN|2DUR	1DUST|2BBNT|3RCVC|47DUR|5TSLFST|69RCR|8aVULN
10	31334 42213	 * 	262.80	ACR|DCR|3VULN|1DMG|1SELL	1SELL|2FRZFST|3MDPS|4aRCR|569VULN|7RCVC|8DMG
11	31143 53413	 * 	262.80	ACR|DCR|3VULN|1DMG|1SELL	1SELL|2FRZFST|3DMSP|4aRCR|579VULN|6DMG|8MDPS
12	33343 53413	 * 	262.70	ACR|DCR|3VULN|1DMG|1SELL	1SELL|2AELOIC|3CANARM|4aRCR|579VULN|6DMG|8MDPS
13	36351 31423	 * 	262.48	ACR|DCR|2VULN|2MLV|1RPLT|1SELL	1SELL|29MLV|39CGEN|4BBNT|58RCR|6RPLT|79VULN|9BPWR|aLIT
14	16521 62313	   	261.93	DCR|DCR|2VULN|1CDMG|1ZMB	1LHND|2MGNSTR|3ZMB|49VULN|56BEXP|7aRCR|8CDMG
15	16522 62313	   	261.93	DCR|DCR|2VULN|1CDMG|1ZMB	1LHND|2MGNSTR|3ZMB|49VULN|56FEWX|7aRCR|8CDMG
16	26521 62313	   	261.93	DCR|DCR|2VULN|1CDMG|1ZMB	1LWND|2MGNSTR|3ZMB|49VULN|56BEXP|7aRCR|8CDMG
17	26522 62313	   	261.93	DCR|DCR|2VULN|1CDMG|1ZMB	1LWND|2MGNSTR|3ZMB|49VULN|56FEWX|7aRCR|8CDMG
18	12262 36513	   	259.94	DCR|DCR|1VULN|1MLV|1CDMG	1LHND|2MLV|3AAC|4LSRHEA|5TLV|6CDMG|7aRCR|8DUR|9VULN
