0	Index      	 *	Score 	Summary	Detail	
1	32534 21126	 * 	274.63	ACR|DCR|3VULN|1DMG|1MLV	1CGEN|2MLV|35aVULN|46RCR|7FEWX|8DUST|9DMG
2	32534 23313	   	272.53	ACR|DCR|3VULN|1MLV|1RPLT	1CGEN|2MLV|35aVULN|46RCR|7AELOIC|8RPLT|9DUR
3	32534 23333	 * 	271.35	ACR|DCR|2VULN|2MLV|1ASPD|1RPLT	1CGEN|2aMLV|35VULN|46RCR|7AELOIC|8RPLT|9ASPD
4	32534 22115	 * 	270.17	ACR|DCR|3VULN|2MLV	1CGEN|29MLV|35aVULN|46RCR|7VENICY|8FEWX
5	32534 22215	   	266.04	ACR|DCR|2VULN|1DMG|1MLV|1CDMG	1CGEN|2MLV|35VULN|46RCR|7VENICY|8MDPS|9DMG|aCDMG
6	32534 21323	   	264.22	ACR|DCR|3VULN|1MLV|1RPLT	1CGEN|2MLV|35aVULN|46RCR|7FEWX|8AELOIC|9RPLT
7	32534 23223	   	264.22	ACR|DCR|3VULN|1MLV|1RPLT	1CGEN|2MLV|35aVULN|46RCR|7AELOIC|8LHND|9RPLT
8	32534 23323	   	264.22	ACR|DCR|3VULN|1MLV|1RPLT	1CGEN|2MLV|35aVULN|46RCR|7AELOIC|8RPLT|9TBNT
9	32534 23353	   	264.22	ACR|DCR|3VULN|1MLV|1RPLT	1CGEN|2MLV|35aVULN|46RCR|7AELOIC|8RPLT|9LHND
10	32534 23423	   	264.22	ACR|DCR|3VULN|1MLV|1RPLT	1CGEN|2MLV|35aVULN|46RCR|7AELOIC|8FEWX|9RPLT
11	32534 24323	   	264.22	ACR|DCR|3VULN|1MLV|1RPLT	1CGEN|2MLV|35aVULN|46RCR|7LHND|8AELOIC|9RPLT
12	32534 26323	   	264.22	ACR|DCR|3VULN|1MLV|1RPLT	1CGEN|2MLV|35aVULN|46RCR|7BEXP|8AELOIC|9RPLT
13	32534 23123	   	264.12	ACR|DCR|3VULN|1MLV|1RPLT	1CGEN|2MLV|35aVULN|46RCR|7AELOIC|8DUST|9RPLT
14	32534 23343	   	264.12	ACR|DCR|3VULN|1MLV|1RPLT	1CGEN|2MLV|35aVULN|46RCR|7AELOIC|8RPLT|9LEGI
15	32534 25233	   	264.12	ACR|DCR|3VULN|1MLV|1RPLT	1CGEN|2MLV|35aVULN|46RCR|7MDPS|8ERES|9RPLT
16	32534 22116	 * 	262.30	ACR|DCR|2VULN|3MLV	1aCGEN|29aMLV|35VULN|46RCR|7VENICY|8aFEWX|aBPWR
17	32534 22216	   	262.05	ACR|DCR|2VULN|1DMG|1MLV|1AART	1CGEN|2MLV|35VULN|46RCR|7VENICY|8MDPS|9DMG|aAART
18	32534 21313	   	261.68	ACR|DCR|2VULN|2MLV|1CDMG	1CGEN|29MLV|35VULN|46RCR|7FEWX|8AELOIC|aCDMG
19	32534 22335	   	261.68	ACR|DCR|2VULN|2MLV|1CDMG	1CGEN|2aMLV|35VULN|46RCR|7VENICY|8TBNT|9CDMG
20	32534 23213	   	261.68	ACR|DCR|2VULN|2MLV|1CDMG	1CGEN|29MLV|35VULN|46RCR|7AELOIC|8LHND|aCDMG
21	32534 23413	   	261.68	ACR|DCR|2VULN|2MLV|1CDMG	1CGEN|29MLV|35VULN|46RCR|7AELOIC|8FEWX|aCDMG
22	32534 24313	   	261.68	ACR|DCR|2VULN|2MLV|1CDMG	1CGEN|29MLV|35VULN|46RCR|7LHND|8AELOIC|aCDMG
23	32534 26313	   	261.68	ACR|DCR|2VULN|2MLV|1CDMG	1CGEN|29MLV|35VULN|46RCR|7BEXP|8AELOIC|aCDMG
24	32534 23113	   	261.58	ACR|DCR|2VULN|2MLV|1CDMG	1CGEN|29MLV|35VULN|46RCR|7AELOIC|8DUST|aCDMG
25	32534 23334	   	260.93	ACR|DCR|2VULN|1MLV|2RPLT|1ASPD	1CGEN|2MLV|35VULN|46RCR|7AELOIC|8aRPLT|9ASPD
26	32534 23631	   	257.70	ACR|DCR|2VULN|2MLV|1AART	1CGEN|29MLV|35VULN|46RCR|7AELOIC|8TBNT|aAART
27	54121 32438	 * 	257.35	DCR|DCR|2VULN|1ASPD	13LIT|23ERES|3BPWR|49VULN|5MBVNT|6aRCR|7BBNT|8ASPD
28	54121 43438	   	257.35	DCR|DCR|2VULN|1ASPD	13LIT|23ERES|3BPWR|49VULN|5MBVNT|6BBNT|7aRCR|8ASPD
29	54221 32438	   	257.35	DCR|DCR|2VULN|1ASPD	13LIT|2ERES|49VULN|5MBVNT|6aRCR|7BBNT|8ASPD
30	54221 43438	   	257.35	DCR|DCR|2VULN|1ASPD	13LIT|2ERES|49VULN|5MBVNT|6BBNT|7aRCR|8ASPD
