0	Index      	 *	Score 	Summary	Detail	
1	15231 13225	 * 	304.19	DCR|DCR|2VULN|1DMG|1MLV	16VULN|2DUR|3BBNT|4LWND|5DMG|79RCR|8AART|aMLV
2	15231 13223	   	300.31	DCR|DCR|2VULN|1DMG|1CDMG	16VULN|2DUR|3BBNT|4LWND|5DMG|79RCR|8AART|aCDMG
3	12226 33443	 * 	299.49	DCR|DCR|3VULN|1ASPD|1CDMG	14aVULN|246BEXP|3BBNT|4BPWR|5CDMG|79RCR|8ASPD
4	14223 23443	   	299.19	DCR|DCR|3VULN|1ASPD|1CDMG	14aVULN|245DUST|3BBNT|4BPWR|6CDMG|79RCR|8ASPD
5	15231 13222	   	286.66	DCR|DCR|2VULN|1DMG	16VULN|2DUR|3BBNT|4LWND|5DMG|79RCR|8AART|aTBNT
6	15231 13221	   	286.56	DCR|DCR|2VULN|1DMG|1MSE	16VULN|2DUR|3BBNT|4LWND|5DMG|79RCR|8AART|aMSE
7	15231 13224	   	286.56	DCR|DCR|2VULN|1DMG	16VULN|2DUR|3BBNT|4LWND|5DMG|79RCR|8AART|aERES
8	15231 13226	   	286.56	DCR|DCR|2VULN|1DMG	16VULN|2DUR|3BBNT|4LWND|5DMG|79RCR|8AART|aDUST
9	14221 23121	   	285.54	DCR|DCR|3VULN|1ASPD	149VULN|248DUST|3BBNT|4BPWR|5FEWX|6ASPD|7aRCR
10	14223 33521	   	285.54	DCR|DCR|3VULN|1ASPD	149VULN|245DUST|3BBNT|4BPWR|6LHND|7ASPD|8aRCR
11	14223 43521	   	285.54	DCR|DCR|3VULN|1ASPD	149VULN|245DUST|3BBNT|4BPWR|6BEXP|7ASPD|8aRCR
12	14223 53521	   	285.54	DCR|DCR|3VULN|1ASPD	149VULN|245DUST|3BBNT|4BPWR|6FEWX|7ASPD|8aRCR
13	15232 13225	   	283.88	DCR|DCR|2VULN|1MLV|1ZMB	16VULN|2DUR|3BBNT|4LWND|5ZMB|79RCR|8AART|aMLV
14	15232 13223	   	280.00	DCR|DCR|2VULN|1CDMG|1ZMB	16VULN|2DUR|3BBNT|4LWND|5ZMB|79RCR|8AART|aCDMG
15	12211 33521	   	277.00	DCR|DCR|2VULN|1DMG	19VULN|2BEXP|3BBNT|4DUR|5DMG|6LWND|7aRCR|8TBNT
16	15313 53521	   	277.00	DCR|DCR|2VULN|1DMG	19VULN|2DUR|3FEWX|4LWND|5DMG|6TBNT|7aRCR|8BBNT
17	14211 33521	   	276.90	DCR|DCR|2VULN|1DMG	19VULN|2DUST|3BBNT|4DUR|5DMG|6LWND|7aRCR|8TBNT
18	15241 33521	   	276.90	DCR|DCR|2VULN|1DMG	19VULN|2DUR|3BBNT|4DUST|5DMG|6LWND|7aRCR|8TBNT
19	14211 13141	   	276.70	DCR|DCR|2VULN|1DMG	16VULN|289DUST|3BBNT|4DUR|5DMG|7aRCR
20	15241 13141	   	276.70	DCR|DCR|2VULN|1DMG	16VULN|2DUR|3BBNT|489DUST|5DMG|7aRCR
21	15231 33225	   	276.11	DCR|DCR|1VULN|1DMG|1MLV	1VULN|2DUR|3BBNT|46LWND|5DMG|79RCR|8AART|aMLV
22	12226 33441	   	276.03	DCR|DCR|2VULN|1ASPD|1CDMG	14VULN|246BEXP|3BBNT|4BPWR|5CDMG|79RCR|8ASPD|aLWND
23	12226 33442	   	275.93	DCR|DCR|2VULN|1ASPD|1CDMG	14VULN|246BEXP|3BBNT|4BPWR|5CDMG|79RCR|8ASPD|aERES
24	14223 23441	   	275.73	DCR|DCR|2VULN|1ASPD|1CDMG	14VULN|245DUST|3BBNT|4BPWR|6CDMG|79RCR|8ASPD|aLWND
25	14223 23442	   	275.63	DCR|DCR|2VULN|1ASPD|1CDMG	14VULN|245DUST|3BBNT|4BPWR|6CDMG|79RCR|8ASPD|aERES
26	12223 23331	 * 	274.73	DCR|DCR|2VULN|2ASPD	14VULN|249BEXP|3BBNT|4BPWR|5DUST|68ASPD|7aRCR
27	14221 23341	   	274.53	DCR|DCR|2VULN|2ASPD	14VULN|249DUST|3BBNT|4BPWR|5FEWX|68ASPD|7aRCR
