0	Index      	 *	Score 	Summary	Detail	
1	13142 61241	 * 	267.18	ACR|DCR|2DMG|1VULN|1MLV|1ASPD|1RPLT	1TLV|2VENICY|3VULN|48RCR|5RPLT|67DMG|9ASPD|aMLV
2	41631 43311	 * 	265.41	DCR|DCR|2VULN|1CDMG|1ZMB	1ZMB|2CDMG|3DUR|48VULN|5LSRHEA|69RCR|7MDPS|aRMIN
3	41631 43312	 * 	265.41	DCR|DCR|2VULN|1CDMG|1ZMB	1ZMB|2CDMG|3DUR|48VULN|5LSRHEA|69RCR|7MDPS|aRCVC
4	41631 43313	 * 	265.41	DCR|DCR|2VULN|1CDMG|1ZMB	1ZMB|2CDMG|3DUR|48VULN|5LSRHEA|69RCR|7MDPS|aLIT
5	13124 16262	 * 	263.66	DCR|DCR|2VULN|1DMG	1TLV|2VENICY|38VULN|4BBNT|5DUST|6aRCR|7MBVNT|9DMG
6	13142 61221	 * 	262.20	ACR|DCR|2VULN|2DMG|1RPLT	1TLV|2VENICY|3aVULN|48RCR|5RPLT|67DMG|9FEWX
7	13142 61261	   	262.20	ACR|DCR|2VULN|2DMG|1RPLT	1TLV|2VENICY|3aVULN|48RCR|5RPLT|67DMG|9LWND
8	13142 61231	   	262.10	ACR|DCR|2VULN|2DMG|1RPLT	1TLV|2VENICY|3aVULN|48RCR|5RPLT|67DMG|9LEGI
9	13142 61211	   	253.53	ACR|DCR|2DMG|1VULN|1MLV|1RPLT	1TLV|2VENICY|3VULN|48RCR|5RPLT|67DMG|9CGEN|aMLV
10	16233 54331	   	253.36	DCR|DCR|2VULN|1RPLT	1TLV|2ERES|3RPLT|45VULN|6TBNT|7aRCR|8RMIN|9MDPS
11	23618 14228	   	253.10	DCR|DCR|1VULN|1ASPD|1CDMG	1LWND|2CGEN|3ERES|4MBVNT|5VULN|6ASPD|7CDMG|8DUR|9aRCR
12	13142 61216	 * 	251.65	ACR|DCR|3DMG|1VULN|1RPLT	1TLV|2VENICY|3VULN|48RCR|5RPLT|67aDMG|9CGEN
13	13142 61226	   	251.65	ACR|DCR|3DMG|1VULN|1RPLT	1TLV|2VENICY|3VULN|48RCR|5RPLT|67aDMG|9FEWX
14	23221 43642	   	251.06	DCR|DCR|1VULN|1DMG|1ASPD|1ZMB	1LWND|2CGEN|3DMG|4BBNT|5ZMB|6aRCR|7CANARM|8ASPD|9VULN
15	23224 14431	   	251.06	DCR|DCR|1VULN|1DMG|1CDMG|1ZMB	1LWND|2CGEN|3DMG|4BBNT|5CDMG|6VULN|7aRCR|8ZMB|9MDPS
16	21224 14431	   	250.96	DCR|DCR|1VULN|1DMG|1CDMG|1ZMB	1LWND|2ERES|3DMG|4BBNT|5CDMG|6VULN|7aRCR|8ZMB|9MDPS
17	41231 41216	   	250.96	DCR|DCR|1VULN|1DMG|1CDMG|1ZMB	1ZMB|2CDMG|3DUST|4VULN|5LSRHEA|69RCR|7LHND|8LWND|aDMG
18	21221 43642	   	250.96	DCR|DCR|1VULN|1DMG|1ASPD|1ZMB	1LWND|2ERES|3DMG|4BBNT|5ZMB|6aRCR|7CANARM|8ASPD|9VULN
19	43116 23252	   	250.96	DCR|DCR|1VULN|1DMG|1ASPD|1ZMB	1ZMB|2CANARM|3VULN|4ASPD|5TBNT|6ERES|7aRCR|8BEXP|9DMG
20	43123 23252	   	250.96	DCR|DCR|1VULN|1DMG|1ASPD|1ZMB	1ZMB|2CANARM|3VULN|4BBNT|5ASPD|6ERES|7aRCR|8BEXP|9DMG
21	43123 23552	   	250.96	DCR|DCR|1VULN|1DMG|1ASPD|1ZMB	1ZMB|2CANARM|3VULN|4BBNT|5ASPD|6ERES|7aRCR|8LWND|9DMG
22	13142 61242	   	249.65	ACR|DCR|2DMG|1VULN|1ASPD|1RPLT	1TLV|2VENICY|3VULN|48RCR|5RPLT|67DMG|9ASPD|aDMSP
23	13142 61243	   	249.65	ACR|DCR|2DMG|1VULN|1ASPD|1RPLT	1TLV|2VENICY|3VULN|48RCR|5RPLT|67DMG|9ASPD|aAAC
24	41422 22316	   	248.16	ACR|DCR|2VULN|1DMG|1CDMG|1ZMB	1ZMB|2CDMG|39RCR|4MDPS|5DUST|68VULN|7AIRHEA|aDMG
25	21214 84548	 * 	246.91	DCR|DCR|2MLV|1DMG	17LWND|2ERES|3DMG|4MBVNT|56MLV|8aRCR|9DUR
26	13242 12254	   	245.73	ACR|DCR|2VULN|1MLV|1ASPD|1ZMB	1TLV|2VENICY|3MLV|4ZMB|59RCR|68VULN|7AME|aASPD
27	13142 61214	   	245.66	ACR|DCR|2DMG|1VULN|1AART|1RPLT	1TLV|2VENICY|3VULN|48RCR|5RPLT|67DMG|9CGEN|aAART
28	11426 36333	 * 	245.64	ACR|ACR|2VULN|1DMG|1MLV|1CDMG	1TLV|2CDMG|34RCR|5DUR|6DMG|7MLV|8CGEN|9aVULN
29	51423 23241	   	245.64	ACR|ACR|2VULN|1DMG|1MLV|1CDMG	1CGEN|2CDMG|34RCR|5MLV|6DMG|7DUR|8LWND|9aVULN
30	13142 61234	   	245.56	ACR|DCR|2DMG|1VULN|1AART|1RPLT	1TLV|2VENICY|3VULN|48RCR|5RPLT|67DMG|9LEGI|aAART
31	51423 23151	   	245.54	ACR|ACR|2VULN|1DMG|1MLV|1CDMG	1CGEN|2CDMG|34RCR|5MLV|6DMG|7DUR|8MBVNT|9aVULN
32	51423 23433	   	245.54	ACR|ACR|2VULN|1DMG|1MLV|1CDMG	1CGEN|2CDMG|34RCR|5MLV|6DMG|7DUR|8ERES|9aVULN
33	12213 36228	   	245.05	DCR|DCR|1DMG|1MLV|1CDMG	1TLV|2LWND|3DMG|4MBVNT|5LHND|6CDMG|7MLV|8DUR|9aRCR
34	23211 34228	   	245.05	DCR|DCR|1DMG|1MLV|1CDMG	1LWND|2CGEN|3DMG|4MBVNT|5FEWX|6CDMG|7MLV|8DUR|9aRCR
35	52211 34228	   	245.05	DCR|DCR|1DMG|1MLV|1CDMG	1CGEN|2LWND|3DMG|4MBVNT|5FEWX|6CDMG|7MLV|8DUR|9aRCR
36	23426 34228	   	245.05	DCR|DCR|1DMG|1MLV|1CDMG	1LWND|2CGEN|3FEWX|4MBVNT|5DMG|6CDMG|7MLV|8DUR|9aRCR
37	23526 34228	   	245.05	DCR|DCR|1DMG|1MLV|1CDMG	1LWND|2CGEN|3LHND|4MBVNT|5DMG|6CDMG|7MLV|8DUR|9aRCR
38	13342 61221	   	244.31	ACR|DCR|2DMG|1VULN|1RPLT	1TLV|2VENICY|3DUR|48RCR|5RPLT|67DMG|9FEWX|aVULN
39	13342 61231	   	244.31	ACR|DCR|2DMG|1VULN|1RPLT	1TLV|2VENICY|3DUR|48RCR|5RPLT|67DMG|9LHND|aVULN
40	13342 61261	   	244.31	ACR|DCR|2DMG|1VULN|1RPLT	1TLV|2VENICY|3DUR|48RCR|5RPLT|67DMG|9LWND|aVULN
41	13124 16222	   	243.60	DCR|DCR|2VULN	1TLV|2VENICY|38VULN|4BBNT|5DUST|6aRCR|7MBVNT|9AAC
42	53124 16222	   	243.60	DCR|DCR|2VULN	1CGEN|2VENICY|38VULN|4TBNT|5DUST|6aRCR|7MBVNT|9AAC
43	13131 43222	 * 	243.60	DCR|DCR|1VULN|2ASPD	1TLV|2VENICY|3VULN|4AME|59ASPD|6TBNT|7aRCR|8BBNT
44	53131 53222	   	243.60	DCR|DCR|1VULN|2ASPD	1CGEN|2VENICY|3VULN|4AME|59ASPD|6TBNT|7aRCR|8BBNT
45	13142 16241	   	242.94	ACR|DCR|1VULN|1MLV|1ASPD|1CDMG|1RPLT|1SELL	1TLV|2VENICY|3VULN|48RCR|5RPLT|6CDMG|7SELL|9ASPD|aMLV
46	24222 12254	   	241.85	ACR|DCR|2VULN|1ASPD|1CDMG|1SELL	1LWND|2SELL|3CDMG|4FLTFST|59RCR|68VULN|7AME|aASPD
47	53313 22542	   	239.45	DCR|DCR|1VULN|1ASPD	1CGEN|2VENICY|3DUR|4ASPD|5LWND|6MDPS|7TBNT|8aRCR|9VULN
48	41631 41212	   	239.30	DCR|DCR|1VULN|1CDMG|1ZMB	1ZMB|2CDMG|3DUR|4VULN|5LSRHEA|69RCR|7LHND|8LWND|aBELT
49	41231 41612	   	239.20	DCR|DCR|1VULN|1CDMG|1ZMB	1ZMB|2CDMG|3DUST|4VULN|5LSRHEA|69RCR|7LHND|8DUR|aRCVC
50	41231 41613	   	239.20	DCR|DCR|1VULN|1CDMG|1ZMB	1ZMB|2CDMG|3DUST|4VULN|5LSRHEA|69RCR|7LHND|8DUR|aLIT
51	41631 41211	   	239.20	DCR|DCR|1VULN|1CDMG|1ZMB	1ZMB|2CDMG|3DUR|4VULN|5LSRHEA|69RCR|7LHND|8LWND|aMDPS
52	41631 41213	   	239.20	DCR|DCR|1VULN|1CDMG|1ZMB	1ZMB|2CDMG|3DUR|4VULN|5LSRHEA|69RCR|7LHND|8LWND|aLEGI
53	41631 42212	   	239.20	DCR|DCR|1VULN|1CDMG|1ZMB	1ZMB|2CDMG|3DUR|4VULN|5LSRHEA|69RCR|7DUST|8LWND|aRCVC
54	41631 42213	   	239.20	DCR|DCR|1VULN|1CDMG|1ZMB	1ZMB|2CDMG|3DUR|4VULN|5LSRHEA|69RCR|7DUST|8LWND|aLIT
55	11621 14531	   	239.20	DCR|DCR|1VULN|1CDMG|1ZMB	1TLV|2CDMG|3DUR|4TBNT|5ZMB|6VULN|7aRCR|8NUKE|9MDPS
56	41231 41611	   	239.10	DCR|DCR|1VULN|1CDMG|1ZMB	1ZMB|2CDMG|3DUST|4VULN|5LSRHEA|69RCR|7LHND|8DUR|aMDPS
57	41631 42211	   	239.10	DCR|DCR|1VULN|1CDMG|1ZMB	1ZMB|2CDMG|3DUR|4VULN|5LSRHEA|69RCR|7DUST|8LWND|aMDPS
58	13242 12256	   	239.02	ACR|DCR|2VULN|1MLV|1ZMB	1TLV|2VENICY|3MLV|4ZMB|59RCR|68VULN|7AME|aNUKE
59	11241 43161	   	238.54	DCR|DCR|1MLV|1ASPD|1CDMG	1TLV|2CDMG|3DUST|4DUR|5MSLTOX|69RCR|7ASPD|8CGEN|aMLV
60	13142 13434	   	238.10	ACR|DCR|2VULN|1CDMG|1RPLT	1TLV|2VENICY|39VULN|4aRCR|5RPLT|6CDMG|7MBVNT|8CGEN
61	13142 16221	   	237.96	ACR|DCR|2VULN|1CDMG|1RPLT|1SELL	1TLV|2VENICY|3aVULN|48RCR|5RPLT|6CDMG|7SELL|9FEWX
62	13142 16261	   	237.96	ACR|DCR|2VULN|1CDMG|1RPLT|1SELL	1TLV|2VENICY|3aVULN|48RCR|5RPLT|6CDMG|7SELL|9LWND
63	13142 16231	   	237.86	ACR|DCR|2VULN|1CDMG|1RPLT|1SELL	1TLV|2VENICY|3aVULN|48RCR|5RPLT|6CDMG|7SELL|9LEGI
64	23242 22542	   	237.46	DCR|DCR|1VULN|1DMG	1LWND|2CGEN|3DMG|4CANARM|5DUST|6MDPS|7TBNT|8aRCR|9VULN
65	13124 16162	   	237.36	DCR|DCR|1VULN|1DMG	1TLV|2VENICY|3VULN|4BBNT|58DUST|6aRCR|7MBVNT|9DMG
