0	Index      	 *	Score 	Summary	Detail	
1	26333 36236	 * 	289.37	DCR|DCR|2VULN|1MLV|1CDMG|1RPLT	1AAC|2AELOIC|34VULN|5RPLT|6CDMG|7MLV|8aRCR|9RCVC
2	43313 43135	   	289.37	DCR|DCR|2VULN|1MLV|1ASPD|1AART	1BEXP|28VULN|3DMSP|4MLV|5ERES|6AART|7ASPD|9aRCR
3	33336 64221	   	287.87	DCR|DCR|2VULN|1MLV|1CDMG|1ZMB	1CDMG|23VULN|4MLV|5LIT|68RCR|7ZMB|9DUR|aCGEN
4	33336 64223	   	287.87	DCR|DCR|2VULN|1MLV|1CDMG|1ZMB	1CDMG|23VULN|4MLV|5LIT|68RCR|7ZMB|9DUR|aLWND
5	33336 64222	   	287.77	DCR|DCR|2VULN|1MLV|1CDMG|1ZMB	1CDMG|23VULN|4MLV|5LIT|68RCR|7ZMB|9DUR|aMDPS
6	33336 64211	   	279.36	DCR|DCR|2VULN|1MLV|1CDMG|1ZMB|1MSE	1CDMG|23VULN|4MLV|5LIT|68RCR|7ZMB|9MSE|aCGEN
7	33336 64212	   	279.36	DCR|DCR|2VULN|1MLV|1CDMG|1ZMB|1MSE	1CDMG|23VULN|4MLV|5LIT|68RCR|7ZMB|9MSE|aMDPS
8	33336 64213	   	279.36	DCR|DCR|2VULN|1MLV|1CDMG|1ZMB|1MSE	1CDMG|23VULN|4MLV|5LIT|68RCR|7ZMB|9MSE|aLWND
9	33336 64231	   	279.36	DCR|DCR|2VULN|1MLV|1CDMG|1SELL|1ZMB	1CDMG|23VULN|4MLV|5LIT|68RCR|7ZMB|9SELL|aDMSP
10	33336 64232	   	279.36	DCR|DCR|2VULN|1MLV|1CDMG|1SELL|1ZMB	1CDMG|23VULN|4MLV|5LIT|68RCR|7ZMB|9SELL|aAAC
11	33336 64233	   	279.36	DCR|DCR|2VULN|1MLV|1CDMG|1SELL|1ZMB	1CDMG|23VULN|4MLV|5LIT|68RCR|7ZMB|9SELL|aFEWX
12	43331 43135	 * 	278.35	DCR|DCR|2VULN|1DMG|1AART	1BEXP|28VULN|3DMSP|4RCVC|5LHND|6AART|7DMG|9aRCR
13	23613 41215	   	275.72	DCR|DCR|2VULN|1MLV|1AART	1AAC|29TLV|39VULN|4MLV|5ERES|6AART|7aRCR|89AME|9BPWR
14	43313 41135	   	275.72	DCR|DCR|2VULN|1MLV|1AART	1BEXP|28VULN|3DMSP|4MLV|5ERES|6AART|7AAC|9aRCR
15	33314 13635	 * 	275.35	DCR|4VULN|2DMG|2CDMG|1ASPD	18CDMG|2368VULN|4FEWX|5ASPD|78DMG|8BPWR|9TBNT|aRCR
16	41133 43135	   	271.74	DCR|DCR|2VULN|1ASPD|1AART	1BEXP|2AELOIC|3CGEN|48VULN|5ERES|6AART|7ASPD|9aRCR
17	14332 16811	 * 	271.69	DCR|DCR|3VULN	12ERES|3MBVNT|47aVULN|5BASICY|68RCR|9AAC
18	14332 16821	   	271.59	DCR|DCR|3VULN	12ERES|3MBVNT|47aVULN|5BASICY|68RCR|9NUKE
19	33326 65223	   	270.34	DCR|DCR|2VULN|1CDMG|1ZMB	1CDMG|23VULN|4ZMB|5LIT|68RCR|7CGEN|9DUR|aLWND
20	33116 64221	   	270.24	DCR|DCR|2VULN|1CDMG|1ZMB	1CDMG|24VULN|3ERES|5LIT|68RCR|7ZMB|9DUR|aCGEN
21	33116 64223	   	270.24	DCR|DCR|2VULN|1CDMG|1ZMB	1CDMG|24VULN|3ERES|5LIT|68RCR|7ZMB|9DUR|aLWND
22	33322 12445	   	270.24	DCR|DCR|2VULN|1CDMG|1ZMB	1CDMG|23VULN|4ZMB|5AAC|6LHND|7DUR|8aRCR|9CANTOX
23	33326 65221	   	270.24	DCR|DCR|2VULN|1CDMG|1ZMB	1CDMG|23VULN|4ZMB|5LIT|68RCR|7CGEN|9DUR|aERES
24	33326 65222	   	270.24	DCR|DCR|2VULN|1CDMG|1ZMB	1CDMG|23VULN|4ZMB|5LIT|68RCR|7CGEN|9DUR|aMDPS
25	33116 64222	   	270.14	DCR|DCR|2VULN|1CDMG|1ZMB	1CDMG|24VULN|3ERES|5LIT|68RCR|7ZMB|9DUR|aMDPS
26	14332 16832	   	268.19	DCR|DCR|2VULN|1DMG	129ERES|3MBVNT|47VULN|5BASICY|68RCR|aDMG
27	33113 11662	 * 	268.13	DCR|3VULN|3DMG|1MLV|1CDMG	1CDMG|245VULN|3ERES|6MLV|79aDMG|8RCR
28	33333 32314	   	266.60	DCR|3VULN|1DMG|1MLV|1ASPD|1CDMG|1RPLT	1CDMG|235VULN|4MLV|6DUR|7RPLT|8ASPD|9RCR|aDMG
29	14612 16322	   	265.76	DCR|DCR|2VULN|1MLV	124ERES|3MLV|5LHND|6DLOT|7aVULN|89RCR
