0	Index      	 *	Score 	Summary	Detail	
1	23116 42315	 * 	286.69	DCR|DCR|2VULN|2DUR|1ASPD|1RPLT	1ASPD|2BEXP|34DUR|56VULN|7aRCR|8VENFST|9RPLT
2	13233 44123	 * 	285.88	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|6aRCR|7ASPD|8CDMG|9TBNT
3	52336 42331	 * 	285.88	DCR|DCR|2VULN|1DMG|1MLV|1SELL	1LIT|2SELL|39VULN|4MLV|5MDPS|6DMG|78RCR|aBBNT
4	52336 42333	 * 	285.88	DCR|DCR|2VULN|1DMG|1MLV|1SELL	1LIT|2SELL|39VULN|4MLV|5MDPS|6DMG|78RCR|aCGEN
5	52336 42332	 * 	285.78	DCR|DCR|2VULN|1DMG|1MLV|1SELL|1MSE	1LIT|2SELL|39VULN|4MLV|5MDPS|6DMG|78RCR|aMSE
6	13233 43432	   	285.77	DCR|DCR|1VULN|1DMG|1MLV|1AART|1RPLT	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7CGEN|9MLV|aRPLT
7	13233 45432	   	285.77	DCR|DCR|1VULN|1DMG|1MLV|1AART|1RPLT	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7TLV|9MLV|aRPLT
8	52312 42325	 * 	283.30	DCR|DCR|2VULN|1DMG|2DUR|1SELL	1aLIT|2SELL|3aVULN|4MDPS|5AME|6DMG|78RCR|9aDUR|aBPWR
9	13235 44123	   	277.57	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1AART	1RCVC|2VULN|3DMG|4AART|5BEXP|6aRCR|7ASPD|8CDMG|9TBNT
10	13231 43432	   	277.47	DCR|DCR|1VULN|1DMG|1MLV|1AART|1RPLT	1RCVC|2VULN|3DMG|4AART|5LWND|68RCR|7CGEN|9MLV|aRPLT
11	13231 45432	   	277.47	DCR|DCR|1VULN|1DMG|1MLV|1AART|1RPLT	1RCVC|2VULN|3DMG|4AART|5LWND|68RCR|7TLV|9MLV|aRPLT
12	13233 43431	   	276.11	DCR|DCR|1VULN|1DMG|1MLV|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7CGEN|9MLV|aAAC
13	13233 43433	   	276.11	DCR|DCR|1VULN|1DMG|1MLV|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7CGEN|9MLV|aBBNT
14	13233 43436	   	276.11	DCR|DCR|1VULN|1DMG|1MLV|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7aCGEN|9MLV
15	13233 45431	   	276.11	DCR|DCR|1VULN|1DMG|1MLV|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7TLV|9MLV|aAAC
16	13233 45433	   	276.11	DCR|DCR|1VULN|1DMG|1MLV|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7TLV|9MLV|aBBNT
17	11423 25125	 * 	276.07	DCR|DCR|2DMG|1VULN|1RPLT	1RCVC|2FEWX|3DUR|48DMG|5MSLTOX|6RPLT|7VULN|9aRCR
18	13233 43434	   	276.01	DCR|DCR|1VULN|1DMG|1MLV|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7CGEN|9MLV|aMBVNT
19	13233 43435	   	276.01	DCR|DCR|1VULN|1DMG|1MLV|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7CGEN|9MLV|aDUST
20	13235 43432	   	273.59	DCR|DCR|1VULN|1DMG|1ASPD|1AART|1RPLT	1RCVC|2VULN|3DMG|4AART|5BEXP|68RCR|7CGEN|9ASPD|aRPLT
21	12331 15125	   	272.86	DCR|DCR|2DMG|1VULN|2RPLT	1RCVC|2MDPS|34RPLT|58DMG|6TSLARM|7VULN|9aRCR
22	13233 41113	   	272.23	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|6aRCR|7FEWX|8BELT|9CDMG
23	13233 43416	   	272.23	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7CGEN|9BEXP|aCDMG
24	13233 43426	   	272.23	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7CGEN|9FEWX|aCDMG
25	13233 46113	   	272.13	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1RCVC|2VULN|3DMG|4AART|5DUR|6aRCR|7LEGI|8BELT|9CDMG
26	13634 23311	 * 	271.99	DCR|DCR|3VULN	1RCVC|23aVULN|4LIT|5RMIN|6MULHEA|78RCR|9CGEN
27	13631 13311	   	271.89	DCR|DCR|3VULN	1RCVC|23aVULN|4LIT|5AME|6BASHEA|78RCR|9CGEN
28	13631 13343	   	271.89	DCR|DCR|3VULN	1RCVC|23aVULN|4LIT|5AME|6BASHEA|78RCR|9BBNT
29	13634 23331	   	271.89	DCR|DCR|3VULN	1RCVC|23aVULN|4LIT|5RMIN|6MULHEA|78RCR|9ERES
30	55342 13311	   	271.79	DCR|DCR|3VULN	1LIT|25AME|34aVULN|6BASHEA|78RCR|9CGEN
31	13631 13331	   	271.79	DCR|DCR|3VULN	1RCVC|23aVULN|4LIT|5AME|6BASHEA|78RCR|9ERES
32	55342 13331	   	271.69	DCR|DCR|3VULN	1LIT|25AME|34aVULN|6BASHEA|78RCR|9ERES
33	13165 34222	 * 	271.40	ACR|DCR|2VULN|1DMG|1CDMG|1AART	1RCVC|29VULN|3CDMG|48RCR|5DMG|6DUR|7LIT|aAART
34	52336 42311	   	271.35	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1SELL	1LIT|2SELL|3VULN|4MLV|5MDPS|6DMG|78RCR|9VENTOX|aASPD
35	13634 23326	   	270.48	DCR|DCR|2VULN|1ASPD	1RCVC|23VULN|4LIT|5RMIN|6MULHEA|78RCR|9DUR|aASPD
36	13631 13326	   	270.38	DCR|DCR|2VULN|1ASPD	1RCVC|23VULN|4LIT|5AME|6BASHEA|78RCR|9DUR|aASPD
37	13634 23342	 * 	268.59	DCR|DCR|2VULN|1DMG	1RCVC|23VULN|4LIT|5RMIN|6MULHEA|78RCR|9BBNT|aDMG
38	13634 23353	   	268.59	DCR|DCR|2VULN|1DMG	1RCVC|23VULN|4LIT|5RMIN|6MULHEA|78RCR|9BEXP|aDMG
39	13631 13353	   	268.49	DCR|DCR|2VULN|1DMG	1RCVC|23VULN|4LIT|5AME|6BASHEA|78RCR|9BEXP|aDMG
40	52312 42331	   	268.25	DCR|DCR|2VULN|1DMG|1SELL	1LIT|2SELL|39VULN|4MDPS|5AME|6DMG|78RCR|aBBNT
41	52312 42333	   	268.25	DCR|DCR|2VULN|1DMG|1SELL	1LIT|2SELL|39VULN|4MDPS|5AME|6DMG|78RCR|aCGEN
42	52312 42334	   	268.25	DCR|DCR|2VULN|1DMG|1SELL	1LIT|2SELL|39VULN|4MDPS|5AME|6DMG|78RCR|aTLV
43	52326 42331	   	268.25	DCR|DCR|2VULN|1DMG|1SELL	1LIT|2SELL|39VULN|4ERES|5MDPS|6DMG|78RCR|aBBNT
44	52326 42333	   	268.25	DCR|DCR|2VULN|1DMG|1SELL	1LIT|2SELL|39VULN|4ERES|5MDPS|6DMG|78RCR|aCGEN
45	13233 43415	   	268.24	DCR|DCR|1VULN|1DMG|1AART|1RPLT	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7CGEN|9BEXP|aRPLT
46	13233 43425	   	268.24	DCR|DCR|1VULN|1DMG|1AART|1RPLT	1RCVC|2VULN|3DMG|4AART|5DUR|68RCR|7CGEN|9FEWX|aRPLT
47	52312 42332	   	268.15	DCR|DCR|2VULN|1DMG|1SELL|1MSE	1LIT|2SELL|39VULN|4MDPS|5AME|6DMG|78RCR|aMSE
