0	Index      	 *	Score 	Summary	Detail	
1	33353 12345	 * 	274.73	DCR|DCR|2VULN|2ASPD	1MBVNT|29ASPD|3MDPS|489LIT|5RCVC|6aRCR|79VULN|9BPWR
2	33463 37438	 * 	274.46	ACR|DCR|3VULN|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|79aVULN|8DUR
3	33513 37438	 * 	274.46	ACR|DCR|3VULN|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|79aVULN|8DUR
4	38182 23237	 * 	273.29	DCR|DCR|1VULN|1DMG|1CDMG|1AART|1RPLT	1MBVNT|2CDMG|3AELOIC|4DMG|5RPLT|6aRCR|7AART|8ERES|9VULN
5	38182 23337	   	273.29	DCR|DCR|1VULN|1DMG|1CDMG|1AART|1RPLT	1MBVNT|2CDMG|3AELOIC|4DMG|5RPLT|6aRCR|7AART|8AME|9VULN
6	11228 28136	 * 	268.49	DCR|DCR|2VULN|1DMG	1MSLREG|2MBVNT|3LHND|4LIT|59VULN|6RMIN|7aRCR|8DMG
7	11328 28136	   	268.39	DCR|DCR|2VULN|1DMG	1MSLREG|2MBVNT|3DUST|4LIT|59VULN|6RMIN|7aRCR|8DMG
8	11523 18136	   	268.39	DCR|DCR|2VULN|1DMG	1MSLREG|2MBVNT|3ERES|4LIT|59VULN|6LHND|7aRCR|8DMG
9	11823 18136	   	268.39	DCR|DCR|2VULN|1DMG	1MSLREG|2MBVNT|3AME|4LIT|59VULN|6LHND|7aRCR|8DMG
10	11523 38136	   	268.29	DCR|DCR|2VULN|1DMG	1MSLREG|2MBVNT|3ERES|4LIT|59VULN|6DUST|7aRCR|8DMG
11	11823 38136	   	268.29	DCR|DCR|2VULN|1DMG	1MSLREG|2MBVNT|3AME|4LIT|59VULN|6DUST|7aRCR|8DMG
12	31334 13267	   	267.36	DCR|DCR|1VULN|1DMG|1MLV|1AART|1ZMB	1MBVNT|2NUKE|3VULN|4MLV|5AART|6AAC|7ZMB|8DMG|9aRCR
13	34332 56245	   	266.49	DCR|DCR|1VULN|1MLV|2RPLT|1ASPD	1MBVNT|2FEWX|3MLV|4VULN|5ASPD|69RPLT|7aRCR|8TLV
14	34332 56445	   	266.39	DCR|DCR|1VULN|1MLV|2RPLT|1ASPD	1MBVNT|2FEWX|3MLV|4VULN|5ASPD|69RPLT|7aRCR|8AME
15	31382 72215	   	266.29	DCR|DCR|2VULN|1RPLT	1MBVNT|2NUKE|34VULN|5DUR|6CGEN|7aRCR|8RPLT|9ERES
16	33463 37238	 * 	266.15	ACR|DCR|3VULN|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|79aVULN|8FEWX
17	33513 37238	 * 	266.15	ACR|DCR|3VULN|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|79aVULN|8FEWX
18	31373 18236	   	265.96	DCR|DCR|2VULN|1MLV	1MBVNT|2NUKE|39VULN|4FLTARM|5LIT|6LHND|7aRCR|8MLV
19	31353 18236	   	265.86	DCR|DCR|2VULN|1MLV	1MBVNT|2NUKE|39VULN|4MSLTOX|5LIT|6LHND|7aRCR|8MLV
20	31373 38236	   	265.86	DCR|DCR|2VULN|1MLV	1MBVNT|2NUKE|39VULN|4FLTARM|5LIT|6DUST|7aRCR|8MLV
21	33463 31735	 * 	265.86	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|7MLV|8CDMG|9VULN|aDMG
22	33513 31735	 * 	265.86	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|7MLV|8CDMG|9VULN|aDMG
23	31353 38236	   	265.76	DCR|DCR|2VULN|1MLV	1MBVNT|2NUKE|39VULN|4MSLTOX|5LIT|6DUST|7aRCR|8MLV
24	33463 35633	 * 	263.45	ACR|DCR|2VULN|2ASPD|1RPLT|1ZMB	1MBVNT|2aASPD|3ZMB|4RPLT|56RCR|7DUR|89VULN
25	33463 37433	 * 	263.45	ACR|DCR|2VULN|2ASPD|1RPLT|1ZMB	1MBVNT|2aASPD|3ZMB|4RPLT|56RCR|79VULN|8DUR
26	33513 35633	 * 	263.45	ACR|DCR|2VULN|2ASPD|1RPLT|1ZMB	1MBVNT|2aASPD|3RPLT|4ZMB|56RCR|7DUR|89VULN
27	33513 37433	 * 	263.45	ACR|DCR|2VULN|2ASPD|1RPLT|1ZMB	1MBVNT|2aASPD|3RPLT|4ZMB|56RCR|79VULN|8DUR
28	33213 13267	   	263.38	DCR|DCR|1VULN|1DMG|1ASPD|1AART|1ZMB	1MBVNT|2ASPD|3AME|4NUKE|5VULN|6AART|7ZMB|8DMG|9aRCR
29	33463 37326	 * 	262.75	ACR|DCR|2VULN|1DMG|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3ZMB|4RPLT|56RCR|7aVULN|8BBNT|9DMG
30	33513 37326	 * 	262.75	ACR|DCR|2VULN|1DMG|1ASPD|1RPLT|1ZMB	1MBVNT|2ASPD|3RPLT|4ZMB|56RCR|7aVULN|8BBNT|9DMG
31	37342 32427	   	262.47	DCR|DCR|1VULN|1DMG|1CDMG	1MBVNT|2TBNT|3CDMG|4LIT|5DUR|6aRCR|7BBNT|8VULN|9DMG
32	38842 32427	   	262.47	DCR|DCR|1VULN|1DMG|1CDMG	1MBVNT|2CDMG|3BBNT|4LIT|5DUR|6aRCR|7TBNT|8VULN|9DMG
