0	Index      	 *	Score 	Summary	Detail	
1	21613 43211	 * 	301.13	DCR|4VULN|3DMG|2ASPD|1MLV	19LIT|249DMG|34ASPD|49BPWR|5MLV|6RCR|789aVULN
2	21613 43216	   	290.64	DCR|3VULN|3DMG|2ASPD|1MLV	19LIT|249DMG|34ASPD|49BPWR|5MLV|6RCR|789VULN|aRPLT
3	21663 43211	   	288.57	DCR|4VULN|3DMG|1MLV|1ASPD	19LIT|249DMG|3ASPD|5MLV|6RCR|789aVULN|9BPWR
4	21614 43211	   	283.50	DCR|4VULN|3DMG|2ASPD	19LIT|249DMG|34ASPD|49BPWR|5AME|6RCR|789aVULN
5	21613 43212	   	280.98	DCR|3VULN|3DMG|2ASPD|1MLV	19LIT|249DMG|34ASPD|49BPWR|5MLV|6RCR|789VULN|aLHND
6	21613 43214	   	280.98	DCR|3VULN|3DMG|2ASPD|1MLV	19LIT|249DMG|34ASPD|49BPWR|5MLV|6RCR|789VULN|aLWND
7	21613 43215	   	280.98	DCR|3VULN|3DMG|2ASPD|1MLV	19LIT|249DMG|34ASPD|49BPWR|5MLV|6RCR|789VULN|aAAC
8	21613 43213	   	280.88	DCR|3VULN|3DMG|2ASPD|1MLV	19LIT|249DMG|34ASPD|49BPWR|5MLV|6RCR|789VULN|aAIRHEA
9	62113 43231	 * 	272.88	ACR|DCR|2VULN|2MLV|1DMG|1ZMB	1FEWX|2aCGEN|3ZMB|48RCR|5LWND|6aMLV|7DMG|9aVULN|aBPWR
10	62116 43231	 * 	272.88	ACR|DCR|2VULN|2MLV|1DMG|1ZMB	1FEWX|2aCGEN|3ZMB|48RCR|5LHND|6aMLV|7DMG|9aVULN|aBPWR
11	21463 31112	 * 	272.23	ACR|DCR|2VULN|2DMG|2DUR	1LIT|26DMG|3MDPS|47RCR|56DUR|6BPWR|8BBNT|9aVULN
