0	Index      	 *	Score 	Summary	Detail	
1	13124 12641	 * 	295.10	DCR|DCR|3VULN|1ASPD|1AART	1ERES|2AART|3ASPD|4BASHEA|589VULN|6aRCR|7AME
2	23245 42211	   	284.23	DCR|DCR|2VULN|1ASPD|1CDMG	1LWND|2DUR|3CDMG|4BBNT|5ASPD|6LHND|79VULN|8aRCR
3	32245 22211	   	284.23	DCR|DCR|2VULN|1ASPD|1CDMG	1DUR|2LHND|3CDMG|4BBNT|5ASPD|6LWND|79VULN|8aRCR
4	21462 16211	 * 	276.75	DCR|DCR|2VULN|1DMG|1SELL	1LWND|2TBNT|3DMG|49VULN|5LHND|6DUR|7SELL|8aRCR
5	23532 16211	 * 	276.75	DCR|DCR|2VULN|1DMG|1SELL	1LWND|2DUR|39VULN|4SELL|5DMG|6LHND|7BBNT|8aRCR
6	23532 46211	 * 	276.65	DCR|DCR|2VULN|1DMG|1SELL	1LWND|2DUR|39VULN|4SELL|5DMG|6LEGI|7BBNT|8aRCR
7	32532 46211	 * 	276.65	DCR|DCR|2VULN|1DMG|1SELL	1DUR|2LHND|39VULN|4SELL|5DMG|6LEGI|7BBNT|8aRCR
8	62245 22211	   	275.93	DCR|DCR|2VULN|1ASPD|1CDMG	1BEXP|2LHND|3CDMG|4BBNT|5ASPD|6LWND|79VULN|8aRCR
9	22245 12211	   	275.83	DCR|DCR|2VULN|1ASPD|1CDMG	1LWND|2LHND|3CDMG|4BBNT|5ASPD|6DUST|79VULN|8aRCR
10	43133 63214	 * 	273.32	DCR|DCR|2MLV|2ASPD|2CDMG	1RMIN|2aCDMG|3FEWX|4aMLV|5DUR|6LIT|78RCR|9aASPD|aBPWR
11	13124 12541	   	271.64	DCR|DCR|2VULN|1ASPD|1AART	1ERES|2AART|3ASPD|4BASHEA|59VULN|6aRCR|7AME|8DMSP
12	13124 12631	   	271.64	DCR|DCR|2VULN|1ASPD|1AART	1ERES|2AART|3ASPD|4BASHEA|58VULN|6aRCR|7AME|9RCVC
13	13124 13141	   	271.64	DCR|DCR|2VULN|1ASPD|1AART	1ERES|2AART|3ASPD|4BASHEA|59VULN|6aRCR|7AELOIC|8TLV
14	13124 12611	   	271.54	DCR|DCR|2VULN|1ASPD|1AART	1ERES|2AART|3ASPD|4BASHEA|58VULN|6aRCR|79AME
15	13124 12661	   	271.54	DCR|DCR|2VULN|1ASPD|1AART	19ERES|2AART|3ASPD|4BASHEA|58VULN|6aRCR|7AME
16	43116 31361	 * 	267.57	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1ZMB	1RMIN|2CDMG|3FEWX|4SPLREG|5VULN|69RCR|7ASPD|8ZMB|aDMG
