0	Index      	 *	Score 	Summary	Detail	
1	22421 22616	 * 	279.86	DCR|DCR|2DMG|1VULN|2DUR|1RPLT	1AAC|2TBNT|35DMG|45DUR|5BPWR|6MBVNT|7aRCR|8VULN|9RPLT
2	31532 56123	   	279.03	DCR|DCR|1VULN|1DMG|1CDMG|1AART|1RPLT	1LIT|2FEWX|3VULN|4CDMG|5RPLT|6DMG|7AART|89RCR|aDUR
3	23215 32154	 * 	274.68	DCR|3VULN|2DMG|2MLV|3CDMG	1AAC|234CDMG|5aMLV|6aDMG|78aVULN|9RCR|aBPWR
4	33313 62512	 * 	272.12	DCR|DCR|2VULN|1DMG|1SELL	1LIT|24VULN|345LWND|4BPWR|69RCR|7SELL|8DUR|aDMG
5	11222 62311	 * 	271.97	DCR|DCR|1VULN|2ASPD|1DMG	18ASPD|2MDPS|3DUR|4TBNT|5MGNSTR|6aRCR|7DMG|9VULN
6	31532 56121	   	270.73	DCR|DCR|1VULN|1DMG|1CDMG|1AART|1RPLT	1LIT|2FEWX|3VULN|4CDMG|5RPLT|6DMG|7AART|89RCR|aLHND
7	31532 56122	   	270.63	DCR|DCR|1VULN|1DMG|1CDMG|1AART|1RPLT	1LIT|2FEWX|3VULN|4CDMG|5RPLT|6DMG|7AART|89RCR|aDUST
8	33313 62516	 * 	269.59	DCR|DCR|2VULN|1MLV|1SELL	1LIT|24VULN|345LWND|4BPWR|69RCR|7SELL|8DUR|aMLV
9	12262 14111	   	263.76	DCR|DCR|1VULN|2ASPD|1DMG	15ASPD|2FRZARM|3TBNT|4MDPS|6DMG|7aRCR|8LWND|9VULN
10	11442 62311	   	263.66	DCR|DCR|1VULN|2ASPD|1DMG	18ASPD|2MDPS|3BBNT|4LWND|5MGNSTR|6aRCR|7DMG|9VULN
11	11522 62311	   	263.66	DCR|DCR|1VULN|2ASPD|1DMG	18ASPD|2MDPS|3LWND|4TBNT|5MGNSTR|6aRCR|7DMG|9VULN
12	33313 62514	 * 	261.72	DCR|DCR|2VULN|1AART|1SELL	1LIT|24VULN|345LWND|4BPWR|69RCR|7SELL|8DUR|aAART
13	33313 62216	 * 	261.28	DCR|DCR|2VULN|1MLV|1SELL	1LIT|24VULN|345LWND|4BPWR|69RCR|7SELL|8LHND|aMLV
14	33313 62616	 * 	261.18	DCR|DCR|2VULN|1MLV|1SELL	1LIT|24VULN|345LWND|4BPWR|69RCR|7SELL|8DUST|aMLV
15	23222 51154	 * 	260.90	DCR|4VULN|2DMG|3CDMG	1AAC|237CDMG|4aDMG|57aTLV|678aVULN|7aBPWR|9RCR
16	23226 11154	   	260.60	DCR|4VULN|2DMG|3CDMG	1AAC|237CDMG|4aDMG|578aVULN|67aAME|7aBPWR|9RCR
17	12253 14111	   	259.61	DCR|DCR|1VULN|1DMG|1ASPD	1ASPD|2FRZARM|3TBNT|4DUST|5DUR|6DMG|7aRCR|8LWND|9VULN
18	12253 14211	   	259.61	DCR|DCR|1VULN|1DMG|1ASPD	1ASPD|2FRZARM|3TBNT|4DUST|5DUR|6DMG|7aRCR|8FEWX|9VULN
19	11222 62161	   	259.51	DCR|DCR|1VULN|1DMG|1ASPD	1ASPD|2MDPS|3DUR|4TBNT|5MGNSTR|6aRCR|7DMG|8VULN|9DMSP
20	11222 62211	   	259.51	DCR|DCR|1VULN|1DMG|1ASPD	1ASPD|2MDPS|3DUR|4TBNT|5MGNSTR|6aRCR|7DMG|8RCVC|9VULN
21	15141 82236	 * 	258.82	DCR|DCR|2DMG|2ASPD|1RPLT	19ASPD|2RCVC|3MBVNT|49DMG|579ERES|6aRCR|8RPLT|9BPWR
22	33313 62511	 * 	258.61	DCR|DCR|2VULN|2DUR|1SELL	1LIT|24VULN|345LWND|4BPWR|69RCR|7SELL|8aDUR
23	43131 18128	   	258.19	DCR|DCR|1VULN|1MLV|1ASPD|1AART|1ZMB	1BEXP|2ZMB|3MBVNT|4TBNT|5ASPD|6MLV|7aRCR|8AART|9VULN
24	32236 43611	 * 	257.25	DCR|DCR|2VULN|1ASPD	1LIT|2ERES|3ASPD|4BELT|58VULN|69DUST|7aRCR
25	22123 22616	   	255.76	DCR|DCR|1VULN|2DUR|1ASPD|1RPLT	1AAC|2TBNT|34DUR|4BPWR|5ASPD|6MBVNT|7aRCR|8VULN|9RPLT
26	33313 62214	   	253.41	DCR|DCR|2VULN|1AART|1SELL	1LIT|24VULN|345LWND|4BPWR|69RCR|7SELL|8LHND|aAART
27	33313 62614	   	253.31	DCR|DCR|2VULN|1AART|1SELL	1LIT|24VULN|345LWND|4BPWR|69RCR|7SELL|8DUST|aAART
28	43131 22616	   	253.11	DCR|DCR|1VULN|2ASPD|1RPLT|1ZMB	1BEXP|2ZMB|3MBVNT|4TBNT|56ASPD|7aRCR|8VULN|9RPLT
29	65224 13121	 * 	252.26	DCR|DCR|2MLV|1DMG|1ASPD	1SNIFST|2ERES|3TBNT|4BBNT|59MLV|6DMG|7ASPD|8aRCR
30	33313 62211	   	252.06	DCR|DCR|2VULN|1SELL	1LIT|24VULN|345LWND|4BPWR|69RCR|7SELL|8LHND|aDUR
31	33313 62513	   	252.06	DCR|DCR|2VULN|1SELL	1LIT|24VULN|345LWND|4BPWR|69RCR|7SELL|8DUR|aCGEN
32	33313 62515	   	252.06	DCR|DCR|2VULN|1SELL	1LIT|24VULN|345LWND|4BPWR|69RCR|7SELL|8DUR|aRCVC
33	33313 62611	   	251.96	DCR|DCR|2VULN|1SELL	1LIT|24VULN|345LWND|4BPWR|69RCR|7SELL|8DUST|aDUR
34	12251 14111	   	251.31	DCR|DCR|1VULN|1DMG|1ASPD	1ASPD|2FRZARM|3TBNT|4DUST|5BEXP|6DMG|7aRCR|8LWND|9VULN
35	12255 14111	   	251.31	DCR|DCR|1VULN|1DMG|1ASPD	1ASPD|2FRZARM|3TBNT|4DUST|5FEWX|6DMG|7aRCR|8LWND|9VULN
36	42611 14111	   	251.31	DCR|DCR|1VULN|1DMG|1ASPD	1BEXP|2SPLJET|3BBNT|4LHND|5DMG|6ASPD|7aRCR|8LWND|9VULN
37	42611 14211	   	251.31	DCR|DCR|1VULN|1DMG|1ASPD	1BEXP|2SPLJET|3BBNT|4LHND|5DMG|6ASPD|7aRCR|8FEWX|9VULN
38	11442 62211	   	251.21	DCR|DCR|1VULN|1DMG|1ASPD	1ASPD|2MDPS|3BBNT|4LWND|5MGNSTR|6aRCR|7DMG|8RCVC|9VULN
39	11522 62211	   	251.21	DCR|DCR|1VULN|1DMG|1ASPD	1ASPD|2MDPS|3LWND|4TBNT|5MGNSTR|6aRCR|7DMG|8RCVC|9VULN
40	11462 62331	   	251.11	DCR|DCR|1VULN|1DMG|1ASPD	1ASPD|2MDPS|3BBNT|4VULN|5MSLFST|6aRCR|7DMG|8ERES|9CGEN
