0	Index      	 *	Score 	Summary	Detail	
1	16451 22313	 * 	298.15	橙橙2易伤1等级1矿等1暴击1攻速	13易伤2暴击4雷电减费5攻速6额外掉落7等级8a核9矿等
2	16116 13252	 * 	288.45	橙橙2伤害1易伤2矿等2暴击	1易伤24暴击34矿等4序列升级58伤害6技能点7敌人爆炸9a核
3	16116 11252	   	288.35	橙橙2伤害1易伤2矿等2暴击	1易伤24暴击34矿等4序列升级58伤害6技能点7挖尘9a核
4	13336 31452	 * 	287.28	橙橙2易伤2伤害1暴击	18易伤2挖尘3时间4暴击57伤害6双倍矿9a核
5	13332 54352	 * 	285.32	橙橙3易伤1暴击1攻速	156易伤28挖尘3时间4暴击7攻速9a核
6	43115 13314	 * 	280.70	橙橙3易伤3雷电1卖塔	136雷电238易伤38序列升级4卖塔58最后敌人7a核9毒液对冰
7	13136 31452	   	280.34	橙橙2易伤2伤害1暴击	18易伤2挖尘3基地爆炸4暴击57伤害6双倍矿9a核
8	13621 21452	   	280.34	橙橙2易伤2伤害1暴击	18易伤2挖尘3立即金币47伤害5最后敌人6暴击9a核
9	13221 21452	   	280.24	橙橙2易伤2伤害1暴击	18易伤2挖尘3毒气减费47伤害5最后敌人6暴击9a核
10	13226 11452	   	280.24	橙橙2易伤2伤害1暴击	18易伤2挖尘3毒气减费47伤害5暴击6低血量敌人9a核
11	13132 14452	   	278.48	橙橙3易伤1暴击1攻速	158易伤2挖尘36基地爆炸4暴击7攻速9a核
12	13132 54352	   	278.38	橙橙3易伤1暴击1攻速	156易伤28挖尘3基地爆炸4暴击7攻速9a核
13	16235 22313	 * 	278.36	橙橙1易伤1等级1伤害1矿等1暴击	1易伤2暴击3金币生成4伤害5掉矿6额外掉落7等级8a核9矿等
14	16312 12452	 * 	271.34	橙橙3易伤2暴击1技能	148易伤24暴击3技能4序列升级5最后敌人6低血量敌人7双倍矿9a核
15	16116 33152	   	270.96	橙橙1易伤2矿等2暴击1伤害	1易伤24暴击34矿等4序列升级5伤害6基地爆炸7立即金币8金币生成9a核
16	16134 11352	   	269.84	橙橙2伤害1易伤1矿等1暴击	1易伤2暴击3矿等47伤害58金币生成6低血量敌人9a核
17	16136 13252	   	269.64	橙橙2伤害1易伤1矿等1暴击	1易伤2暴击3矿等48伤害5毒气减费6技能点7敌人爆炸9a核
18	13224 33452	   	269.59	橙橙2易伤1伤害1暴击	18易伤2挖尘3毒气减费4伤害5立即金币6暴击7时间9a核
19	13622 33452	   	269.59	橙橙2易伤1伤害1暴击	18易伤25挖尘3立即金币4伤害6暴击7时间9a核
20	16136 11252	   	269.54	橙橙2伤害1易伤1矿等1暴击	1易伤2暴击3矿等48伤害5毒气减费6技能点7挖尘9a核
21	13222 33452	   	269.49	橙橙2易伤1伤害1暴击	18易伤25挖尘3毒气减费4伤害6暴击7时间9a核
22	31413 14152	 * 	268.89	橙橙2易伤2攻速1暴击	16攻速23低血量敌人4掉矿56易伤6序列升级7暴击8金币生成9a核
23	13135 13452	   	268.79	橙橙2易伤2攻速1暴击	18易伤26挖尘37基地爆炸4暴击56攻速6序列升级9a核
24	34313 14152	   	268.79	橙橙2易伤2攻速1暴击	16攻速2挖尘3双倍矿4掉矿56易伤6序列升级7暴击8金币生成9a核
25	34213 14152	   	268.69	橙橙2易伤2攻速1暴击	16攻速23挖尘4掉矿56易伤6序列升级7暴击8金币生成9a核
