0	Index      	 *	Score 	Summary	Detail	
1	13212 66232	 * 	275.11	橙橙2易伤1等级1伤害	1基地爆炸2等级37易伤4双倍物品5伤害6激光对绿8a核9挖尘
2	13336 51163	   	262.75	橙橙1易伤1等级1伤害1时间	1基地爆炸2等级3伤害4易伤5挖尘6头目7时间8a核9低血量敌人
3	43331 51163	   	262.75	橙橙1易伤1等级1伤害1时间	1挖尘2等级3伤害4易伤5基地爆炸6头目7时间8a核9低血量敌人
4	22213 62553	 * 	257.04	橙橙1易伤2矿等1等级	1金币生成2双倍秒伤35矿等45策反5序列升级6易伤7a核8雷电9等级
5	13216 66232	   	255.04	橙橙2易伤1等级	1基地爆炸2等级37易伤4双倍物品5策反6激光对绿8a核9挖尘
6	21252 22543	   	251.58	橙橙2易伤1矿等	1金币生成23易伤4随机矿5矿等6双倍秒伤7a核8雷电9攻速
7	21262 22543	   	251.48	橙橙2易伤1矿等	1金币生成23易伤4技能点5矿等6双倍秒伤7a核8雷电9攻速
8	31261 22543	   	251.38	橙橙1易伤1等级1矿等	1烈焰减费2等级3矿等4易伤5掉矿6双倍秒伤7a核8雷电9攻速
9	21155 22143	 * 	250.80	橙橙1易伤2矿等1伤害	1金币生成2易伤3随机矿4双倍秒伤59矿等6伤害7雷电8a核
10	22221 11443	   	250.80	橙橙1易伤2矿等1伤害	1金币生成2双倍秒伤39矿等4随机矿5易伤6a核7雷电8伤害
11	22221 22143	   	250.80	橙橙1易伤2矿等1伤害	1金币生成2双倍秒伤39矿等4随机矿5易伤6伤害7雷电8a核
12	21116 12553	   	249.20	橙橙1易伤1等级1伤害	1金币生成2易伤3随机矿4最后敌人5伤害6低血量敌人7a核8雷电9等级
13	21316 12553	   	249.10	橙橙1易伤1等级1伤害	1金币生成2易伤3掉矿4最后敌人5伤害6低血量敌人7a核8雷电9等级
14	21211 34243	   	248.90	橙橙2易伤1伤害	1金币生成23易伤4挖尘5加一6雷电7伤害8a核9赏金塔
15	31561 22163	   	248.90	橙橙1易伤1等级1伤害	1烈焰减费2等级3双倍秒伤4挖尘5易伤6伤害7雷电8a核9低血量敌人
16	33341 31123	   	248.80	橙橙2易伤1伤害	1烈焰减费2头目3赏金塔47易伤59掉矿6伤害8a核
17	33341 31133	   	248.80	橙橙2易伤1伤害	1烈焰减费2头目3赏金塔47易伤5掉矿6伤害8a核9挖尘
18	43261 34243	   	248.80	橙橙1易伤1等级1伤害	14挖尘2等级3易伤5加一6雷电7伤害8a核9赏金塔
