0	Index      	 *	Score 	Summary	Detail	
1	24213 32616	 * 	289.48	橙橙3易伤1暴击1攻速1雷电	138易伤2攻速4赏金邻近5平台6雷电7a核9暴击
2	22111 64263	 * 	272.14	橙3易伤2喷火对甲3雷电2矿等	12a易伤3随机技能458雷电6a矿等7核9a喷火对甲a序列升级
3	22352 63252	 * 	271.10	橙橙3易伤2暴击1卖塔	12a易伤3随机矿46基地爆炸56暴击6序列升级79核8卖塔
4	24322 12431	 * 	267.77	橙4易伤3攻速2暴击1全技能1雷电	1458易伤248攻速3立即金币48序列升级6全技能78暴击9核a雷电
5	53622 12431	   	267.77	橙4易伤3攻速2暴击1全技能1雷电	148攻速2立即金币3458易伤48序列升级6全技能78暴击9核a雷电
6	24313 32616	   	267.34	橙橙2易伤1暴击1攻速1雷电	18易伤2攻速3立即金币4赏金邻近5平台6雷电7a核9暴击
7	22133 13523	   	264.93	橙橙3易伤1全技能	127易伤37随机技能4赏金邻近57最后敌人6赏金塔7序列升级8a核9全技能
8	22134 13523	   	264.93	橙橙3易伤1全技能	127易伤37随机技能4赏金邻近57基地爆炸6赏金塔7序列升级8a核9全技能
9	22135 13523	   	264.93	橙橙3易伤1全技能	127易伤37随机技能4赏金邻近57敌人爆炸6赏金塔7序列升级8a核9全技能
10	22141 13523	   	264.93	橙橙3易伤1全技能	127易伤37随机技能47敌人爆炸5赏金邻近6赏金塔7序列升级8a核9全技能
11	22163 13523	   	264.93	橙橙3易伤1全技能	127易伤37随机技能4赏金塔57最后敌人6赏金邻近7序列升级8a核9全技能
12	22164 13523	   	264.93	橙橙3易伤1全技能	127易伤37随机技能4赏金塔57基地爆炸6赏金邻近7序列升级8a核9全技能
13	22165 13523	   	264.93	橙橙3易伤1全技能	127易伤37随机技能4赏金塔57敌人爆炸6赏金邻近7序列升级8a核9全技能
14	24412 22135	 * 	263.08	橙橙1易伤1喷火对甲1暴击1攻速	1易伤2攻速3喷火对甲4暴击5双倍秒伤6a核7赏金塔8时间9赏金邻近
