0	Index      	 *	Score 	Summary	Detail	
1	61133 15234	 * 	278.46	橙橙1易伤1等级1伤害1矿等1时间	1伤害2双倍矿3等级4矿等5基地爆炸6易伤7时间8随机技能9a核
2	23161 24613	 * 	271.95	橙橙2易伤1矿等1时间1暴击	1雷电2矿等37易伤4最后敌人5时间6暴击8a核9赏金邻近
3	61111 32344	   	262.75	橙橙1易伤1等级1伤害1时间	1伤害2双倍矿3等级4基地爆炸5随机技能6a核7技能点8易伤9时间
4	61161 32314	   	262.65	橙橙1易伤1等级1伤害1时间	1伤害2双倍矿3等级4时间5随机技能6a核7技能点8易伤9雷电减费
5	23114 24613	   	258.29	橙橙2易伤1矿等1暴击	1雷电2矿等37易伤4低血量敌人5最后敌人6暴击8a核9赏金邻近
6	12342 24613	 * 	255.00	橙橙2易伤1等级1卖塔	1低血量敌人2最后敌人37易伤4等级5头目6卖塔8a核9赏金邻近
7	63221 15134	 * 	254.24	橙橙2伤害1易伤1时间	18伤害24基地爆炸3随机技能5最后敌人6易伤7时间9a核
8	42613 13134	   	254.14	橙橙2伤害1易伤1时间	12最后敌人38伤害4挖尘5随机技能6易伤7时间9a核
9	62212 11134	   	254.14	橙橙2伤害1易伤1时间	18伤害2时间3随机技能4敌人爆炸5双倍矿6易伤7挖青9a核
10	62633 12134	   	254.14	橙橙2伤害1易伤1时间	18伤害2时间3最后敌人4火球减费5随机技能6易伤7基地爆炸9a核
11	62213 11134	   	254.04	橙橙2伤害1易伤1时间	18伤害2时间3随机技能4敌人爆炸5暴雪减费6易伤7挖青9a核
12	62232 11134	   	254.04	橙橙2伤害1易伤1时间	18伤害2时间3随机技能4挖尘5双倍矿6易伤7挖青9a核
13	62233 11134	   	253.94	橙橙2伤害1易伤1时间	18伤害2时间3随机技能4挖尘5暴雪减费6易伤7挖青9a核
14	61233 15234	   	252.15	橙橙1易伤1伤害1矿等1时间	1伤害2双倍矿3技能点4矿等5基地爆炸6易伤7时间8随机技能9a核
15	61111 32314	   	249.00	橙橙1易伤1等级1伤害	1伤害2双倍矿3等级4基地爆炸5随机技能6a核7技能点8易伤9雷电减费
16	61141 31214	   	248.90	橙橙1易伤1等级1伤害	1伤害2双倍矿3等级4易伤5随机技能6a核7挖尘8技能点9雷电减费
17	61141 32114	   	248.90	橙橙1易伤1等级1伤害	1伤害2双倍矿3等级4易伤5随机技能6a核7技能点8挖尘9雷电减费
