0	Index      	 *	Score 	Summary	Detail	
1	11651 22422	 * 	259.15	橙橙2伤害1等级1攻速1雷电	1双倍物品2加农对毒3金币生成4攻速5等级6雷电79伤害8a核
2	32234 13131	 * 	250.13	橙橙1易伤1矿等1暴击1雷电	1最后敌人2敌人爆炸3矿等4易伤5雷电6时间7暴击8a核9低血量敌人
3	35234 13131	   	250.13	橙橙1易伤1矿等1暴击1雷电	1最后敌人2基地爆炸3矿等4易伤5雷电6时间7暴击8a核9低血量敌人
4	65224 33131	   	250.13	橙橙1易伤1矿等1暴击1雷电	1敌人爆炸2基地爆炸3矿等4时间5雷电6易伤7暴击8a核9低血量敌人
5	42224 33131	   	250.03	橙橙1易伤1矿等1暴击1雷电	1挖尘2敌人爆炸3矿等4时间5雷电6易伤7暴击8a核9低血量敌人
6	45224 33131	   	250.03	橙橙1易伤1矿等1暴击1雷电	1挖尘2基地爆炸3矿等4时间5雷电6易伤7暴击8a核9低血量敌人
7	42224 33151	   	249.93	橙橙1易伤1矿等1暴击1雷电	1挖尘2敌人爆炸3矿等4时间5雷电6易伤7暴击8a核9挖青
8	23612 41261	 * 	244.54	橙橙1易伤1等级1矿等	1赏金塔2掉矿3矿等4易伤5敌人爆炸69核7随机技能8基地爆炸a等级
9	32244 33131	   	243.19	橙橙1易伤1矿等1暴击1雷电	1最后敌人2敌人爆炸3矿等4基地爆炸5雷电6易伤7暴击8a核9低血量敌人
10	42214 33161	   	243.09	橙橙1易伤1矿等1暴击1雷电	1挖尘2敌人爆炸3矿等4低血量敌人5雷电6易伤7暴击8a核9最后敌人
11	36224 13362	 * 	236.55	橙橙1易伤1伤害1暴击	13最后敌人2随机技能4暴击5掉矿6a核7伤害8易伤9低血量敌人
12	31234 53131	   	234.43	橙橙1易伤1暴击1雷电	1最后敌人2掉矿3时间4易伤5雷电6暴击7敌人爆炸8a核9低血量敌人
13	31244 33131	   	234.43	橙橙1易伤1暴击1雷电	1最后敌人2掉矿3时间4基地爆炸5雷电6易伤7暴击8a核9低血量敌人
14	31264 33131	   	234.43	橙橙1易伤1暴击1雷电	1最后敌人2掉矿3时间4敌人爆炸5雷电6易伤7暴击8a核9低血量敌人
15	31311 51131	   	234.43	橙橙1易伤1暴击1雷电	1最后敌人2掉矿3暴击4时间5易伤6基地爆炸7雷电8a核9低血量敌人
16	61214 33161	   	234.43	橙橙1易伤1暴击1雷电	1敌人爆炸2掉矿3时间4低血量敌人5雷电6易伤7暴击8a核9最后敌人
17	61244 33131	   	234.43	橙橙1易伤1暴击1雷电	1敌人爆炸2掉矿3时间4基地爆炸5雷电6易伤7暴击8a核9低血量敌人
18	61332 31131	   	234.43	橙橙1易伤1暴击1雷电	1敌人爆炸2掉矿3暴击4易伤5基地爆炸6时间7雷电8a核9低血量敌人
19	61361 31131	   	234.43	橙橙1易伤1暴击1雷电	1敌人爆炸2掉矿3暴击4基地爆炸5易伤6时间7雷电8a核9低血量敌人
20	31331 31131	   	234.33	橙橙1易伤1暴击1雷电	1最后敌人2掉矿3暴击4雷电减费5易伤6时间7雷电8a核9低血量敌人
21	41214 33161	   	234.33	橙橙1易伤1暴击1雷电	1挖尘2掉矿3时间4低血量敌人5雷电6易伤7暴击8a核9最后敌人
22	41244 33131	   	234.33	橙橙1易伤1暴击1雷电	1挖尘2掉矿3时间4基地爆炸5雷电6易伤7暴击8a核9低血量敌人
23	41254 23131	   	234.33	橙橙1易伤1暴击1雷电	1挖尘2掉矿3时间4易伤5雷电6暴击7敌人爆炸8a核9低血量敌人
24	41264 33131	   	234.33	橙橙1易伤1暴击1雷电	1挖尘2掉矿3时间4敌人爆炸5雷电6易伤7暴击8a核9低血量敌人
25	41332 31131	   	234.33	橙橙1易伤1暴击1雷电	1挖尘2掉矿3暴击4易伤5基地爆炸6时间7雷电8a核9低血量敌人
26	41361 31131	   	234.33	橙橙1易伤1暴击1雷电	1挖尘2掉矿3暴击4基地爆炸5易伤6时间7雷电8a核9低血量敌人
27	61234 33131	   	234.33	橙橙1易伤1暴击1雷电	1敌人爆炸2掉矿3时间4挖青5雷电6易伤7暴击8a核9低血量敌人
28	61234 33161	   	234.33	橙橙1易伤1暴击1雷电	1敌人爆炸2掉矿3时间4挖青5雷电6易伤7暴击8a核9最后敌人
29	61332 31151	   	234.33	橙橙1易伤1暴击1雷电	1敌人爆炸2掉矿3暴击4易伤5基地爆炸6时间7雷电8a核9挖青
30	61361 31151	   	234.33	橙橙1易伤1暴击1雷电	1敌人爆炸2掉矿3暴击4基地爆炸5易伤6时间7雷电8a核9挖青
31	41234 33131	   	234.23	橙橙1易伤1暴击1雷电	1挖尘2掉矿3时间4挖青5雷电6易伤7暴击8a核9低血量敌人
32	41234 33161	   	234.23	橙橙1易伤1暴击1雷电	1挖尘2掉矿3时间4挖青5雷电6易伤7暴击8a核9最后敌人
33	12616 24524	   	234.23	橙橙1易伤1攻速1雷电	16双倍物品2平台3时间4加一5雷电7易伤8攻速9a核
34	41332 31151	   	234.23	橙橙1易伤1暴击1雷电	1挖尘2掉矿3暴击4易伤5基地爆炸6时间7雷电8a核9挖青
35	41361 31151	   	234.23	橙橙1易伤1暴击1雷电	1挖尘2掉矿3暴击4基地爆炸5易伤6时间7雷电8a核9挖青
36	33255 12841	 * 	233.95	橙橙1等级2全技能1雷电	1最后敌人2平台3挖青47全技能5雷电6加一8等级9a核
37	36223 14362	   	232.19	橙橙1易伤1矿等1暴击	13最后敌人2随机技能4暴击5策反6a核7矿等8易伤9低血量敌人
38	36224 12342	   	230.14	橙橙1易伤1暴击1攻速	13最后敌人2随机技能4暴击5掉矿6a核7基地爆炸8易伤9攻速
39	11126 56222	   	229.94	橙橙1易伤1技能1暴击	1双倍物品2加农对毒3敌人爆炸4易伤5风暴减费69核7暴击8立即金币a技能
40	61333 31551	   	229.94	橙橙1易伤1暴击1攻速	1敌人爆炸2掉矿3暴击4易伤5狙击对毒6攻速7a核8平台9挖尘
