0	Index      	 *	Score 	Summary	Detail	
1	22142 31574	 * 	317.83	DCR|DCR|1VULN|1TLV|1MLV|1DMG|1ASPD	1AETHUN|2ASPD|3TLV|4DMG|5MLV|6RAT|7VULN|8MBVNT|9aRCR
2	11362 31574	   	301.58	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1NUKE|2DMG|3LHND|4TLV|5MLV|6RAT|7VULN|8MBVNT|9aRCR
3	21522 23574	 * 	295.92	DCR|DCR|2VULN|1DMG|1ASPD	1AETHUN|2DMG|3DUR|4MBVNT|56VULN|7ASPD|8RAT|9aRCR
4	22522 21574	   	295.92	DCR|DCR|2VULN|1DMG|1ASPD	1AETHUN|2ASPD|3DUR|4MBVNT|56VULN|7DMG|8RAT|9aRCR
5	33642 31433	 * 	294.74	DCR|DCR|1VULN|2AAC|1MLV|1DMG	1CGEN|29AAC|3FEWX|4DMG|5MLV|6RPLT|7aRCR|8VULN
6	33342 31433	   	294.64	DCR|DCR|1VULN|2AAC|1MLV|1DMG	1CGEN|29AAC|3LEGI|4DMG|5MLV|6RPLT|7aRCR|8VULN
7	33442 31433	   	294.64	DCR|DCR|1VULN|2AAC|1MLV|1DMG	1CGEN|29AAC|3BEXP|4DMG|5MLV|6RPLT|7aRCR|8VULN
8	34132 32462	 * 	290.31	DCR|DCR|2VULN|1TLV|1CDMG	12CGEN|2BPWR|3LIT|4TLV|56VULN|7CDMG|8FEWX|9aRCR
9	34132 32662	   	290.31	DCR|DCR|2VULN|1TLV|1CDMG	12CGEN|2BPWR|3LIT|4TLV|56VULN|7CDMG|8LHND|9aRCR
10	31132 32462	   	290.21	DCR|DCR|2VULN|1TLV|1CDMG	1CGEN|2AEFBLL|3LIT|4TLV|56VULN|7CDMG|8FEWX|9aRCR
11	31132 32662	   	290.21	DCR|DCR|2VULN|1TLV|1CDMG	1CGEN|2AEFBLL|3LIT|4TLV|56VULN|7CDMG|8LHND|9aRCR
12	31161 51162	   	290.11	DCR|DCR|2VULN|1TLV|1CDMG	1CGEN|26AEFBLL|3LIT|4AEPOI|56VULN|6BPWR|7CDMG|8TLV|9aRCR
