0	Index      	 *	Score 	Summary	Detail	
1	45132 32312	 * 	329.45	DCR|DCR|2VULN|2DMG|1TLV	13DMG|24VULN|5MDPS|6RAT|79RCR|8AART|aTLV
2	42232 21314	 * 	325.03	DCR|DCR|2VULN|2DMG|1MLV	16DMG|2LIT|3AART|4DUR|5aVULN|7MLV|89RCR
3	62232 21314	   	325.03	DCR|DCR|2VULN|2DMG|1MLV	1LIT|26DMG|3AART|4DUR|5aVULN|7MLV|89RCR
4	42226 21314	   	316.62	DCR|DCR|2VULN|2DMG|1MLV	16DMG|2LIT|3AART|4aVULN|5BEXP|7MLV|89RCR
5	42242 21314	   	316.62	DCR|DCR|2VULN|2DMG|1MLV	16DMG|2LIT|3AART|4DUST|5aVULN|7MLV|89RCR
6	62226 21314	   	316.62	DCR|DCR|2VULN|2DMG|1MLV	1LIT|26DMG|3AART|4aVULN|5BEXP|7MLV|89RCR
7	62242 21314	   	316.62	DCR|DCR|2VULN|2DMG|1MLV	1LIT|26DMG|3AART|4DUST|5aVULN|7MLV|89RCR
8	45532 32312	   	311.76	DCR|DCR|2VULN|1TLV|1DMG	1DMG|24VULN|3AEPOI|5MDPS|6RAT|79RCR|8AART|aTLV
9	66223 11314	 * 	309.91	DCR|DCR|2VULN|2ASPD|1MLV	1LIT|25ASPD|3AART|4aVULN|6LWND|7MLV|89RCR
10	61231 61314	 * 	307.54	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1LIT|2ERES|3AART|4DUR|5TLV|6ASPD|7MLV|89RCR|aVULN
11	42232 31314	   	307.44	DCR|DCR|2VULN|1MLV|1DMG	1DMG|26LIT|3AART|4DUR|5aVULN|7MLV|89RCR
12	42232 41314	   	307.44	DCR|DCR|2VULN|1MLV|1DMG	1DMG|2LIT|3AART|4DUR|5aVULN|6RCVC|7MLV|89RCR
13	62232 31314	   	307.44	DCR|DCR|2VULN|1MLV|1DMG	16LIT|2DMG|3AART|4DUR|5aVULN|7MLV|89RCR
14	62232 41314	   	307.44	DCR|DCR|2VULN|1MLV|1DMG	1LIT|2DMG|3AART|4DUR|5aVULN|6RCVC|7MLV|89RCR
15	42222 41314	   	307.34	DCR|DCR|2VULN|1MLV|1DMG	1DMG|2LIT|3AART|4aVULN|5AEFBLL|6DUR|7MLV|89RCR
16	62222 41314	   	307.34	DCR|DCR|2VULN|1MLV|1DMG	1LIT|2DMG|3AART|4aVULN|5AEFBLL|6DUR|7MLV|89RCR
17	45132 32311	   	305.67	DCR|DCR|2VULN|2DMG	13DMG|24VULN|5MDPS|6RAT|79RCR|8AART|aDUR
18	42232 21312	   	303.50	DCR|DCR|2DMG|1VULN|1MLV|2DUR	16DMG|2LIT|3AART|4aDUR|5VULN|7MLV|89RCR
19	62232 21312	   	303.50	DCR|DCR|2DMG|1VULN|1MLV|2DUR	1LIT|26DMG|3AART|4aDUR|5VULN|7MLV|89RCR
20	44221 42312	   	301.37	DCR|DCR|2DMG|1VULN|1TLV	16DMG|2RAT|3VULN|4LHND|5DUST|79RCR|8AART|aTLV
21	44243 12312	   	301.37	DCR|DCR|2DMG|1VULN|1TLV	14DMG|2RAT|3VULN|5LWND|6BEXP|79RCR|8AART|aTLV
