0	Index      	 *	Score 	Summary	Detail	
1	12236 11146	 * 	300.03	DCR|DCR|2TLV|1VULN|1AAC|1CDMG	1AAC|2BEXP|3CDMG|45TLV|6aRCR|7MDPS|8VULN|9RAT
2	43222 62253	 * 	299.49	DCR|3MLV|2TLV|1VULN|1ASPD|2RAT|1CDMG	1DUR|289MLV|3CDMG|4VULN|58RAT|6ASPD|78TLV|8BPWR|aRCR
3	62532 41122	 * 	294.14	ACR|DCR|3VULN|2TLV|1AAC	19ZMB|26RCR|3DUST|4AAC|59TLV|79aVULN|8LEGI|9BPWR
4	62632 41122	   	294.14	ACR|DCR|3VULN|2TLV|1AAC	19ZMB|26RCR|3BEXP|4AAC|59TLV|79aVULN|8LEGI|9BPWR
5	62332 41122	 * 	294.01	ACR|DCR|3VULN|1TLV|2ASPD	19ZMB|26RCR|39ASPD|4FEWX|5TLV|79aVULN|8LEGI|9BPWR
6	62352 41122	   	293.91	ACR|DCR|3VULN|1TLV|2ASPD	19ZMB|26RCR|39ASPD|4DUST|5TLV|79aVULN|8LEGI|9BPWR
7	23222 62253	   	291.09	DCR|3MLV|2TLV|1VULN|1ASPD|2RAT|1CDMG	1DUST|289MLV|3CDMG|4VULN|58RAT|6ASPD|78TLV|8BPWR|aRCR
8	14213 25422	 * 	285.43	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1AAC|2DMG|3ERES|4LIT|5TLV|6RPLT|7aRCR|8VULN|9LWND
9	14213 25432	   	285.43	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1AAC|2DMG|3ERES|4LIT|5TLV|6RPLT|7aRCR|8VULN|9FEWX
10	13215 32622	 * 	282.89	DCR|DCR|1VULN|2AAC|1MLV	16AAC|2BBNT|3DUR|4MDPS|5FEWX|78RCR|9VULN|aMLV
11	62332 41422	   	279.23	ACR|DCR|3VULN|1TLV|1ASPD	1ZMB|26RCR|3ASPD|4FEWX|5TLV|78aVULN|9LEGI
12	62332 41125	   	278.86	ACR|DCR|2VULN|1TLV|2ASPD	19ZMB|26RCR|39ASPD|4FEWX|5TLV|79VULN|8LEGI|9BPWR|aDUR
13	43222 62263	   	276.96	DCR|2MLV|2TLV|1VULN|1ASPD|2RAT|1CDMG	1DUR|28MLV|3CDMG|4VULN|58RAT|6ASPD|78TLV|8BPWR|9NUKE|aRCR
14	13215 32623	 * 	276.75	DCR|DCR|1VULN|2AAC|1DMG	16AAC|2BBNT|3DUR|4MDPS|5FEWX|78RCR|9VULN|aDMG
15	41363 21141	   	275.04	DCR|DCR|1TLV|1DMG|1AAC|1ASPD	1DUR|2SNIFST|3LIT|4AAC|5TLV|6ASPD|7aRCR|8DMG|9RPLT
