0	Index      	 *	Score 	Summary	Detail	
1	35121 23434	 * 	326.08	DCR|DCR|3VULN|1TLV|1MLV|1SELL	1TLV|2MLV|379VULN|4SELL|5TBNT|6AME|8aRCR
2	35153 53322	 * 	319.24	DCR|3VULN|3MLV|2TLV|2CDMG	18TLV|257MLV|368VULN|48CDMG|8BPWR|9CGEN|aRCR
3	35522 23412	 * 	317.80	DCR|DCR|3MLV|3TLV|1SELL	134TLV|234MLV|34BPWR|5AEFRZ|6LWND|7aRCR|8SELL|9DUR
4	35522 33432	 * 	317.80	DCR|DCR|3MLV|3TLV|1SELL	134TLV|234MLV|34BPWR|5AEFRZ|6DUR|7aRCR|8SELL|9LWND
5	31224 23534	 * 	316.51	DCR|DCR|2VULN|1TLV|1MLV|1CDMG	1TLV|2TBNT|3CDMG|4RCVC|5AME|6MLV|7aRCR|89VULN
6	32114 23534	   	316.51	DCR|DCR|2VULN|1TLV|1MLV|1CDMG	1TLV|2RCVC|3CDMG|4TBNT|5AME|6MLV|7aRCR|89VULN
7	31523 13342	   	310.92	DCR|DCR|2VULN|1TLV|1MLV|1SELL	1TLV|2TBNT|3LWND|4SELL|57VULN|6DUR|8aRCR|9MLV
8	35522 23422	 * 	309.49	DCR|DCR|3MLV|3TLV|1SELL	134TLV|234MLV|34BPWR|5AEFRZ|6LWND|7aRCR|8SELL|9FEWX
9	35522 23432	 * 	309.39	DCR|DCR|3MLV|3TLV|1SELL	134TLV|234MLV|34BPWR|5AEFRZ|6LWND|7aRCR|8SELL|9DUST
10	31233 53534	 * 	304.38	DCR|DCR|2VULN|2TLV|1CDMG	15TLV|2TBNT|3CDMG|4BEXP|6DMSP|7aRCR|89VULN
11	31233 33534	   	304.28	DCR|DCR|2VULN|2TLV|1CDMG	15TLV|2TBNT|3CDMG|4BEXP|6AEFRZ|7aRCR|89VULN
12	31233 63534	   	304.28	DCR|DCR|2VULN|2TLV|1CDMG	15TLV|2TBNT|3CDMG|4BEXP|6AEWIND|7aRCR|89VULN
13	25533 32161	 * 	303.06	DCR|DCR|2MLV|1TLV|2ASPD	13ASPD|23MLV|3BPWR|4LHND|5TLV|6aRCR|7AEFRZ|8AART|9SPLREG
14	31523 53342	   	302.61	DCR|DCR|2VULN|1TLV|1MLV|1SELL	1TLV|2TBNT|3LWND|4SELL|57VULN|6LHND|8aRCR|9MLV
15	35121 23424	   	302.51	DCR|DCR|2VULN|1TLV|1MLV|1SELL	1TLV|2MLV|37VULN|4SELL|5TBNT|6AME|8aRCR|9AEBURN
16	31523 23434	 * 	299.87	DCR|DCR|3VULN|1TLV|1SELL	1TLV|2TBNT|36LWND|4SELL|579VULN|8aRCR
17	36121 23434	 * 	299.87	DCR|DCR|3VULN|1TLV|1SELL	1TLV|2CGEN|379VULN|4SELL|5TBNT|6AME|8aRCR
18	62121 23434	 * 	299.87	DCR|DCR|3VULN|1TLV|1SELL	1RCVC|2LHND|379VULN|4SELL|5TBNT|6TLV|8aRCR
19	36153 15222	 * 	299.51	DCR|3VULN|3TLV|2MLV|1CDMG	179TLV|27CGEN|368VULN|4CDMG|57MLV|7BPWR|aRCR
20	31523 15342	 * 	297.02	DCR|DCR|2TLV|1VULN|1MLV|1SELL	17TLV|2TBNT|3LWND|4SELL|5VULN|6DUR|8aRCR|9MLV
21	25533 35312	 * 	296.95	DCR|2VULN|2MLV|1TLV|2ASPD|1DMG	13ASPD|23MLV|3BPWR|4LHND|5TLV|6RCR|7RAT|8aVULN|9DMG
22	31223 21342	   	296.74	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1TLV|2TBNT|3CDMG|4RCVC|5VULN|6DUR|7LWND|8aRCR|9MLV
23	31223 22342	   	296.74	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1TLV|2TBNT|3CDMG|4RCVC|5VULN|6DUR|7LHND|8aRCR|9MLV
24	32113 21342	   	296.74	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1TLV|2RCVC|3CDMG|4TBNT|5VULN|6DUR|7LWND|8aRCR|9MLV
25	32113 22342	   	296.74	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1TLV|2RCVC|3CDMG|4TBNT|5VULN|6DUR|7LHND|8aRCR|9MLV
26	31223 25342	   	296.64	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1TLV|2TBNT|3CDMG|4RCVC|5VULN|6DUR|7DUST|8aRCR|9MLV
27	32113 25342	   	296.64	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1TLV|2RCVC|3CDMG|4TBNT|5VULN|6DUR|7DUST|8aRCR|9MLV
28	34113 21342	   	296.64	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1TLV|2AEFBLL|3CDMG|4TBNT|5VULN|6DUR|7LWND|8aRCR|9MLV
29	34113 22342	   	296.64	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1TLV|2AEFBLL|3CDMG|4TBNT|5VULN|6DUR|7LHND|8aRCR|9MLV
30	34113 25342	   	296.54	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1TLV|2AEFBLL|3CDMG|4TBNT|5VULN|6DUR|7DUST|8aRCR|9MLV
31	32131 63534	   	296.52	DCR|DCR|2VULN|1TLV|2CDMG	1TLV|2RCVC|34CDMG|5DUST|6BBNT|7aRCR|89VULN
