0	Index      	 *	Score 	Summary	Detail	
1	33121 45522	 * 	304.48	DCR|DCR|2VULN|2TLV|1CDMG	18CGEN|28TLV|3TBNT|4SNIFST|5CDMG|68VULN|7aRCR|8BPWR|9ERES
2	34512 22161	 * 	302.36	DCR|DCR|2TLV|1VULN|1MLV|1CDMG|1SELL	1CGEN|2VULN|3AME|4CDMG|5MLV|6SELL|78TLV|9aRCR
3	14312 22161	 * 	302.26	DCR|DCR|2TLV|1VULN|1MLV|1CDMG|1SELL	1AME|2VULN|3ERES|4CDMG|5MLV|6SELL|78TLV|9aRCR
4	32512 12561	   	296.62	DCR|DCR|2VULN|1TLV|1DMG	16CGEN|2AEBURN|3DMG|48VULN|5LHND|7TLV|9aRCR
5	32512 22561	   	296.62	DCR|DCR|2VULN|1TLV|1DMG	1CGEN|2AEBURN|3DMG|48VULN|56LHND|7TLV|9aRCR
6	54331 13261	 * 	292.39	DCR|DCR|2MLV|1TLV|1DMG	15LWND|2DMG|3RCVC|4DUR|6TLV|78MLV|9aRCR
7	32513 12161	   	291.02	DCR|DCR|2TLV|1VULN|1DMG	16CGEN|2AEBURN|3DMG|4VULN|5DUR|78TLV|9aRCR
8	12513 52161	   	290.92	DCR|DCR|2TLV|1VULN|1DMG	1AME|2AEPOI|3DMG|4VULN|5DUR|68TLV|7AEFBLL|9aRCR
9	32513 52161	   	290.92	DCR|DCR|2TLV|1VULN|1DMG	1CGEN|2AEBURN|3DMG|4VULN|5DUR|68TLV|7AEFRZ|9aRCR
10	14312 22561	 * 	287.99	DCR|DCR|1VULN|1TLV|1MLV|1CDMG|1SELL	1AME|2VULN|38ERES|4CDMG|5MLV|6SELL|7TLV|9aRCR
11	12324 62161	   	287.21	DCR|DCR|2TLV|1VULN|1ASPD	14AME|2AEPOI|3DUR|5ASPD|6VULN|78TLV|9aRCR
12	24131 13261	   	284.08	DCR|DCR|2MLV|1TLV|1DMG	1LHND|2DMG|35LWND|4DMSP|6TLV|78MLV|9aRCR
13	24133 13261	   	284.08	DCR|DCR|2MLV|1TLV|1DMG	15LHND|2DMG|3LWND|4DMSP|6TLV|78MLV|9aRCR
14	54113 13261	   	284.08	DCR|DCR|2MLV|1TLV|1DMG	13LWND|2DMG|45LHND|6TLV|78MLV|9aRCR
15	54311 13261	   	284.08	DCR|DCR|2MLV|1TLV|1DMG	15LWND|2DMG|3RCVC|4LHND|6TLV|78MLV|9aRCR
16	54313 13261	   	284.08	DCR|DCR|2MLV|1TLV|1DMG	1LWND|2DMG|3RCVC|45LHND|6TLV|78MLV|9aRCR
17	11422 13261	   	283.98	DCR|DCR|2MLV|1TLV|1DMG	1AME|2ERES|3DMSP|4DMG|5LHND|6TLV|78MLV|9aRCR
18	24141 13261	   	283.98	DCR|DCR|2MLV|1TLV|1DMG	1LHND|2DMG|35LWND|4AEPOI|6TLV|78MLV|9aRCR
19	24143 13261	   	283.98	DCR|DCR|2MLV|1TLV|1DMG	15LHND|2DMG|3LWND|4AEPOI|6TLV|78MLV|9aRCR
20	24362 13261	   	283.98	DCR|DCR|2MLV|1TLV|1DMG	1LHND|2DMG|3ERES|4RMIN|5DMSP|6TLV|78MLV|9aRCR
21	11322 13261	   	283.88	DCR|DCR|2MLV|1TLV|1DMG	1AME|2ERES|3AEFBLL|4DMG|5LHND|6TLV|78MLV|9aRCR
22	11423 13261	   	283.88	DCR|DCR|2MLV|1TLV|1DMG	1AME|2ERES|3DMSP|4DMG|5BEXP|6TLV|78MLV|9aRCR
23	11323 13261	   	283.78	DCR|DCR|2MLV|1TLV|1DMG	1AME|2ERES|3AEFBLL|4DMG|5BEXP|6TLV|78MLV|9aRCR
24	34134 12161	   	282.82	DCR|DCR|2TLV|1VULN|1DMG	16CGEN|2VULN|35LWND|4DMG|78TLV|9aRCR
25	34134 32161	   	282.82	DCR|DCR|2TLV|1VULN|1DMG	1CGEN|2VULN|35LWND|4DMG|6DMSP|78TLV|9aRCR
26	34231 12161	   	282.82	DCR|DCR|2TLV|1VULN|1DMG	16CGEN|2VULN|35FEWX|4DMG|78TLV|9aRCR
27	34235 12161	   	282.82	DCR|DCR|2TLV|1VULN|1DMG	16CGEN|2VULN|3FEWX|4DMG|5DMSP|78TLV|9aRCR
28	32512 12161	   	282.72	DCR|DCR|2TLV|1VULN|1DMG	16CGEN|2AEBURN|3DMG|4VULN|5LHND|78TLV|9aRCR
29	32512 22161	   	282.72	DCR|DCR|2TLV|1VULN|1DMG	1CGEN|2AEBURN|3DMG|4VULN|56LHND|78TLV|9aRCR
30	33322 16661	   	282.72	DCR|DCR|2TLV|1VULN|1DMG	1CGEN|27TLV|3AEFBLL|4DMG|5VULN|6AME|8RMIN|9aRCR
31	33422 16361	   	282.72	DCR|DCR|2TLV|1VULN|1DMG	1CGEN|27TLV|3DMSP|4DMG|5VULN|6AME|8ERES|9aRCR
32	34132 12161	   	282.72	DCR|DCR|2TLV|1VULN|1DMG	16CGEN|2VULN|3LWND|4DMG|5AEFRZ|78TLV|9aRCR
33	34132 32161	   	282.72	DCR|DCR|2TLV|1VULN|1DMG	1CGEN|2VULN|3LWND|4DMG|5AEFRZ|6DMSP|78TLV|9aRCR
34	12512 52161	   	282.62	DCR|DCR|2TLV|1VULN|1DMG	1AME|2AEPOI|3DMG|4VULN|5LHND|68TLV|7AEFBLL|9aRCR
35	32512 52161	   	282.62	DCR|DCR|2TLV|1VULN|1DMG	1CGEN|2AEBURN|3DMG|4VULN|5LHND|68TLV|7AEFRZ|9aRCR
36	33322 16361	   	282.62	DCR|DCR|2TLV|1VULN|1DMG	1CGEN|27TLV|3AEFBLL|4DMG|5VULN|6AME|8ERES|9aRCR
37	33422 32161	   	282.62	DCR|DCR|2TLV|1VULN|1DMG	1CGEN|28TLV|3DMSP|4DMG|5VULN|6BEXP|7AEFRZ|9aRCR
38	33422 42161	   	282.62	DCR|DCR|2TLV|1VULN|1DMG	1CGEN|28TLV|3DMSP|4DMG|5VULN|6DUST|7AEFRZ|9aRCR
39	33322 32161	   	282.52	DCR|DCR|2TLV|1VULN|1DMG	1CGEN|28TLV|3AEFBLL|4DMG|5VULN|6BEXP|7AEFRZ|9aRCR
40	33322 42161	   	282.52	DCR|DCR|2TLV|1VULN|1DMG	1CGEN|28TLV|3AEFBLL|4DMG|5VULN|6DUST|7AEFRZ|9aRCR
41	54331 13161	 * 	282.38	DCR|DCR|2TLV|1MLV|1DMG	15LWND|2DMG|3RCVC|4DUR|68TLV|7MLV|9aRCR
42	24131 13661	 * 	277.48	DCR|DCR|2DMG|1TLV|1MLV	1LHND|28DMG|35LWND|4DMSP|6TLV|7MLV|9aRCR
43	24133 13661	   	277.48	DCR|DCR|2DMG|1TLV|1MLV	15LHND|28DMG|3LWND|4DMSP|6TLV|7MLV|9aRCR
44	12343 62161	   	277.41	DCR|DCR|2TLV|1VULN|2DUR	1AME|2AEPOI|35DUR|4NUKE|6VULN|78TLV|9aRCR
45	11422 13661	   	277.38	DCR|DCR|2DMG|1TLV|1MLV	1AME|2ERES|3DMSP|48DMG|5LHND|6TLV|7MLV|9aRCR
46	11322 13661	   	277.28	DCR|DCR|2DMG|1TLV|1MLV	1AME|2ERES|3AEFBLL|48DMG|5LHND|6TLV|7MLV|9aRCR
