0	Index      	 *	Score 	Summary	Detail	
1	35312 13436	 * 	331.10	DCR|DCR|2VULN|2DMG|1TLV|1AAC	1FEWX|2AAC|3TLV|45DMG|6aVULN|79RCR|8BEXP
2	43253 22413	   	320.31	DCR|DCR|2VULN|1TLV|1DMG|1AAC|1SELL	1SELL|2CGEN|3TLV|4AAC|5DMG|68VULN|7aRCR|9RAT
3	62223 42413	 * 	311.03	DCR|DCR|3VULN|1DMG|1ASPD|1SELL	1ASPD|2LWND|348VULN|5SELL|6DMG|7aRCR|9RAT
4	13453 41882	 * 	310.08	ACR|DCR|3MLV|2DMG|1VULN|2CDMG	18CGEN|2MBVNT|36DMG|468MLV|59RCR|68BPWR|78CDMG|aVULN
5	62311 13232	 * 	307.78	DCR|DCR|1VULN|1TLV|2ASPD|1DMG	15ASPD|2LWND|3TLV|4DMG|6VULN|79RCR|8DUR|aCGEN
6	62311 13233	   	307.78	DCR|DCR|1VULN|1TLV|2ASPD|1DMG	15ASPD|2aLWND|3TLV|4DMG|6VULN|79RCR|8DUR
7	62311 13234	   	307.78	DCR|DCR|1VULN|1TLV|2ASPD|1DMG	15ASPD|2LWND|3TLV|4DMG|6VULN|79RCR|8DUR|aDMSP
8	64611 13232	   	307.68	DCR|DCR|1VULN|1TLV|2ASPD|1DMG	15ASPD|2AETHUN|3TLV|4DMG|6VULN|79RCR|8DUR|aCGEN
9	64611 13233	   	307.68	DCR|DCR|1VULN|1TLV|2ASPD|1DMG	15ASPD|2AETHUN|3TLV|4DMG|6VULN|79RCR|8DUR|aLWND
10	62311 13231	   	307.68	DCR|DCR|1VULN|1TLV|2ASPD|1DMG	15ASPD|2LWND|3TLV|4DMG|6VULN|79RCR|8DUR|aMBVNT
11	62311 13235	   	307.68	DCR|DCR|1VULN|1TLV|2ASPD|1DMG	15ASPD|2LWND|3TLV|4DMG|6VULN|79RCR|8DUR|aAEBURN
12	62311 13236	   	307.68	DCR|DCR|1VULN|1TLV|2ASPD|1DMG	15ASPD|2LWND|3TLV|4DMG|6VULN|79RCR|8DUR|aERES
13	64611 13231	   	307.58	DCR|DCR|1VULN|1TLV|2ASPD|1DMG	15ASPD|2AETHUN|3TLV|4DMG|6VULN|79RCR|8DUR|aMBVNT
14	35312 13432	   	303.02	DCR|DCR|2DMG|1VULN|1TLV|1AAC	1FEWX|2AAC|3TLV|45DMG|6VULN|79RCR|8BEXP|aCGEN
15	35312 13433	   	303.02	DCR|DCR|2DMG|1VULN|1TLV|1AAC	1FEWX|2AAC|3TLV|45DMG|6VULN|79RCR|8BEXP|aLWND
16	35312 13435	   	303.02	DCR|DCR|2DMG|1VULN|1TLV|1AAC	1FEWX|2AAC|3TLV|45DMG|6VULN|79RCR|8BEXP|aFRZARM
17	35312 13431	   	302.92	DCR|DCR|2DMG|1VULN|1TLV|1AAC	1FEWX|2AAC|3TLV|45DMG|6VULN|79RCR|8BEXP|aMBVNT
18	35312 13434	   	302.92	DCR|DCR|2DMG|1VULN|1TLV|1AAC	1FEWX|2AAC|3TLV|45DMG|6VULN|79RCR|8BEXP|aLEGI
