0	Index      	 *	Score 	Summary	Detail	
1	31145 21214	 * 	350.58	ACR|DCR|3MLV|2VULN|2DMG|1TLV	14DMG|26RCR|34aMLV|4BPWR|58VULN|7TLV|9LIT
2	31145 21231	 * 	349.51	ACR|DCR|2VULN|2MLV|2TLV|2DMG	14DMG|26RCR|34MLV|4BPWR|58VULN|79TLV|aDUR
3	31145 21215	   	341.21	ACR|DCR|2VULN|2MLV|2TLV|2DMG	14DMG|26RCR|34MLV|4BPWR|58VULN|7aTLV|9LIT
4	31145 21232	   	341.21	ACR|DCR|2VULN|2MLV|2TLV|2DMG	14DMG|26RCR|34MLV|4BPWR|58VULN|79TLV|aTBNT
5	31145 21233	   	341.21	ACR|DCR|2VULN|2MLV|2TLV|2DMG	14DMG|26RCR|34MLV|4BPWR|58VULN|79TLV|aLWND
6	31145 21235	   	341.21	ACR|DCR|2VULN|2MLV|2TLV|2DMG	14DMG|26RCR|34MLV|4BPWR|58VULN|79TLV|aLIT
7	31145 21236	   	341.21	ACR|DCR|2VULN|2MLV|2TLV|2DMG	14DMG|26RCR|34MLV|4BPWR|58VULN|79TLV|aDMSP
8	31145 21234	   	341.11	ACR|DCR|2VULN|2MLV|2TLV|2DMG	14DMG|26RCR|34MLV|4BPWR|58VULN|79TLV|aAETHUN
9	31145 21221	   	335.24	ACR|DCR|2VULN|2MLV|2DMG|1TLV	14DMG|26RCR|34MLV|4BPWR|58VULN|7TLV|9AEFRZ|aDUR
10	31145 21335	   	331.90	ACR|DCR|2MLV|2TLV|2DMG|1VULN|1AAC	14DMG|26RCR|34MLV|4BPWR|5VULN|7aTLV|8BBNT|9AAC
11	61122 21356	 * 	331.75	ACR|DCR|3MLV|2TLV|2DMG|1AAC	13aMLV|26RCR|4AAC|5DUR|7aTLV|8BELT|9aDMG|aBPWR
12	61125 21214	   	329.72	ACR|DCR|3MLV|2VULN|1TLV|1AAC	13aMLV|26RCR|4AAC|58VULN|7TLV|9LIT
13	61125 21231	   	328.65	ACR|DCR|2VULN|2MLV|2TLV|1AAC	13MLV|26RCR|4AAC|58VULN|79TLV|aDUR
14	31145 21212	   	327.03	ACR|DCR|2VULN|2MLV|2DMG|1TLV	14DMG|26RCR|34MLV|4BPWR|58VULN|7TLV|9LIT|aCGEN
15	31136 21214	   	326.93	ACR|DCR|2VULN|2MLV|2DMG|1TLV	15DMG|26RCR|3aMLV|48VULN|7TLV|9LIT
16	31144 21236	   	326.93	ACR|DCR|2VULN|2MLV|2DMG|1TLV	14DMG|26RCR|34MLV|4BPWR|5DUST|7TLV|8aVULN|9LHND
17	31145 21211	   	326.93	ACR|DCR|2VULN|2MLV|2DMG|1TLV	14DMG|26RCR|34MLV|4BPWR|58VULN|7TLV|9LIT|aDUST
