0	Index      	 *	Score 	Summary	Detail	
1	62133 14862	 * 	294.73	DCR|DCR|3VULN|1DMG	1MDPS|2MBVNT|345VULN|6DUST|7aRCR|8DMG|9RAT
2	51262 31411	 * 	294.71	DCR|3VULN|2MLV|1TLV|1AAC	1RAT|257VULN|35MLV|4AAC|5BPWR|6DUR|8RCR|9TLV|aRPLT
3	51262 31412	   	294.71	DCR|3VULN|2MLV|1TLV|1AAC	1RAT|257VULN|35MLV|4AAC|5BPWR|6DUR|8RCR|9TLV|aLHND
4	51262 31413	   	294.71	DCR|3VULN|2MLV|1TLV|1AAC	1RAT|257VULN|35MLV|4AAC|5BPWR|6DUR|8RCR|9TLV|aBELT
5	31123 73171	 * 	293.74	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1RCVC|2AART|3TBNT|4MBVNT|5DMG|6AAC|7TLV|8aRCR|9VULN
6	31123 43171	   	293.10	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1RCVC|2AART|3TBNT|4MBVNT|5DMG|6ASPD|7TLV|8aRCR|9VULN
7	25612 62124	 * 	290.93	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1ASPD|2LIT|3TBNT|4MBVNT|5TLV|6aRCR|7VULN|8FEWX|9MLV
8	25612 62324	   	290.93	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1ASPD|2LIT|3TBNT|4MBVNT|5TLV|6aRCR|7VULN|8LWND|9MLV
9	62133 14362	   	290.91	DCR|DCR|3VULN|1ASPD	1MDPS|2MBVNT|345VULN|6DUST|7aRCR|8ASPD|9RAT
10	62153 14362	   	290.91	DCR|DCR|3VULN|1ASPD	1MDPS|2MBVNT|345VULN|4BPWR|6DUST|7aRCR|8ASPD|9RAT
11	25612 62224	   	290.83	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1ASPD|2LIT|3TBNT|4MBVNT|5TLV|6aRCR|7VULN|8DUST|9MLV
12	31123 77131	 * 	287.85	DCR|DCR|1VULN|1MLV|1DMG|1AAC	1RCVC|2AART|3TBNT|4MBVNT|5DMG|6AAC|7MLV|8aRCR|9VULN
13	31123 47131	   	287.21	DCR|DCR|1VULN|1MLV|1DMG|1ASPD	1RCVC|2AART|3TBNT|4MBVNT|5DMG|6ASPD|7MLV|8aRCR|9VULN
14	51252 12411	 * 	285.19	DCR|2VULN|2MLV|1TLV|2ASPD	1RAT|24VULN|34MLV|4BPWR|56ASPD|7DUR|8RCR|9TLV|aRPLT
15	51252 12412	   	285.19	DCR|2VULN|2MLV|1TLV|2ASPD	1RAT|24VULN|34MLV|4BPWR|56ASPD|7DUR|8RCR|9TLV|aLHND
16	51252 12413	   	285.19	DCR|2VULN|2MLV|1TLV|2ASPD	1RAT|24VULN|34MLV|4BPWR|56ASPD|7DUR|8RCR|9TLV|aBELT
17	51252 25223	 * 	284.63	DCR|3MLV|2VULN|1TLV|1ASPD	1RAT|24VULN|349MLV|4BPWR|5ASPD|6SPLREG|7LWND|8RCR|aTLV
18	22111 51142	 * 	283.74	DCR|DCR|2ASPD|1MLV|1DMG|1AAC	18ASPD|2MSLREG|3AART|4MLV|5CGEN|6aRCR|7DMG|9AAC
19	22112 51142	   	283.74	DCR|DCR|2ASPD|1MLV|1DMG|1AAC	18ASPD|2MSLREG|3AART|4MLV|5RMIN|6aRCR|7DMG|9AAC
20	22113 51142	   	283.74	DCR|DCR|2ASPD|1MLV|1DMG|1AAC	18ASPD|2MSLREG|3AART|4MLV|5AME|6aRCR|7DMG|9AAC
21	24111 51142	   	283.74	DCR|DCR|2ASPD|1MLV|1DMG|1AAC	18ASPD|2MULARM|3AART|4MLV|5CGEN|6aRCR|7DMG|9AAC
22	24112 51142	   	283.74	DCR|DCR|2ASPD|1MLV|1DMG|1AAC	18ASPD|2MULARM|3AART|4MLV|5RMIN|6aRCR|7DMG|9AAC
23	24113 51142	   	283.74	DCR|DCR|2ASPD|1MLV|1DMG|1AAC	18ASPD|2MULARM|3AART|4MLV|5AME|6aRCR|7DMG|9AAC
24	22115 51142	   	283.64	DCR|DCR|2ASPD|1MLV|1DMG|1AAC	18ASPD|2MSLREG|3AART|4MLV|5ERES|6aRCR|7DMG|9AAC
25	63221 32651	   	281.34	DCR|DCR|1VULN|1TLV|1ASPD	1MDPS|2BELT|3VULN|4RPLT|5ASPD|6AART|7DUR|8TLV|9aRCR
26	51111 22414	   	281.26	DCR|2VULN|1TLV|2ASPD|1MLV|2RAT|1CDMG	18RAT|28VULN|3AART|4TLV|5CDMG|6RCR|78ASPD|8BPWR|9AETHUN|aMLV
27	62627 12121	   	279.16	DCR|DCR|1VULN|1MLV|1DMG	1MDPS|2MBVNT|3MLV|4VULN|5DMG|6ZMB|7AART|8aRCR|9DUR
28	51262 21431	 * 	278.04	DCR|2VULN|2MLV|2AAC|1TLV	1RAT|25VULN|35MLV|4aAAC|5BPWR|6TBNT|7LIT|8RCR|9TLV
29	22214 35623	 * 	277.88	DCR|3MLV|1VULN|1TLV|1DMG|1ASPD	1ASPD|2MSLREG|3DUR|489MLV|5TLV|6VULN|7DMG|aRCR
30	51252 13411	   	276.88	DCR|2VULN|2MLV|1TLV|2ASPD	1RAT|24VULN|34MLV|4BPWR|56ASPD|7FEWX|8RCR|9TLV|aRPLT
