0	Index      	 *	Score 	Summary	Detail	
1	54441 54344	 * 	294.00	DCR|3VULN|3MLV|3DUR|1CDMG	1MBVNT|28aDUR|38aVULN|4CDMG|5FEWX|6AART|78aMLV|8aBPWR|9RCR
2	26821 74144	 * 	291.79	DCR|DCR|2VULN|1TLV|1DMG	1FRZICY|2MBVNT|38VULN|4TLV|5DUST|6DMG|7aRCR|9LHND
3	26821 82144	   	291.79	DCR|DCR|2VULN|1TLV|1DMG	1FRZICY|2MBVNT|38VULN|4TLV|5DUST|6aRCR|7DMG|9LHND
4	26824 74134	   	291.79	DCR|DCR|2VULN|1TLV|1DMG	1FRZICY|2MBVNT|38VULN|4TLV|5FEWX|6DMG|7aRCR|9DUST
5	26824 82134	   	291.79	DCR|DCR|2VULN|1TLV|1DMG	1FRZICY|2MBVNT|38VULN|4TLV|5FEWX|6aRCR|7DMG|9DUST
6	26821 84444	   	287.97	DCR|DCR|2VULN|1TLV|1ASPD	1FRZICY|2MBVNT|37VULN|4TLV|5DUST|6aRCR|8ASPD|9LHND
7	57422 36334	   	287.97	DCR|DCR|2VULN|1TLV|1ASPD	1MBVNT|2FEWX|35VULN|45BEXP|5BPWR|6aRCR|7ASPD|8FRZARM|9TLV
8	57422 36234	   	287.87	DCR|DCR|2VULN|1TLV|1ASPD	1MBVNT|2FEWX|35VULN|45BEXP|5BPWR|6aRCR|7ASPD|8BASARM|9TLV
9	57442 54344	   	282.44	DCR|3VULN|3MLV|1CDMG	1MBVNT|28aFEWX|38aVULN|4CDMG|5DUR|6AART|78aMLV|8aBPWR|9RCR
10	32533 23366	 * 	279.51	DCR|3VULN|2TLV|2ASPD|1DMG	1RPLT|28aVULN|3AART|48ASPD|5BEXP|6DMG|78TLV|8BPWR|9RCR
11	52324 32254	 * 	276.05	DCR|DCR|2TLV|1MLV|1DMG	1MBVNT|2MDPS|3ERES|45TLV|6aRCR|7MLV|8CANARM|9DMG
12	52324 32354	   	276.05	DCR|DCR|2TLV|1MLV|1DMG	1MBVNT|2MDPS|3ERES|45TLV|6aRCR|7MLV|8VENFST|9DMG
13	52324 32854	   	276.05	DCR|DCR|2TLV|1MLV|1DMG	1MBVNT|2MDPS|3ERES|45TLV|6aRCR|7MLV|8BASARM|9DMG
14	53344 43367	 * 	275.94	DCR|2VULN|2MLV|2DMG|1TLV	1MBVNT|2aDMG|3LIT|4RCVC|5aMLV|6RCR|7AEBURN|8TLV|9aVULN|aBPWR
15	57422 32451	 * 	275.16	DCR|DCR|2VULN|1MLV	1MBVNT|2FEWX|35VULN|45BEXP|5BPWR|69RCR|7MLV|8BELT|aRAT
16	51424 64374	   	274.03	DCR|3VULN|3MLV|1CDMG	1MBVNT|28aLHND|38aVULN|4BEXP|5AART|6CDMG|78aMLV|8aBPWR|9RCR
17	53232 52181	 * 	272.02	DCR|3MLV|2DMG|1VULN|2ASPD	1MBVNT|28DMG|3BBNT|4MDPS|578MLV|68ASPD|8BPWR|9RCR|aVULN
18	26822 17144	   	271.82	DCR|DCR|2VULN|1TLV	1FRZICY|2MBVNT|38VULN|4TLV|5LWND|6ZMB|7aRCR|9FEWX
19	26821 84244	   	271.72	DCR|DCR|2VULN|1TLV	1FRZICY|2MBVNT|37VULN|4TLV|5DUST|6aRCR|8ZMB|9LHND
20	26821 14144	   	271.72	DCR|DCR|2VULN|1TLV	1FRZICY|2MBVNT|38VULN|4TLV|5DUST|6ZMB|7aRCR|9LHND
21	26822 17134	   	271.72	DCR|DCR|2VULN|1TLV	1FRZICY|2MBVNT|38VULN|4TLV|5LWND|6ZMB|7aRCR|9DUST
22	26824 14134	   	271.72	DCR|DCR|2VULN|1TLV	1FRZICY|2MBVNT|38VULN|4TLV|5FEWX|6ZMB|7aRCR|9DUST
23	54441 53344	 * 	271.34	DCR|3VULN|3TLV|3DUR|1CDMG	1MBVNT|28aDUR|38aVULN|4CDMG|5FEWX|6AART|78aTLV|8aBPWR|9RCR
24	54233 61283	   	270.62	DCR|DCR|1TLV|1MLV|2DUR|1CDMG	1MBVNT|24DUR|3CDMG|5FEWX|6MLV|7RPLT|89RCR|aTLV
25	32533 23361	 * 	270.59	DCR|2VULN|2TLV|3ASPD|1DMG	1RPLT|28VULN|3AART|48aASPD|5BEXP|6DMG|78TLV|8BPWR|9RCR
26	52324 32453	   	269.74	DCR|DCR|2TLV|1MLV|1CDMG	1MBVNT|2MDPS|3ERES|45TLV|69RCR|7MLV|8BELT|aCDMG
27	52231 33844	   	269.04	DCR|2VULN|2MLV|2DMG|1AAC	1MBVNT|2MDPS|3RMIN|4AART|5aMLV|6AAC|7aVULN|8aDMG|9RCR|aBPWR
28	57422 32452	   	268.12	DCR|DCR|2VULN|1MLV	1MBVNT|2FEWX|35VULN|45BEXP|5BPWR|69RCR|7MLV|8BELT|aDUST
29	57422 32453	   	268.12	DCR|DCR|2VULN|1MLV	1MBVNT|2FEWX|35VULN|45BEXP|5BPWR|69RCR|7MLV|8BELT|aAEBURN
30	57422 32454	   	268.12	DCR|DCR|2VULN|1MLV|1MSE	1MBVNT|2FEWX|35VULN|45BEXP|5BPWR|69RCR|7MLV|8BELT|aMSE
31	54441 54744	   	266.65	DCR|3MLV|2VULN|2DUR|1CDMG	1MBVNT|2aDUR|3aVULN|4CDMG|5FEWX|6AART|78aMLV|9RCR|aBPWR
32	32533 23364	   	265.67	DCR|2VULN|2TLV|2ASPD|1DMG	1RPLT|28VULN|3AART|48ASPD|5BEXP|6DMG|78TLV|8BPWR|9RCR|aDUR
33	26821 74444	   	265.58	DCR|DCR|1VULN|1TLV|1DMG	1FRZICY|2MBVNT|3VULN|4TLV|5DUST|6DMG|7aRCR|8DMSP|9LHND
34	26821 82444	   	265.58	DCR|DCR|1VULN|1TLV|1DMG	1FRZICY|2MBVNT|3VULN|4TLV|5DUST|6aRCR|7DMG|8DMSP|9LHND
35	53214 11415	 * 	265.58	DCR|DCR|2AAC|1TLV|1DMG	1MBVNT|2DMG|3BBNT|4RPLT|56AAC|7aRCR|8LIT|9TLV
36	26824 74434	   	265.58	DCR|DCR|1VULN|1TLV|1DMG	1FRZICY|2MBVNT|3VULN|4TLV|5FEWX|6DMG|7aRCR|8DMSP|9DUST
37	26824 82434	   	265.58	DCR|DCR|1VULN|1TLV|1DMG	1FRZICY|2MBVNT|3VULN|4TLV|5FEWX|6aRCR|7DMG|8DMSP|9DUST
38	56338 24144	   	265.58	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2BBNT|3TLV|4MDPS|5ZMB|6DMG|7RPLT|8aRCR|9VULN
39	58238 24144	   	265.58	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2TLV|3BBNT|4MDPS|5ZMB|6DMG|7RPLT|8aRCR|9VULN
40	26623 82144	   	265.48	DCR|DCR|1VULN|1TLV|1DMG	1FRZICY|2MBVNT|3DUST|4TLV|5LEGI|6aRCR|7DMG|8VULN|9LWND
41	26821 74244	   	265.48	DCR|DCR|1VULN|1TLV|1DMG	1FRZICY|2MBVNT|3VULN|4TLV|5DUST|6DMG|7aRCR|8AEBURN|9LHND
42	26821 82244	   	265.48	DCR|DCR|1VULN|1TLV|1DMG	1FRZICY|2MBVNT|3VULN|4TLV|5DUST|6aRCR|7DMG|8AEBURN|9LHND
43	26824 74234	   	265.48	DCR|DCR|1VULN|1TLV|1DMG	1FRZICY|2MBVNT|3VULN|4TLV|5FEWX|6DMG|7aRCR|8AEBURN|9DUST
44	26824 82234	   	265.48	DCR|DCR|1VULN|1TLV|1DMG	1FRZICY|2MBVNT|3VULN|4TLV|5FEWX|6aRCR|7DMG|8AEBURN|9DUST
45	53633 14334	   	265.48	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2DMG|3AEWIND|4LWND|5VULN|6BEXP|7aRCR|8FRZARM|9TLV
46	26244 53482	 * 	265.38	DCR|DCR|1VULN|1TLV|3DUR	1FRZICY|2MBVNT|3MDPS|457DUR|6VULN|8TLV|9aRCR
47	53633 14234	   	265.38	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2DMG|3AEWIND|4LWND|5VULN|6BEXP|7aRCR|8BASARM|9TLV
48	53683 14334	   	265.38	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2DMG|3AEWIND|4DUST|5VULN|6BEXP|7aRCR|8FRZARM|9TLV
49	52134 53482	   	265.28	DCR|DCR|1VULN|1TLV|3DUR	1MBVNT|2MDPS|357DUR|4LSRREG|6VULN|8TLV|9aRCR
50	53683 14234	   	265.28	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2DMG|3AEWIND|4DUST|5VULN|6BEXP|7aRCR|8BASARM|9TLV
51	54323 44283	 * 	264.73	DCR|DCR|2MLV|1CDMG	1MBVNT|2DUR|3TBNT|4CDMG|5RPLT|6aMLV|79RCR|8RAT
52	56423 44283	   	264.73	DCR|DCR|2MLV|1CDMG	1MBVNT|2BBNT|3DUR|4CDMG|5RPLT|6aMLV|79RCR|8RAT
