0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42232 51342	9	 * 	306.92	橙4易伤3伤害2暴击1时间	1全技能259伤害3479易伤69暴击8核9序列升级a时间
2	15322 22166	2	 * 	302.55	橙5易伤3时间1等级2雷电	158时间2等级38雷电45789易伤58序列升级6立即金币a核
3	42232 53342	9	   	292.05	橙3易伤3伤害2暴击2全技能1时间	17全技能259伤害349易伤69暴击8核9序列升级a时间
4	12112 38716	9	 * 	290.67	橙3易伤3伤害3时间	18a时间2雷电38a伤害4掉矿5挖尘6加一78a易伤8a序列升级9核
5	42232 51341	10	   	290.67	橙4易伤3伤害2暴击	1全技能259伤害3479易伤69暴击8核9序列升级a低血量敌人
6	42232 51341	9	   	290.67	橙4易伤3伤害2暴击	1全技能259伤害3479易伤69暴击8核9序列升级a金币生成
7	42232 51342	10	   	290.67	橙4易伤3伤害2暴击	1全技能259伤害3479易伤69暴击8核9序列升级a随机矿
8	42232 51343	9	   	290.67	橙4易伤3伤害2暴击	1全技能259伤害3479易伤69暴击8核9序列升级a额外掉落
9	42232 51343	10	   	290.57	橙4易伤3伤害2暴击	1全技能259伤害3479易伤69暴击8核9序列升级a掉矿
10	15261 42333	7	 * 	289.13	橙4易伤2时间3暴击1等级	17时间2等级3679易伤457暴击7序列升级8核a雷电
11	11224 32122	9	   	288.77	橙3易伤3时间2伤害1暴击	17a时间2金币生成34a易伤5暴击6雷电8a伤害9核a序列升级
12	12521 31255	10	 * 	286.47	橙3易伤3时间3暴击1等级2雷电	179时间28雷电379暴击4敌人爆炸5等级679易伤79序列升级a核
13	42232 51334	8	   	284.75	橙4易伤2伤害1等级1暴击	1全技能25伤害3479易伤6暴击8核a等级
14	42232 62342	9	   	284.28	橙3易伤3伤害2暴击1时间	1全技能259伤害349易伤6立即金币79暴击8核9序列升级a时间
15	15322 22143	2	   	283.01	橙4易伤3时间1等级2雷电	158时间2等级38雷电4578易伤58序列升级6立即金币9平台a核
16	15326 12143	2	   	282.91	橙4易伤3时间1等级2雷电	158时间2等级38雷电4678易伤8序列升级9平台a核
17	15322 12343	2	   	282.57	橙5易伤2时间1等级	15时间2等级3雷电45678易伤5序列升级9平台a核
18	15322 15612	2	   	282.47	橙5易伤2时间1等级	15时间2等级3雷电4568a易伤5序列升级7赏金塔9核
19	11224 36122	9	   	281.85	橙3易伤2伤害2时间2暴击	1a时间2金币生成34a易伤57暴击6雷电8a伤害9核a序列升级
20	15261 42332	7	   	280.83	橙4易伤2时间3暴击1等级	17时间2等级3679易伤457暴击7序列升级8核a基地爆炸
21	15261 42331	7	   	280.73	橙4易伤2时间3暴击1等级	17时间2等级3679易伤457暴击7序列升级8核a掉矿
22	12122 12116	2	   	279.75	橙5易伤3时间	158时间2雷电389金币生成45678易伤58序列升级a核
23	12122 16166	2	   	279.75	橙5易伤3时间	158时间2雷电378金币生成45689易伤58序列升级a核
24	12122 22166	2	   	279.75	橙5易伤3时间	158时间2雷电38金币生成45789易伤58序列升级6立即金币a核
25	12122 32166	2	   	279.75	橙5易伤3时间	158时间2雷电368金币生成45789易伤58序列升级a核
26	12126 12166	2	   	279.65	橙5易伤3时间	158时间2雷电38金币生成46789易伤8序列升级a核
27	12412 22166	4	   	279.55	橙5易伤3时间	158时间2雷电38掉矿45789易伤58序列升级6立即金币a核
28	12422 22166	3	   	279.55	橙5易伤3时间	158时间2雷电38掉矿45789易伤58序列升级6立即金币a核
29	42232 51136	10	   	279.50	橙4易伤2伤害1暴击1攻速	1全技能25伤害3479易伤6暴击8攻速a核
