0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12312 15744	8	 * 	305.53	橙4易伤3伤害2时间1暴击	1369易伤2立即金币4加一569伤害69序列升级7核89时间a暴击
2	41113 56111	10	 * 	305.20	橙4易伤3伤害3时间	178时间267伤害3掉矿48金币生成5789易伤78序列升级a核
3	53243 14213	6	 * 	303.99	橙5易伤2时间1伤害1等级	1等级24568易伤36时间6序列升级7核9全技能a伤害
4	12312 65843	9	 * 	300.55	橙5易伤3伤害2等级	1368a易伤2立即金币4加一58a伤害7核8a序列升级9a等级
5	41343 12352	10	   	297.33	橙5易伤2伤害1等级1时间	1时间26伤害3456a易伤6序列升级7平台8核9等级
6	12312 15845	10	   	296.73	橙5易伤3伤害1等级	13689易伤2立即金币4加一568伤害68序列升级7核a等级
7	12312 15884	8	   	295.44	橙5易伤3伤害2雷电	1368a易伤2立即金币4加一568伤害68a序列升级7核9a雷电
8	12312 15847	10	   	294.13	橙5易伤3伤害1暴击	13689易伤2立即金币4加一568伤害68序列升级7核a暴击
9	12312 15813	10	   	293.44	橙4易伤3伤害1等级1时间	1368易伤2立即金币4加一568伤害68序列升级7核9时间a等级
10	12312 15822	9	   	293.44	橙4易伤3伤害1等级1时间	1368易伤2立即金币4加一568伤害68序列升级7核9等级a时间
11	12312 15822	10	   	293.44	橙4易伤3伤害1等级1时间	1368易伤2立即金币4加一568伤害68序列升级7核9等级a时间
12	11262 73282	5	   	292.51	橙4易伤2伤害2等级1时间1攻速	1789易伤27伤害3时间4加一5攻速67等级7序列升级a核
13	13441 73282	1	   	292.51	橙4易伤2伤害2等级1时间1攻速	1789易伤2加一37伤害4攻速5时间67等级7序列升级a核
14	11243 12321	8	   	292.37	橙4易伤2伤害2时间1等级	1459易伤26伤害36时间6序列升级7平台8核a等级
15	11243 12352	10	   	292.37	橙4易伤2伤害2时间1等级	145a易伤26伤害36时间6序列升级7平台8核9等级
16	43384 53144	1	   	292.37	橙4易伤2伤害2时间1等级	17时间2加一3789易伤4平台57伤害6核7序列升级a等级
17	13884 53144	1	   	292.37	橙4易伤2伤害2时间1等级	1789易伤2加一37时间4平台57伤害6核7序列升级a等级
18	41321 43621	3	   	292.37	橙4易伤2伤害2时间1等级	18时间25伤害3569易伤4平台5序列升级7核a等级
19	11112 23656	2	 * 	292.35	紫5易伤3伤害3时间	1479a易伤237伤害5核678时间7序列升级
20	41343 12321	8	   	292.08	橙5易伤2伤害1时间1攻速	1时间26伤害34569易伤6序列升级7平台8核a攻速
21	12312 15742	8	   	291.88	橙4易伤3伤害2时间	1369易伤2立即金币4加一569伤害69序列升级7核89时间a额外掉落
22	12312 15743	8	   	291.88	橙4易伤3伤害2时间	1369易伤2立即金币4加一569伤害69序列升级7核89时间a基地爆炸
23	12312 15746	8	   	291.88	橙4易伤3伤害2时间	1369易伤2立即金币4加一569伤害69序列升级7核89时间a策反
24	12312 15747	8	   	291.88	橙4易伤3伤害2时间	1369易伤2立即金币4加一569伤害69序列升级7核89时间a双倍矿
25	12312 15748	8	   	291.88	橙4易伤3伤害2时间	1369易伤2立即金币4加一569伤害69序列升级7核89时间a低血量敌人
26	12312 15741	8	   	291.78	橙4易伤3伤害2时间	1369易伤2立即金币4加一569伤害69序列升级7核89时间a挖尘
27	12312 15812	10	   	291.78	橙4易伤3伤害2时间	1368易伤2立即金币4加一568伤害68序列升级7核9a时间
