0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21221 25541	7	 * 	309.31	橙5易伤2伤害2时间1暴击	12367易伤38序列升级48伤害58时间9核a暴击
2	21221 25542	7	 * 	308.89	橙5易伤3时间2伤害	12367易伤38序列升级48伤害58a时间9核
3	21221 24223	9	   	298.04	橙5易伤2时间3雷电1伤害	1236a易伤3a序列升级4伤害5a时间78a雷电9核
4	21621 24223	9	   	298.04	橙5易伤2时间3雷电1伤害	1236a易伤4伤害5a时间78a雷电9核a序列升级
5	21221 22246	8	   	297.23	橙5易伤2伤害1等级1时间	12368易伤3序列升级47伤害5时间9核a等级
6	21221 22646	7	   	297.23	橙5易伤2伤害1等级1时间	12368易伤3序列升级47伤害5时间9核a等级
7	21221 25136	8	   	297.23	橙5易伤2伤害1等级1时间	12367易伤3序列升级49伤害5时间8核a等级
8	21621 22246	8	   	297.23	橙5易伤2伤害1等级1时间	12368易伤47伤害5时间9核a等级
9	21621 25136	8	   	297.23	橙5易伤2伤害1等级1时间	12367易伤49伤害5时间8核a等级
10	21262 11622	6	   	295.76	橙5易伤2伤害2时间	12389易伤39序列升级49时间57立即金币69伤害a核
11	21262 15322	8	   	295.76	橙5易伤2伤害2时间	12379易伤39序列升级49时间58立即金币69伤害a核
12	21662 11622	6	   	295.76	橙5易伤2伤害2时间	12389易伤49时间57立即金币69伤害9序列升级a核
13	21662 15322	8	   	295.76	橙5易伤2伤害2时间	12379易伤49时间58立即金币69伤害9序列升级a核
14	21221 22232	8	   	295.56	橙5易伤2伤害2时间	12368易伤3序列升级47伤害59时间a核
15	21221 22242	8	   	295.56	橙5易伤2伤害2时间	12368易伤3序列升级47伤害5a时间9核
16	21221 22632	7	   	295.56	橙5易伤2伤害2时间	12368易伤3序列升级47伤害59时间a核
17	21221 22642	7	   	295.56	橙5易伤2伤害2时间	12368易伤3序列升级47伤害5a时间9核
18	21221 25132	8	   	295.56	橙5易伤2伤害2时间	12367易伤3序列升级49伤害5a时间8核
19	21221 25543	7	   	295.56	橙5易伤2伤害2时间	12367易伤38序列升级48伤害58时间9核a掉矿
20	21621 22232	8	   	295.56	橙5易伤2伤害2时间	12368易伤47伤害59时间a核
21	21621 22242	8	   	295.56	橙5易伤2伤害2时间	12368易伤47伤害5a时间9核
22	21621 22632	7	   	295.56	橙5易伤2伤害2时间	12368易伤47伤害59时间a核
23	21621 22642	7	   	295.56	橙5易伤2伤害2时间	12368易伤47伤害5a时间9核
24	21621 25132	8	   	295.56	橙5易伤2伤害2时间	12367易伤49伤害5a时间8核
25	21221 22241	8	   	294.63	橙5易伤2伤害1时间1暴击	12368易伤3序列升级47伤害5时间9核a暴击
26	21221 22641	7	   	294.63	橙5易伤2伤害1时间1暴击	12368易伤3序列升级47伤害5时间9核a暴击
27	21221 25131	8	   	294.63	橙5易伤2伤害1时间1暴击	12367易伤3序列升级49伤害5时间8核a暴击
28	21621 22241	8	   	294.63	橙5易伤2伤害1时间1暴击	12368易伤47伤害5时间9核a暴击
29	21621 22641	7	   	294.63	橙5易伤2伤害1时间1暴击	12368易伤47伤害5时间9核a暴击
30	21621 25131	8	   	294.63	橙5易伤2伤害1时间1暴击	12367易伤49伤害5时间8核a暴击
31	21221 25346	7	   	294.23	橙5易伤2时间1伤害1等级	12367易伤3序列升级4伤害58时间9核a等级
32	21221 25126	9	   	294.23	橙5易伤2时间1伤害1等级	12367易伤3序列升级4伤害59时间8核a等级
33	21621 25126	9	   	294.23	橙5易伤2时间1伤害1等级	12367易伤4伤害59时间8核a等级
34	21221 24523	9	   	293.03	橙5易伤2时间1伤害2雷电	1236a易伤3a序列升级4伤害5a时间7a雷电8立即金币9核
35	21621 24523	9	   	293.03	橙5易伤2时间1伤害2雷电	1236a易伤4伤害5a时间7a雷电8立即金币9核a序列升级
36	21261 37446	4	 * 	291.78	橙4易伤3伤害2时间	1239易伤39序列升级49时间5加一689伤害7额外掉落a核
37	21328 17446	2	   	291.78	橙4易伤3伤害2时间	1269易伤3加一489伤害59时间7额外掉落9序列升级a核
38	21384 37446	2	   	291.78	橙4易伤3伤害2时间	1249易伤3加一59时间689伤害7额外掉落9序列升级a核
39	21261 11253	9	   	291.73	橙5易伤2时间2等级1暴击	12369易伤39序列升级49时间5暴击7低血量敌人89等级a核
40	21661 11253	9	   	291.73	橙5易伤2时间2等级1暴击	12369易伤49时间5暴击7低血量敌人89等级9序列升级a核
41	21221 14641	4	   	291.63	橙5易伤2时间1伤害1暴击	12358易伤3序列升级4伤害67时间9核a暴击
42	21221 24641	6	   	291.63	橙5易伤2时间1伤害1暴击	12368易伤3序列升级4伤害57时间9核a暴击
43	21221 25341	7	   	291.63	橙5易伤2时间1伤害1暴击	12367易伤3序列升级4伤害58时间9核a暴击
44	21621 25341	7	   	291.63	橙5易伤2时间1伤害1暴击	12367易伤4伤害58时间9核a暴击
45	21221 25121	9	   	291.63	橙5易伤2时间1伤害1暴击	12367易伤3序列升级4伤害59时间8核a暴击
46	21221 25124	10	   	291.63	橙5易伤2时间1伤害1暴击	12367易伤3序列升级4伤害59时间8核a暴击
47	21621 25121	9	   	291.63	橙5易伤2时间1伤害1暴击	12367易伤4伤害59时间8核a暴击
48	21621 25124	10	   	291.63	橙5易伤2时间1伤害1暴击	12367易伤4伤害59时间8核a暴击
49	21221 14642	4	   	291.20	橙5易伤3时间1伤害	12358易伤3序列升级4伤害67a时间9核
50	21221 24642	6	   	291.20	橙5易伤3时间1伤害	12368易伤3序列升级4伤害57a时间9核
