0	Index      	 *	Score 	Summary	Detail	
1	43642 23123	 * 	209.11	橙2易伤3攻速3伤害1暴击	124攻速347伤害47序列升级57易伤67时间8平台9暴击a核
2	11316 42422	 * 	187.45	2基础对甲2攻速2基地爆炸1伤害1基础对冰1全技能	19基地爆炸2a攻速3立即金币49低血量敌人5基础对冰6全技能7伤害89基础对甲9序列升级
3	43323 35232	 * 	186.96	橙1基础对甲2攻速1易伤1伤害1暴击	12攻速3时间4伤害5敌人爆炸6暴击7易伤8随机矿9基础对甲a核
4	43323 44232	   	186.96	橙1基础对甲2攻速1易伤1伤害1暴击	12攻速3时间4伤害5敌人爆炸6易伤7暴击8随机矿9基础对甲a核
5	41224 34232	   	186.96	橙1基础对甲2攻速1易伤1伤害1暴击	15攻速2挖尘3易伤45最后敌人5序列升级6伤害7暴击8随机矿9基础对甲a核
6	63433 23351	 * 	185.88	紫2攻速1伤害1基础对冰1基地爆炸1全技能	1技能2伤害3低血量敌人4全技能5核6金币生成79攻速8基地爆炸a基础对冰
7	63433 23352	 * 	183.35	紫2攻速1伤害1易伤1基地爆炸1全技能	1技能2伤害3低血量敌人4全技能5核6金币生成79攻速8基地爆炸a易伤
8	11316 41422	 * 	183.05	2基础对甲3攻速2基地爆炸1基础对冰1全技能	19基地爆炸29a攻速3立即金币4低血量敌人5基础对冰6全技能7随机矿89基础对甲9序列升级
9	63433 23122	 * 	182.92	紫1基础对甲1攻速1伤害1全技能	1技能2伤害3低血量敌人4全技能5核6金币生成7攻速8雷电9双倍秒伤a基础对甲
10	46223 14232	 * 	181.61	橙2易伤1基础对甲1攻速1伤害1暴击	1攻速23易伤4伤害5敌人爆炸6低血量敌人7暴击8随机矿9基础对甲a核
11	46223 24232	   	181.61	橙2易伤1基础对甲1攻速1伤害1暴击	1攻速23易伤4伤害5敌人爆炸6时间7暴击8随机矿9基础对甲a核
12	42433 16312	 * 	180.47	紫4易伤1攻速1全技能1基地爆炸	1攻速2策反3低血量敌人4全技能5核679a易伤8基地爆炸
13	63433 16312	 * 	180.37	紫4易伤1伤害1全技能1基地爆炸	1技能2伤害3低血量敌人4全技能5核679a易伤8基地爆炸
14	11126 41422	   	179.73	2基础对甲3攻速2基地爆炸1基础对冰1全技能	19基地爆炸29a攻速34最后敌人5基础对冰6全技能7随机矿89基础对甲9序列升级
15	11115 22422	 * 	179.63	2基础对甲3攻速2基地爆炸1伤害1全技能	19基地爆炸25a攻速39最后敌人4全技能6狙击对直升7伤害89基础对甲9序列升级
16	11115 32422	   	179.63	2基础对甲3攻速2基地爆炸1伤害1全技能	19基地爆炸25a攻速39最后敌人4全技能6导弹对毒7伤害89基础对甲9序列升级
17	65633 22312	 * 	179.32	紫2基地爆炸1易伤1攻速1伤害1全技能	1技能2最后敌人3攻速4全技能5核6金币生成7伤害8a基地爆炸9易伤
