0	Index      	 *	Score 	Summary	Detail	
1	12142 52216	 * 	228.19	橙3易伤2基础对甲3攻速1全技能	1随机矿28基础对甲368攻速468易伤5全技能68序列升级79双倍秒伤a核
2	12142 42243	 * 	223.16	4易伤3基础对甲3攻速2全技能	1随机矿28a基础对甲38a攻速468a易伤59全技能7双倍秒伤8a序列升级
3	32142 42243	   	223.06	4易伤3基础对甲3攻速2全技能	1技能28a基础对甲38a攻速468a易伤59全技能7双倍秒伤8a序列升级
4	12212 53468	 * 	213.38	紫2基础对甲2攻速2基地爆炸	1随机矿2a基础对甲3立即金币4双倍矿5核6加一7挖尘8a攻速9a基地爆炸a序列升级
5	32212 53468	   	213.28	紫2基础对甲2攻速2基地爆炸	1技能2a基础对甲3立即金币4双倍矿5核6加一7挖尘8a攻速9a基地爆炸a序列升级
6	12142 52253	   	212.82	4易伤3基础对甲3攻速1全技能1技能	1随机矿28a基础对甲368攻速468a易伤5全技能68a序列升级7双倍秒伤9技能
7	51132 12161	 * 	205.79	紫2易伤2伤害2基地爆炸1攻速	19最后敌人2平台3核49伤害5低血量敌人68基地爆炸79易伤9序列升级a攻速
8	51132 15161	   	205.79	紫2易伤2伤害2基地爆炸1攻速	19最后敌人2平台3核49伤害5低血量敌人67基地爆炸89易伤9序列升级a攻速
9	12142 53214	 * 	205.56	橙2易伤1基础对甲2攻速1伤害1全技能	1随机矿2基础对甲36攻速46易伤5全技能6序列升级7立即金币8平台9伤害a核
10	32142 53214	   	205.46	橙2易伤1基础对甲2攻速1伤害1全技能	1技能2基础对甲36攻速46易伤5全技能6序列升级7立即金币8平台9伤害a核
11	32142 52213	   	204.42	4易伤3基础对甲3攻速1全技能	1技能28a基础对甲368攻速468a易伤5全技能68a序列升级7双倍秒伤9随机矿
12	12142 52251	   	203.43	3易伤2基础对甲3攻速1全技能1暴击1技能	1随机矿28基础对甲368攻速468易伤5全技能68序列升级7双倍秒伤9技能a暴击
13	32116 63621	 * 	202.98	橙2基础对甲2攻速2伤害1基地爆炸	1技能29基础对甲39攻速4平台5策反6额外掉落7基地爆炸89伤害9序列升级a核
14	12212 21355	 * 	202.58	紫1基础对甲1易伤1攻速1伤害1全技能	1随机矿2基础对甲3立即金币4双倍矿5核6掉矿7全技能8伤害9易伤a攻速
15	32212 21355	   	202.48	紫1基础对甲1易伤1攻速1伤害1全技能	1技能2基础对甲3立即金币4双倍矿5核6掉矿7全技能8伤害9易伤a攻速
16	51132 12164	   	201.72	紫2易伤2伤害2基地爆炸1全技能	19最后敌人2平台3核49伤害5低血量敌人68基地爆炸79易伤9序列升级a全技能
17	51163 41112	   	201.54	紫1基础对甲2基地爆炸1攻速1全技能	1最后敌人2平台3核4矿等5a基地爆炸6金币生成7基础对甲8全技能9攻速
18	32153 21115	 * 	201.47	橙1基础对甲2基地爆炸1易伤1攻速1伤害1基础对冰	1技能2基础对甲3攻速48基地爆炸5基础对冰6易伤7伤害9挖尘a核
19	32153 23515	   	201.47	橙1基础对甲2基地爆炸1易伤1攻速1伤害1基础对冰	1技能2基础对甲3攻速47基地爆炸5基础对冰6易伤8伤害9挖尘a核
20	51123 41112	   	201.44	紫1基础对甲2基地爆炸1攻速1全技能	1最后敌人2平台3核4技能点5a基地爆炸6金币生成7基础对甲8全技能9攻速
21	51123 41162	 * 	201.44	紫1基础对甲2基地爆炸1伤害1全技能	1最后敌人2平台3核4技能点5a基地爆炸6金币生成7基础对甲8全技能9伤害
22	51124 61112	   	201.44	紫1基础对甲2基地爆炸1攻速1全技能	1最后敌人2平台3核4技能点5金币生成6a基地爆炸7基础对甲8全技能9攻速
23	32142 52225	 * 	201.33	3易伤2基础对甲3攻速1伤害1全技能	1技能28基础对甲368攻速468易伤5全技能68序列升级7双倍秒伤9挖尘a伤害
24	51163 41111	   	200.36	紫1基础对甲1攻速1基地爆炸1全技能1暴击	1最后敌人2平台3核4矿等5基地爆炸6金币生成7基础对甲8全技能9攻速a暴击
25	51123 41111	   	200.26	紫1基础对甲1攻速1基地爆炸1全技能1暴击	1最后敌人2平台3核4技能点5基地爆炸6金币生成7基础对甲8全技能9攻速a暴击
26	51123 41161	   	200.26	紫1基础对甲1伤害1基地爆炸1全技能1暴击	1最后敌人2平台3核4技能点5基地爆炸6金币生成7基础对甲8全技能9伤害a暴击
27	51124 61111	   	200.26	紫1基础对甲1攻速1基地爆炸1全技能1暴击	1最后敌人2平台3核4技能点5金币生成6基地爆炸7基础对甲8全技能9攻速a暴击
28	12212 61356	   	200.08	紫1基础对甲1易伤1攻速1伤害1基地爆炸	1随机矿2基础对甲3立即金币4双倍矿5核6易伤7敌人爆炸8基地爆炸9伤害a攻速
29	32212 61356	   	199.98	紫1基础对甲1易伤1攻速1伤害1基地爆炸	1技能2基础对甲3立即金币4双倍矿5核6易伤7敌人爆炸8基地爆炸9伤害a攻速
30	32153 22515	 * 	199.09	橙2易伤1基础对甲1攻速1伤害1基础对冰1基地爆炸	1技能2基础对甲3攻速4基地爆炸5基础对冰67易伤8伤害9挖尘a核
