0	Index      	 *	Score 	Summary	Detail	
1	56413 33221	 * 	324.76	紫橙2等级2易伤1暴击	1时间2基地爆炸37核4挖青59等级68易伤a暴击
2	56413 33222	   	320.15	紫橙2等级2易伤2时间	1a时间2基地爆炸37核4挖青59等级68易伤
3	52343 32353	 * 	312.01	橙橙2易伤1等级1伤害	1时间2伤害35易伤4随机矿6策反7等级8低血量敌人9a核
4	52343 32253	   	311.91	橙橙2易伤1等级1伤害	1时间2伤害35易伤4随机矿6策反7等级8雷电减费9a核
5	26413 33251	   	311.11	紫橙2等级2易伤	1敌人爆炸2基地爆炸37核4挖青5a等级68易伤9时间
6	26413 33311	   	311.11	紫橙2等级2易伤	1敌人爆炸2基地爆炸37核4挖青5a等级69易伤8时间
7	56413 33211	   	311.11	紫橙2等级2易伤	1时间2基地爆炸37核4挖青5a等级68易伤9敌人爆炸
8	56413 33223	   	311.01	紫橙2等级2易伤	1时间2基地爆炸37核4挖青59等级68易伤a挖尘
9	13817 41443	 * 	310.46	橙橙2等级1易伤2烈焰减费2时间	18烈焰减费2加一38时间4易伤5最后敌人68等级7a核8序列升级9随机矿
10	13823 41443	   	310.46	橙橙2等级1易伤2烈焰减费2时间	18烈焰减费2加一38时间4最后敌人5易伤68等级7a核8序列升级9随机矿
11	55413 33221	   	309.46	紫橙2等级2易伤1暴击1挖怪	1时间2挖怪37核4挖青59等级68易伤a暴击
12	13813 52363	   	304.97	橙橙2易伤1等级1烈焰减费	1烈焰减费2加一3时间45易伤6金币生成7等级8低血量敌人9a核
13	13813 52463	   	304.87	橙橙2易伤1等级1烈焰减费	1烈焰减费2加一3时间45易伤6金币生成7等级8挖尘9a核
14	55413 33222	   	304.85	紫橙2等级2易伤2时间1挖怪	1a时间2挖怪37核4挖青59等级68易伤
15	26413 33241	   	301.45	紫橙2等级2易伤	1敌人爆炸2基地爆炸37核4挖青5a等级68易伤9最后敌人
16	13311 41443	   	301.42	橙橙2等级1易伤2烈焰减费	18烈焰减费2加一38基地爆炸4易伤5时间68等级7a核8序列升级9随机矿
17	26413 33511	   	301.35	紫橙2等级2易伤	1敌人爆炸2基地爆炸37核4挖青5a等级69易伤8挖尘
18	13111 41443	   	301.22	橙橙2等级1易伤2烈焰减费	18烈焰减费2加一38挖尘4易伤5时间68等级7a核8序列升级9随机矿
19	25413 33251	   	295.81	紫橙2等级2易伤1挖怪	1敌人爆炸2挖怪37核4挖青5a等级68易伤9时间
20	25413 33311	   	295.81	紫橙2等级2易伤1挖怪	1敌人爆炸2挖怪37核4挖青5a等级69易伤8时间
21	55413 33211	   	295.81	紫橙2等级2易伤1挖怪	1时间2挖怪37核4挖青5a等级68易伤9敌人爆炸
22	55413 33223	   	295.71	紫橙2等级2易伤1挖怪	1时间2挖怪37核4挖青59等级68易伤a挖尘
23	13662 18233	   	295.31	紫橙2易伤1等级1烈焰减费	1烈焰减费2加一3低血量敌人4a核5等级6立即金币79易伤8敌人爆炸
24	13662 28233	   	295.31	紫橙2易伤1等级1烈焰减费	1烈焰减费2加一36低血量敌人4a核5等级79易伤8敌人爆炸
25	52153 25222	 * 	295.01	橙2等级2易伤2伤害1全技能	1时间2a伤害3全技能4低血量敌人5随机技能6a等级7核8激光对愈9a易伤a序列升级
26	56413 33321	   	294.91	紫橙2等级1易伤1暴击	1时间2基地爆炸37核4挖青59等级6易伤8立即金币a暴击
27	26413 33361	   	294.91	紫橙2等级1易伤1攻速	1敌人爆炸2基地爆炸37核4挖青5a等级6易伤8时间9攻速
