0	Index      	 *	Score 	Summary	Detail	
1	14533 33114	 * 	239.40	橙3易伤1散射对甲2全技能1攻速1时间	1散射对喷气2时间3a全技能4散射对甲569易伤7攻速8核
2	14533 23114	 * 	225.50	橙1散射对甲2易伤3全技能1攻速1时间	1散射对喷气2时间36a全技能4散射对甲59易伤7攻速8核
3	14351 32113	 * 	224.22	橙1散射对甲1双倍秒伤2伤害2技能2时间	1散射对喷气24时间34伤害4序列升级58技能6核7敌人爆炸9散射对甲a双倍秒伤
4	14331 32513	   	224.22	橙1散射对甲1双倍秒伤2伤害2时间1技能	1散射对喷气24时间38伤害5技能6核7敌人爆炸9散射对甲a双倍秒伤
5	14533 33131	 * 	224.22	橙1散射对甲2易伤1全技能1伤害1攻速1时间	1散射对喷气2时间3全技能4散射对甲56易伤7攻速8核9平台a伤害
6	14356 33233	   	224.12	橙1散射对甲1双倍秒伤2伤害2时间	1散射对喷气24时间34伤害4序列升级5等级6核78掉矿9散射对甲a双倍秒伤
7	22413 32513	   	224.12	橙1散射对甲1双倍秒伤2伤害2时间1技能	1技能2防空对甲38伤害45时间6核7敌人爆炸9散射对甲a双倍秒伤
8	14533 33111	   	223.32	橙3易伤1散射对甲1全技能1攻速1时间	1散射对喷气2时间3全技能4散射对甲569易伤7攻速8核a金币生成
9	14533 33113	   	223.32	橙3易伤1散射对甲1全技能1攻速1时间	1散射对喷气2时间3全技能4散射对甲569易伤7攻速8核a随机矿
10	14533 33116	   	223.32	橙3易伤1散射对甲1全技能1攻速1时间	1散射对喷气2时间3全技能4散射对甲569易伤7攻速8核a技能点
11	14533 33112	   	223.22	橙3易伤1散射对甲1全技能1攻速1时间	1散射对喷气2时间3全技能4散射对甲569易伤7攻速8核a挖尘
12	14533 33115	   	223.22	橙3易伤1散射对甲1全技能1攻速1时间	1散射对喷气2时间3全技能4散射对甲569易伤7攻速8核a加一
13	14533 23111	   	220.23	橙1散射对甲2易伤2全技能1攻速1时间	1散射对喷气2时间36全技能4散射对甲59易伤7攻速8核a金币生成
14	14533 23113	   	220.23	橙1散射对甲2易伤2全技能1攻速1时间	1散射对喷气2时间36全技能4散射对甲59易伤7攻速8核a随机矿
15	14533 23116	   	220.23	橙1散射对甲2易伤2全技能1攻速1时间	1散射对喷气2时间36全技能4散射对甲59易伤7攻速8核a技能点
16	14533 33124	   	220.23	橙1散射对甲2易伤2全技能1攻速1时间	1散射对喷气2时间3a全技能4散射对甲56易伤7攻速8核9立即金币
17	14533 23112	   	220.13	橙1散射对甲2易伤2全技能1攻速1时间	1散射对喷气2时间36全技能4散射对甲59易伤7攻速8核a挖尘
18	14533 23115	   	220.13	橙1散射对甲2易伤2全技能1攻速1时间	1散射对喷气2时间36全技能4散射对甲59易伤7攻速8核a加一
