0	Index      	 *	Score 	Summary	Detail	
1	43315 12613	 * 	302.13	橙橙2易伤1矿等1伤害1暴击	13易伤2平台4赏金塔5暴击68核7伤害9最后敌人a矿等
2	43315 12611	 * 	291.13	橙橙2易伤2伤害1暴击	13易伤2平台4赏金塔5暴击68核7a伤害9最后敌人
3	33515 12353	   	290.79	橙橙1易伤1矿等1伤害2时间1暴击	13时间2平台4赏金塔5暴击69核7伤害8易伤a矿等
4	41421 11235	 * 	282.13	橙橙3易伤2暴击	148易伤28暴击378策反5赏金邻近6a核8序列升级9雷电
5	31323 45126	 * 	281.13	橙橙1等级1易伤2随机技能1暴击	1时间2暴击3毒气减费4等级59随机技能6a核7易伤8最后敌人
6	33515 12351	   	279.79	橙橙2伤害1易伤2时间1暴击	13时间2平台4赏金塔5暴击69核7a伤害8易伤
7	35212 33452	   	278.48	橙橙2易伤1技能2随机技能	1时间2技能39随机技能45易伤6基地爆炸7雷电8a核
8	35222 23452	   	278.48	橙橙2易伤1技能2随机技能	1时间2技能39随机技能4雷电减费56易伤7雷电8a核
9	35212 33442	   	278.42	橙橙2易伤1技能2时间	19时间2技能3随机技能45易伤6基地爆炸7雷电8a核
10	35222 23442	   	278.42	橙橙2易伤1技能2时间	19时间2技能3随机技能4雷电减费56易伤7雷电8a核
11	63115 12353	   	275.93	橙橙1易伤1矿等1伤害1暴击	13最后敌人2平台4赏金塔5暴击69核7伤害8易伤a矿等
12	63215 12353	   	275.93	橙橙1易伤1矿等1伤害1暴击	1最后敌人2平台3双倍矿4赏金塔5暴击69核7伤害8易伤a矿等
13	43315 12621	   	273.55	橙橙2易伤1伤害1暴击	13易伤2平台4赏金塔5暴击68核7伤害9雷电a敌人爆炸
14	43315 12622	   	273.55	橙橙2易伤1伤害1暴击	13易伤2平台4赏金塔5暴击68核7伤害9雷电a策反
15	43315 12631	   	273.55	橙橙2易伤1伤害1暴击	13易伤2平台4赏金塔5暴击68核7伤害9赏金邻近a策反
16	43315 12632	   	273.55	橙橙2易伤1伤害1暴击	13易伤2平台4赏金塔5暴击68核7伤害9赏金邻近a最后敌人
17	43315 12633	   	273.55	橙橙2易伤1伤害1暴击	13易伤2平台4赏金塔5暴击68核7伤害9赏金邻近a随机矿
18	43315 12612	   	273.45	橙橙2易伤1伤害1暴击	13易伤2平台4赏金塔5暴击68核7伤害9最后敌人a掉矿
19	43315 12623	   	273.45	橙橙2易伤1伤害1暴击	13易伤2平台4赏金塔5暴击68核7伤害9雷电a烈焰减费
