0	Index      	 *	Score 	Summary	Detail	
1	61363 43231	 * 	301.88	橙5易伤3矿等1暴击	12468易伤3立即金币568矿等68序列升级78低血量敌人9核a暴击
2	21343 25331	 * 	290.34	橙橙3易伤1伤害	1低血量敌人27a易伤3额外掉落4伤害5敌人爆炸68核9时间
3	21344 25331	   	290.34	橙橙3易伤1伤害	1低血量敌人27a易伤3额外掉落4伤害5最后敌人68核9时间
4	31343 25331	   	290.34	橙橙3易伤1伤害	1最后敌人27a易伤3额外掉落4伤害5敌人爆炸68核9时间
5	31344 25331	   	290.34	橙橙3易伤1伤害	1最后敌人27a易伤3额外掉落4伤害5低血量敌人68核9时间
6	61363 43233	   	288.23	橙5易伤3矿等	12468易伤3立即金币568矿等68序列升级78低血量敌人9核a雷电
7	61363 43232	   	288.13	橙5易伤3矿等	12468易伤3立即金币568矿等68序列升级78低血量敌人9核a挖尘
8	51343 25333	 * 	285.69	橙橙2易伤2伤害	1基地爆炸27易伤3额外掉落4a伤害5敌人爆炸68核9全技能
9	51343 25332	   	284.35	橙橙2易伤1伤害1攻速	1基地爆炸27易伤3额外掉落4伤害5敌人爆炸68核9全技能a攻速
10	61223 63316	 * 	280.40	橙3易伤1等级1矿等1技能1暴击	123易伤3序列升级4等级5暴击6时间7核8技能9随机技能a矿等
11	21334 25336	 * 	280.13	橙橙2易伤1等级	1低血量敌人27易伤3额外掉落4核弹5最后敌人68核9时间a等级
12	31334 25336	   	280.13	橙橙2易伤1等级	1最后敌人27易伤3额外掉落4核弹5低血量敌人68核9时间a等级
13	61223 63363	 * 	279.11	橙3易伤2等级1伤害1技能1暴击	123易伤3序列升级49等级5暴击6时间7核8技能a伤害
14	21343 25333	   	277.86	橙橙2易伤1伤害	1低血量敌人27易伤3额外掉落4伤害5敌人爆炸68核9时间a核弹
15	21344 25333	   	277.86	橙橙2易伤1伤害	1低血量敌人27易伤3额外掉落4伤害5最后敌人68核9时间a核弹
16	31343 25333	   	277.86	橙橙2易伤1伤害	1最后敌人27易伤3额外掉落4伤害5敌人爆炸68核9时间a核弹
17	31344 25333	   	277.86	橙橙2易伤1伤害	1最后敌人27易伤3额外掉落4伤害5低血量敌人68核9时间a核弹
18	61221 12265	 * 	277.22	橙4易伤2等级2伤害	1238易伤38序列升级48等级5敌人爆炸69伤害78低血量敌人a核
19	21343 25334	   	276.51	橙橙2易伤1伤害	1低血量敌人27易伤3额外掉落4伤害5敌人爆炸68核9时间a全技能
20	31343 25334	   	276.51	橙橙2易伤1伤害	1最后敌人27易伤3额外掉落4伤害5敌人爆炸68核9时间a全技能
21	51343 25331	   	276.41	橙橙2易伤1伤害	1基地爆炸27易伤3额外掉落4伤害5敌人爆炸68核9全技能a时间
22	21343 25335	   	275.14	橙橙2易伤1伤害	1低血量敌人27易伤3额外掉落4伤害5敌人爆炸68核9时间a随机技能
23	21343 25351	   	275.14	橙橙2易伤1伤害	1低血量敌人27易伤3额外掉落4伤害5敌人爆炸68核9随机技能a时间
24	31343 25335	   	275.14	橙橙2易伤1伤害	1最后敌人27易伤3额外掉落4伤害5敌人爆炸68核9时间a随机技能
25	31343 25351	   	275.14	橙橙2易伤1伤害	1最后敌人27易伤3额外掉落4伤害5敌人爆炸68核9随机技能a时间
26	61363 41313	   	274.50	橙4易伤2矿等1伤害	1246易伤3立即金币56矿等6序列升级7掉矿8伤害9随机技能a核
27	61223 23256	   	272.10	橙3易伤1等级1矿等1技能1暴击	123易伤3序列升级4等级5暴击6敌人爆炸7核8随机技能9技能a矿等
28	61223 23316	   	272.10	橙3易伤1等级1矿等1技能1暴击	123易伤3序列升级4等级5暴击6敌人爆炸7核8技能9随机技能a矿等
