0	Index      	 *	Score 	Summary	Detail	
1	62124 11314	 * 	268.99	橙橙2易伤2时间1暴击	1a易伤2暴击3a时间4a随机技能5赏金邻近6头目79核8随机矿a序列升级
2	63133 62343	 * 	262.75	橙橙2易伤1伤害1时间	13易伤2敌人爆炸4时间5雷电6平台7伤害8a核9掉矿
3	11623 33515	 * 	258.39	橙橙1易伤1等级1矿等1时间	1金币生成2最后敌人3矿等4时间5雷电6易伤7低血量敌人89核a等级
4	61311 31246	   	258.19	橙橙2易伤1矿等1时间1核弹	14易伤2时间3赏金塔5基地爆炸6核弹7矿等8平台9a核
5	62124 11313	   	256.34	橙橙2易伤1时间1暴击	1a易伤2暴击3时间4随机技能5赏金邻近6头目79核8随机矿
6	61132 23354	 * 	255.93	橙3易伤3时间2等级1矿等	139易伤249时间5策反6矿等79等级8加一9序列升级a核
7	61211 62343	 * 	249.00	橙橙1易伤2时间1伤害	1易伤25时间3敌人爆炸4雷电6平台7伤害8a核9掉矿
8	61511 62313	   	249.00	橙橙1易伤2时间1伤害	1易伤25时间3挖尘4雷电6平台7伤害8a核9立即金币
9	63311 62343	   	249.00	橙橙1易伤2时间1伤害	1易伤2敌人爆炸35时间4雷电6平台7伤害8a核9掉矿
10	61511 62333	   	248.90	橙橙1易伤2时间1伤害	1易伤25时间3挖尘4雷电6平台7伤害8a核9毒气减费
11	63122 14341	 * 	244.00	橙5易伤1等级1矿等	13567易伤2敌人爆炸4矿等8等级9核a随机矿
12	63122 14342	   	244.00	橙5易伤1等级1矿等	13567易伤2敌人爆炸4矿等8等级9核a寒冰对甲
13	63122 14343	   	243.90	橙5易伤1等级1矿等	13567易伤2敌人爆炸4矿等8等级9核a双倍秒伤
14	11223 33515	   	242.69	橙橙1易伤1等级1时间	1金币生成2最后敌人3技能点4时间5雷电6易伤7低血量敌人89核a等级
15	11531 22515	   	242.69	橙橙1易伤1等级1时间	1金币生成2最后敌人3时间4易伤5头目6基地爆炸7掉矿89核a等级
16	14123 33512	   	242.69	橙橙1易伤1等级1时间	1金币生成2雷电减费3等级4时间5雷电6易伤7低血量敌人89核a最后敌人
17	14123 33514	   	242.69	橙橙1易伤1等级1时间	1a金币生成2雷电减费3等级4时间5雷电6易伤7低血量敌人89核
18	14123 33516	   	242.69	橙橙1易伤1等级1时间	1金币生成2雷电减费3等级4时间5雷电6易伤7低血量敌人89核a策反
19	14123 33511	   	242.59	橙橙1易伤1等级1时间	1金币生成2雷电减费3等级4时间5雷电6易伤7低血量敌人89核a双倍秒伤
20	14123 33513	   	242.59	橙橙1易伤1等级1时间	1金币生成2雷电减费3等级4时间5雷电6易伤7低血量敌人89核a掉矿
21	14123 33515	   	242.59	橙橙1易伤1等级1时间	1金币生成2雷电减费3等级4时间5雷电6易伤7低血量敌人89核a技能点
22	22245 13125	   	242.39	橙橙1易伤1等级1时间1技能	1技能2暴雪减费3易伤4电塔对甲5散射对甲6赏金邻近7等级8a核9时间
23	64125 23313	 * 	242.01	紫橙2易伤1等级1时间	14易伤2a核3低血量敌人5等级6平台7时间8攻速9头目
24	64325 23313	   	242.01	紫橙2易伤1等级1时间	14易伤2a核3最后敌人5等级6平台7时间8攻速9头目
