0	Index      	 *	Score 	Summary	Detail	
1	25632 31341	 * 	288.67	橙3易伤2喷火对甲3攻速2等级	17a攻速27等级36a易伤4技能点57喷火对甲7a序列升级8a导弹对黄9核
2	25632 12341	   	277.12	橙3易伤2喷火对甲2等级2攻速	1a攻速26等级37a易伤4技能点56喷火对甲6a序列升级8a导弹对黄9核
3	25632 31342	   	277.12	橙3易伤2喷火对甲2等级2攻速	17攻速27等级36a易伤4技能点57喷火对甲7序列升级8导弹对黄9核
4	41132 21522	 * 	267.44	橙橙1易伤1等级1全技能1技能1暴击1雷电	1最后敌人2敌人爆炸3全技能4雷电5易伤6等级7暴击8a核9技能
5	25331 21223	 * 	265.68	橙橙2等级1易伤2攻速	14攻速24等级36头目4序列升级5立即金币7最后敌人8a核9易伤
6	25331 23613	   	265.68	橙橙2等级1易伤2攻速	14攻速24等级36头目4序列升级5立即金币7a核8易伤9低血量敌人
7	25331 23633	   	265.68	橙橙2等级1易伤2攻速	14攻速24等级36头目4序列升级5立即金币7a核8易伤9基地爆炸
8	25331 24223	   	265.68	橙橙2等级1易伤2攻速	14攻速24等级36头目4序列升级5立即金币7基地爆炸8a核9易伤
9	25331 23323	   	265.58	橙橙2等级1易伤2攻速	14攻速24等级36头目4序列升级5立即金币7a核8挖尘9易伤
10	25331 46223	   	265.58	橙橙2等级1易伤2攻速	14攻速24等级3头目4序列升级5立即金币6最后敌人7烈焰减费8a核9易伤
11	25333 66213	   	265.58	橙橙2等级1易伤2攻速	14攻速24等级3头目4序列升级59低血量敌人6易伤7毒气减费8a核
12	25334 16223	   	265.58	橙橙2等级1易伤2攻速	14攻速24等级3头目4序列升级5敌人爆炸6立即金币7烈焰减费8a核9易伤
13	25331 66223	   	265.48	橙橙2等级1易伤2攻速	14攻速24等级3头目4序列升级5立即金币6挖尘7烈焰减费8a核9易伤
14	25333 66223	   	265.48	橙橙2等级1易伤2攻速	14攻速24等级3头目4序列升级5低血量敌人6易伤7毒气减费8a核9火球减费
15	25632 12342	   	264.57	橙3易伤2喷火对甲2等级1攻速	1攻速26等级37a易伤4技能点56喷火对甲6序列升级8导弹对黄9核
16	25632 32341	 * 	263.71	橙4易伤1等级1喷火对甲2攻速	1a攻速2等级367a易伤4技能点5喷火对甲8a导弹对黄9核a序列升级
