0	Index      	 *	Score 	Summary	Detail	
1	13214 12411	 * 	270.39	橙橙1易伤2矿等1等级1暴击	1掉矿2暴击3赏金邻近47矿等5等级6易伤8a核9赏金塔
2	53113 24224	   	269.89	橙橙1易伤1等级1全技能1暴击1攻速	1等级2暴击3掉矿4额外掉落5全技能69核7散射对甲8攻速a易伤
3	53113 26224	   	269.89	橙橙1易伤1等级1全技能1暴击1攻速	1等级2暴击3掉矿4额外掉落5全技能69核7激光对冰8攻速a易伤
4	33452 12411	 * 	259.86	橙橙2等级1易伤1暴击	1双倍秒伤2暴击3时间47等级5低血量敌人6易伤8a核9赏金邻近
5	66221 21232	   	258.29	橙橙1易伤1等级1矿等1技能	1易伤2头目3敌人爆炸4平台5等级6赏金塔79核8矿等a技能
6	66521 21232	   	258.29	橙橙1易伤1等级1矿等1技能	1易伤2头目3最后敌人4平台5等级6赏金塔79核8矿等a技能
7	53113 24226	 * 	257.86	橙橙1等级1伤害1全技能1暴击1攻速	1等级2暴击3掉矿4额外掉落5全技能69核7散射对甲8攻速a伤害
8	53113 26226	   	257.86	橙橙1等级1伤害1全技能1暴击1攻速	1等级2暴击3掉矿4额外掉落5全技能69核7激光对冰8攻速a伤害
9	31452 12411	   	252.82	橙橙2等级1易伤1暴击	1双倍秒伤2挖尘3暴击47等级5低血量敌人6易伤8a核9赏金邻近
10	33452 25211	   	249.53	橙橙1易伤1等级1暴击	1双倍秒伤2暴击3时间4等级5低血量敌人6立即金币7a核8易伤9赏金邻近
11	61215 52224	 * 	249.00	橙橙2易伤3时间	17易伤2技能点37金币生成457时间6a核7序列升级8立即金币9加一
12	66221 21231	   	244.64	橙橙1易伤1等级1矿等	1易伤2a头目3敌人爆炸4平台5等级6赏金塔79核8矿等
13	66221 21234	   	244.64	橙橙1易伤1等级1矿等	1易伤2头目3敌人爆炸4平台5等级6赏金塔79核8矿等a最后敌人
14	66221 21235	   	244.64	橙橙1易伤1等级1矿等	1易伤2头目3敌人爆炸4a平台5等级6赏金塔79核8矿等
15	66221 21236	   	244.64	橙橙1易伤1等级1矿等	1易伤2头目3敌人爆炸4平台5等级6赏金塔79核8矿等a随机矿
16	66521 21231	   	244.64	橙橙1易伤1等级1矿等	1易伤2a头目3最后敌人4平台5等级6赏金塔79核8矿等
17	66221 21233	   	244.54	橙橙1易伤1等级1矿等1卖塔	1易伤2头目3敌人爆炸4平台5等级6赏金塔79核8矿等a卖塔
18	66521 21233	   	244.54	橙橙1易伤1等级1矿等1卖塔	1易伤2头目3最后敌人4平台5等级6赏金塔79核8矿等a卖塔
19	24327 13442	   	244.44	橙橙1易伤1等级1矿等	1烈焰减费2加一3基地爆炸4矿等5等级6平台79核8导弹对黄a易伤
20	33522 16411	   	244.28	橙橙1易伤2矿等1暴击	1双倍秒伤2暴击37矿等4敌人爆炸5低血量敌人6易伤8a核9赏金邻近
21	21211 16552	   	242.59	橙橙1易伤1等级1攻速	1烈焰减费2策反3随机技能4攻速5金币生成6a核7掉矿8等级9易伤
22	33252 65211	   	242.59	橙橙1易伤1等级1暴击	1双倍秒伤2暴击35低血量敌人4等级6最后敌人7a核8易伤9赏金邻近
23	66221 21432	   	242.59	橙橙1易伤1等级1技能	1易伤2头目3敌人爆炸4平台5等级6赏金塔79核8技能点a技能
24	24348 13844	   	242.49	橙橙2易伤1暴击	1烈焰减费2加一3基地爆炸4a易伤5平台6挖尘79核8暴击
25	33252 53411	   	242.49	橙橙1易伤1等级1暴击	1双倍秒伤2暴击35低血量敌人4等级6雷电减费7易伤8a核9赏金邻近
26	33252 55211	   	242.49	橙橙1易伤1等级1暴击	1双倍秒伤2暴击35低血量敌人4等级6雷电减费7a核8易伤9赏金邻近
27	52215 53224	   	242.39	橙橙1易伤1等级2时间	1等级2挖青3金币生成45时间6a核7易伤8赏金塔9加一
28	62611 13411	   	242.29	橙橙1易伤1等级1暴击	1易伤2烈焰减费3掉矿4暴击5技能点6等级7赏金塔8a核9赏金邻近
29	65311 13411	   	242.29	橙橙1易伤1等级1暴击	1易伤23掉矿4暴击5技能点6等级7赏金塔8a核9赏金邻近
30	33532 26352	 * 	240.63	橙2易伤1等级2雷电1伤害1矿等1暴击	1双倍秒伤2暴击3矿等47雷电5伤害6等级89易伤a核
