0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62335 16232	9	 * 	297.02	橙4易伤2伤害2等级1时间1暴击	147a易伤2平台3暴击57伤害67等级7序列升级8时间9核
2	63161 12632	9	 * 	290.63	橙5易伤2时间1等级1伤害	13468易伤2等级58时间78策反8序列升级9伤害a核
3	63162 11362	5	   	290.63	橙5易伤2时间1等级1伤害	13478易伤2等级58金币生成68时间8序列升级9伤害a核
4	63163 11362	4	   	290.63	橙5易伤2时间1等级1伤害	13478易伤2等级58金币生成68时间8序列升级9伤害a核
5	62335 16232	10	 * 	290.55	橙3易伤2伤害2等级2时间1暴击	147易伤2平台3暴击57伤害67等级7序列升级8a时间9核
6	63161 31362	6	   	290.43	橙5易伤2时间1等级1伤害	13478易伤2等级58时间68掉矿8序列升级9伤害a核
7	32135 15612	6	 * 	290.13	橙3易伤3时间2伤害2等级	1随机矿279时间348易伤57伤害67等级7序列升级a核
8	32135 16252	8	   	290.13	橙3易伤3时间2伤害2等级	1随机矿278时间349易伤57伤害67等级7序列升级a核
9	32135 16312	8	   	290.13	橙3易伤3时间2伤害2等级	1随机矿279时间348易伤57伤害67等级7序列升级a核
10	32135 16612	7	   	290.13	橙3易伤3时间2伤害2等级	1随机矿279时间348易伤57伤害67等级7序列升级a核
11	63161 16222	8	   	285.42	橙5易伤2时间1等级2雷电	13468易伤2等级58时间78雷电8序列升级9核a双倍矿
12	63161 16223	8	   	285.42	橙5易伤2时间1等级2雷电	13468易伤2等级58时间78雷电8序列升级9核a金币生成
13	63161 16221	8	   	285.32	橙5易伤2时间1等级2雷电	13468易伤2等级58时间78雷电8序列升级9核a挖尘
14	63136 11531	5	 * 	285.26	橙5易伤2伤害2等级	1379a易伤26等级4加一56伤害6序列升级8核
15	14133 31362	6	   	283.92	橙5易伤2等级1伤害1时间	18掉矿2时间34578易伤68等级8序列升级9伤害a核
16	62335 16332	9	   	280.77	橙4易伤2伤害2等级1暴击	147a易伤2平台3暴击57伤害67等级7序列升级8基地爆炸9核
17	32164 61331	3	 * 	280.31	橙4易伤3时间1等级2雷电	1随机矿245时间348a易伤48序列升级6核78雷电9等级
18	63145 12212	9	   	279.46	橙4易伤1等级1伤害1时间1暴击	136a易伤2等级4伤害5攻速7核8时间9暴击
19	63136 31531	6	   	277.08	橙5易伤2伤害1等级	1379a易伤2等级4加一56伤害8核
20	62335 16231	9	   	275.97	橙3易伤2伤害2等级1时间1暴击	147易伤2平台3暴击57伤害67等级7序列升级8时间9核a双倍矿
21	62335 16231	10	   	275.97	橙3易伤2伤害2等级1时间1暴击	147易伤2平台3暴击57伤害67等级7序列升级8时间9核a随机矿
22	62335 16233	10	   	275.97	橙3易伤2伤害2等级1时间1暴击	147易伤2平台3暴击57伤害67等级7序列升级8时间9核a立即金币
23	62335 16332	10	   	275.97	橙3易伤2伤害2等级1时间1暴击	147易伤2平台3暴击57伤害67等级7序列升级8基地爆炸9核a时间
24	62335 16221	10	   	275.97	橙3易伤2伤害2等级1时间1暴击	147易伤2平台3暴击57伤害67等级7序列升级8时间9最后敌人a核
25	61633 15131	4	 * 	275.92	紫5易伤2伤害2时间1等级	1479a易伤2核37伤害5立即金币67时间7序列升级8等级
26	62335 16233	9	   	275.87	橙3易伤2伤害2等级1时间1暴击	147易伤2平台3暴击57伤害67等级7序列升级8时间9核a掉矿
27	63136 11544	5	   	275.77	橙3易伤2伤害2等级1时间1暴击	137易伤26等级4加一56伤害6序列升级8核9暴击a时间
28	63136 27232	9	   	275.19	橙4易伤2伤害1等级1时间	137a易伤2等级4加一57伤害67策反7序列升级8时间9核
29	31136 16632	5	   	275.09	橙4易伤2伤害1等级1时间	1随机矿2加一346a易伤56伤害6序列升级7核8时间9等级
30	63325 11126	5	 * 	274.49	橙4易伤3伤害1等级	1679易伤2等级349挖尘569伤害69序列升级8立即金币a核
31	62125 33315	8	 * 	273.43	橙4易伤2伤害2时间	156a易伤2平台3全技能45伤害5a序列升级7a基地爆炸8a时间9核
32	63133 16712	4	 * 	273.43	橙4易伤3时间2等级	1378易伤27等级4加一5立即金币679时间7序列升级a核
33	63134 16712	4	   	273.43	橙4易伤3时间2等级	1378易伤27等级4加一5双倍矿679时间7序列升级a核
34	62125 32315	8	   	273.23	橙4易伤2伤害2时间	156a易伤2平台3全技能45伤害5a序列升级7a挖尘8a时间9核
35	63312 11431	1	   	272.53	橙5易伤2时间1伤害	1239a易伤2序列升级4攻速56时间7伤害8核
36	66312 11431	1	   	272.53	橙5易伤2时间1伤害	1239a易伤4攻速56时间7伤害8核
37	63136 41544	6	   	271.05	橙4易伤1等级1伤害1时间1暴击	1367易伤2等级4加一5伤害8核9暴击a时间
38	32136 26131	7	   	270.57	橙5易伤2时间1等级	1随机矿27时间34679易伤57最后敌人7序列升级8等级a核
39	35161 15131	4	   	270.57	橙5易伤2时间1等级	1随机矿23479易伤57敌人爆炸67时间7序列升级8等级a核
40	35163 15131	5	   	270.57	橙5易伤2时间1等级	1随机矿23479易伤57低血量敌人67时间7序列升级8等级a核
41	63161 12612	9	   	270.57	橙5易伤2时间1等级	13468易伤2等级58时间78策反8序列升级9矿等a核
42	63161 13631	4	   	270.57	橙5易伤2时间1等级	13489易伤2等级58敌人爆炸68时间7随机矿8序列升级a核
43	63161 15231	4	   	270.57	橙5易伤2时间1等级	13479易伤2等级57敌人爆炸67时间7序列升级8随机矿a核
44	63161 15312	7	   	270.57	橙5易伤2时间1等级	13468易伤2等级58时间78矿等8序列升级9策反a核
45	63161 15321	7	   	270.57	橙5易伤2时间1等级	13468易伤2等级58时间78矿等8序列升级9低血量敌人a核
46	63161 25231	6	   	270.57	橙5易伤2时间1等级	13479易伤2等级57时间67低血量敌人7序列升级8随机矿a核
47	63161 26231	7	   	270.57	橙5易伤2时间1等级	13479易伤2等级57时间67低血量敌人7序列升级8随机矿a核
48	63161 33631	5	   	270.57	橙5易伤2时间1等级	13489易伤2等级58时间68敌人爆炸7随机矿8序列升级a核
49	63161 35231	5	   	270.57	橙5易伤2时间1等级	13479易伤2等级57时间67敌人爆炸7序列升级8随机矿a核
50	63161 61312	6	   	270.57	橙5易伤2时间1等级	13478易伤2等级58时间68金币生成8序列升级9策反a核
51	63161 61321	6	   	270.57	橙5易伤2时间1等级	13478易伤2等级58时间68金币生成8序列升级9低血量敌人a核
52	63162 11312	5	   	270.57	橙5易伤2时间1等级	13478易伤2等级58金币生成68时间8序列升级9策反a核
53	63162 11321	5	   	270.57	橙5易伤2时间1等级	13478易伤2等级58金币生成68时间8序列升级9低血量敌人a核
54	63162 11351	5	   	270.57	橙5易伤2时间1等级	13478易伤2等级58金币生成68时间8序列升级9敌人爆炸a核
55	63162 33631	4	   	270.57	橙5易伤2时间1等级	13489易伤2等级58时间68敌人爆炸7随机矿8序列升级a核
56	63162 35231	4	   	270.57	橙5易伤2时间1等级	13479易伤2等级57时间67敌人爆炸7序列升级8随机矿a核
57	63163 11312	4	   	270.57	橙5易伤2时间1等级	13478易伤2等级58金币生成68时间8序列升级9策反a核
58	63163 11321	4	   	270.57	橙5易伤2时间1等级	13478易伤2等级58金币生成68时间8序列升级9低血量敌人a核
59	63163 11351	4	   	270.57	橙5易伤2时间1等级	13478易伤2等级58金币生成68时间8序列升级9敌人爆炸a核
60	63163 15231	5	   	270.57	橙5易伤2时间1等级	13479易伤2等级57低血量敌人67时间7序列升级8随机矿a核
61	35161 25131	6	   	270.57	橙5易伤2时间1等级	1随机矿23479易伤57时间67低血量敌人7序列升级8等级a核
62	35161 26131	7	   	270.57	橙5易伤2时间1等级	1随机矿23479易伤57时间67低血量敌人7序列升级8等级a核
63	35161 35131	5	   	270.57	橙5易伤2时间1等级	1随机矿23479易伤57时间67敌人爆炸7序列升级8等级a核
