0	Index      	Bounty	 *	Score 	Summary	Detail	
1	65243 33223	2	 * 	303.30	橙4易伤3伤害3暴击1等级	147伤害234暴击47序列升级579a易伤6核8等级
2	65243 33323	2	   	287.05	橙4易伤3伤害3暴击	147伤害234暴击47序列升级579a易伤6核8随机矿
3	25221 12535	7	   	284.56	橙4易伤2伤害3等级1攻速	19a等级267a易伤3雷电4攻速5a伤害8核a序列升级
4	24232 32361	6	   	283.02	橙3易伤3伤害3等级1暴击1攻速	19a等级2随机矿3挖尘49a伤害5攻速6核7暴击89a易伤9a序列升级
5	55333 14322	2	 * 	281.76	橙3易伤2时间2攻速1伤害1等级	1随机矿29时间349易伤5雷电6核7伤害89攻速9序列升级a等级
6	65243 33212	2	   	281.00	橙2易伤3伤害3暴击1等级1时间1攻速	147伤害234暴击47序列升级57易伤6核8等级9攻速a时间
7	65243 33221	2	   	280.66	橙3易伤3伤害3暴击1等级	147伤害234暴击47序列升级579易伤6核8等级a矿等
8	65243 33222	2	   	280.66	橙3易伤3伤害3暴击1等级	147伤害234暴击47序列升级579易伤6核8等级a低血量敌人
9	61422 33113	1	 * 	276.22	橙4易伤2伤害2时间	17伤害2基地爆炸37时间478a易伤5随机矿6核7序列升级9矿等
10	61422 33123	1	   	276.22	橙4易伤2伤害2时间	17伤害2基地爆炸37时间478a易伤5随机矿6核7序列升级9金币生成
11	61422 33132	1	   	276.22	橙4易伤2伤害2时间	17伤害2基地爆炸37时间478a易伤5随机矿6核7序列升级9最后敌人
12	61422 33153	1	   	276.22	橙4易伤2伤害2时间	17伤害2基地爆炸37时间478a易伤5随机矿6核7序列升级9策反
13	63422 33113	2	   	276.22	橙4易伤2伤害2时间	17伤害2基地爆炸37时间478a易伤5随机矿6核7序列升级9矿等
14	63422 33123	2	   	276.22	橙4易伤2伤害2时间	17伤害2基地爆炸37时间478a易伤5随机矿6核7序列升级9金币生成
15	63422 33132	2	   	276.22	橙4易伤2伤害2时间	17伤害2基地爆炸37时间478a易伤5随机矿6核7序列升级9最后敌人
16	63422 33153	2	   	276.22	橙4易伤2伤害2时间	17伤害2基地爆炸37时间478a易伤5随机矿6核7序列升级9策反
17	55313 34113	4	   	276.22	橙4易伤2伤害2时间	1随机矿27时间3最后敌人47伤害578a易伤6核7序列升级9矿等
18	55313 34123	4	   	276.22	橙4易伤2伤害2时间	1随机矿27时间3最后敌人47伤害578a易伤6核7序列升级9金币生成
19	61362 33113	1	   	276.22	橙4易伤2伤害2时间	17伤害2基地爆炸378a易伤47时间5随机矿6核7序列升级9矿等
20	61362 33123	1	   	276.22	橙4易伤2伤害2时间	17伤害2基地爆炸378a易伤47时间5随机矿6核7序列升级9金币生成
21	61362 33132	1	   	276.22	橙4易伤2伤害2时间	17伤害2基地爆炸378a易伤47时间5随机矿6核7序列升级9最后敌人
22	61362 33153	1	   	276.22	橙4易伤2伤害2时间	17伤害2基地爆炸378a易伤47时间5随机矿6核7序列升级9策反
23	63362 33113	2	   	276.22	橙4易伤2伤害2时间	17伤害2基地爆炸378a易伤47时间5随机矿6核7序列升级9矿等
24	63362 33123	2	   	276.22	橙4易伤2伤害2时间	17伤害2基地爆炸378a易伤47时间5随机矿6核7序列升级9金币生成
25	63362 33132	2	   	276.22	橙4易伤2伤害2时间	17伤害2基地爆炸378a易伤47时间5随机矿6核7序列升级9最后敌人
26	63362 33153	2	   	276.22	橙4易伤2伤害2时间	17伤害2基地爆炸378a易伤47时间5随机矿6核7序列升级9策反
27	62422 33113	1	   	276.12	橙4易伤2伤害2时间	17伤害2挖尘37时间478a易伤5随机矿6核7序列升级9矿等
28	62422 33123	1	   	276.12	橙4易伤2伤害2时间	17伤害2挖尘37时间478a易伤5随机矿6核7序列升级9金币生成
29	62422 33132	1	   	276.12	橙4易伤2伤害2时间	17伤害2挖尘37时间478a易伤5随机矿6核7序列升级9最后敌人
