0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35235 13423	7	 * 	296.41	橙3易伤3伤害3时间1暴击	137最后敌人238时间378序列升级4平台578易伤678伤害9核a暴击
2	27612 46121	6	 * 	294.23	橙5易伤3攻速2等级1时间	1加一258攻速34589易伤58序列升级68等级7核a时间
3	34412 31613	8	 * 	290.84	橙4易伤3伤害1等级1暴击	1最后敌人2458易伤356伤害5序列升级7等级9核a暴击
4	51312 36213	10	 * 	289.35	橙4易伤3时间2伤害	1金币生成245a易伤358时间5序列升级67伤害9核
5	21263 12183	4	   	289.35	橙4易伤3时间2伤害	1加一238时间38序列升级4矿等58伤害6789易伤a核
6	21268 12183	6	   	289.35	橙4易伤3时间2伤害	1加一238时间38序列升级4矿等58伤害6789易伤a核
7	21268 12183	5	   	289.35	橙4易伤3时间2伤害	1加一238时间38序列升级4矿等58伤害6789易伤a核
8	21663 12183	4	   	289.35	橙4易伤3时间2伤害	1加一238时间4矿等58伤害6789易伤8序列升级a核
9	51312 31413	10	   	289.35	橙4易伤3时间2伤害	1金币生成245a易伤357时间5序列升级68伤害9核
10	27612 36231	10	   	287.64	橙5易伤3攻速2等级	1加一25a攻速3456a易伤5a序列升级7核8全技能9a等级
11	27612 46124	6	   	286.28	橙5易伤3攻速2等级	1加一258攻速34589易伤58序列升级68等级7核a雷电
12	51312 31614	7	   	285.41	橙4易伤3时间1伤害1暴击	1金币生成2458易伤357时间5序列升级6伤害9核a暴击
13	21273 12154	4	   	282.96	橙3易伤3时间2伤害1等级	1加一238时间38序列升级4等级58伤害678易伤9平台a核
14	21673 12154	4	   	282.96	橙3易伤3时间2伤害1等级	1加一238时间4等级58伤害678易伤8序列升级9平台a核
15	21273 12134	4	   	282.86	橙3易伤3时间2伤害1等级	1加一238时间38序列升级4等级58伤害678易伤9挖尘a核
16	21673 12134	4	   	282.86	橙3易伤3时间2伤害1等级	1加一238时间4等级58伤害678易伤8序列升级9挖尘a核
17	51312 21516	10	   	282.77	橙4易伤3时间1伤害1攻速	1金币生成2458易伤357时间5序列升级6攻速9核a伤害
18	35235 13422	7	   	282.76	橙3易伤3伤害3时间	137最后敌人238时间378序列升级4平台578易伤678伤害9核a矿等
19	27612 16133	5	 * 	282.73	橙4易伤3时间3攻速	1加一258攻速3459易伤589序列升级689时间789金币生成a核
20	35235 13421	7	   	282.66	橙3易伤3伤害3时间	137最后敌人238时间378序列升级4平台578易伤678伤害9核a赏金塔
21	51312 36216	10	   	282.36	橙3易伤3伤害3时间	1金币生成245易伤358时间5序列升级67a伤害9核
