0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51124 35222	7	 * 	314.50	橙4易伤3伤害3暴击1等级1攻速	1489易伤2攻速389伤害5敌人爆炸6等级789暴击89序列升级a核
2	13123 35121	9	 * 	311.42	橙5易伤3伤害2时间	1立即金币24678易伤38时间58a伤害8序列升级9核
3	12123 35122	8	 * 	308.99	橙5易伤3时间2伤害	1立即金币238时间46789易伤58伤害8序列升级a核
4	12123 35162	9	   	308.99	橙5易伤3时间2伤害	1立即金币238时间46789易伤58伤害8序列升级a核
5	13123 35142	9	   	308.99	橙5易伤3时间2伤害	1立即金币24678易伤389时间58伤害8序列升级a核
6	13123 35152	8	   	308.99	橙5易伤3时间2伤害	1立即金币24678易伤389时间58伤害8序列升级a核
7	12123 35312	7	   	308.99	橙5易伤3时间2伤害	1立即金币239时间46789易伤59伤害9序列升级a核
8	52623 35121	10	   	308.99	橙5易伤3时间2伤害	14678易伤238时间58伤害8序列升级9核a基地爆炸
9	52623 35122	9	   	308.99	橙5易伤3时间2伤害	14678易伤238时间58伤害8序列升级9核a敌人爆炸
10	52623 35122	10	   	308.99	橙5易伤3时间2伤害	14678易伤238时间58伤害8序列升级9核a最后敌人
11	52623 35123	10	   	308.99	橙5易伤3时间2伤害	14678易伤238时间58伤害8序列升级9核a低血量敌人
12	52623 35312	8	   	308.99	橙5易伤3时间2伤害	14679易伤239时间59伤害8立即金币9序列升级a核
13	52623 36122	8	   	308.99	橙5易伤3时间2伤害	14689易伤238时间58伤害7立即金币8序列升级a核
14	52623 36312	7	   	308.99	橙5易伤3时间2伤害	14689易伤239时间59伤害7立即金币9序列升级a核
15	52633 35122	8	   	308.99	橙5易伤3时间2伤害	16789易伤238时间4双倍矿58伤害8序列升级a核
16	52633 35312	7	   	308.99	橙5易伤3时间2伤害	16789易伤239时间4双倍矿59伤害9序列升级a核
17	52623 35121	9	   	308.89	橙5易伤3时间2伤害	14678易伤238时间58伤害8序列升级9核a加一
18	52623 35123	9	   	308.89	橙5易伤3时间2伤害	14678易伤238时间58伤害8序列升级9核a掉矿
19	51323 45223	6	 * 	307.88	橙4易伤3伤害3攻速1时间1卖塔	1789易伤289攻速3掉矿4时间589伤害6卖塔89序列升级a核
20	12123 35122	9	   	305.70	橙4易伤3时间2伤害1等级	1立即金币238时间4678易伤58伤害8序列升级9核a等级
21	12123 35145	8	   	305.70	橙4易伤3时间2伤害1等级	1立即金币238时间4678易伤58伤害8序列升级9等级a核
22	52623 36122	9	   	305.70	橙4易伤3时间2伤害1等级	1468易伤238时间58伤害7立即金币8序列升级9核a等级
23	52633 35122	9	   	305.70	橙4易伤3时间2伤害1等级	1678易伤238时间4双倍矿58伤害8序列升级9核a等级
24	13123 35126	9	   	305.42	橙5易伤2伤害2时间	1立即金币24678易伤38时间58伤害8序列升级9核a全技能
25	12123 35121	9	 * 	305.10	橙4易伤3伤害3时间	1立即金币238时间4678易伤58a伤害8序列升级9核
26	52623 36121	9	   	305.10	橙4易伤3伤害3时间	1468易伤238时间58a伤害7立即金币8序列升级9核
