0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21353 15143	8	 * 	312.86	橙5易伤3伤害1等级2暴击1卖塔	134伤害23459易伤349序列升级6卖塔7核89暴击a等级
2	21353 33563	10	 * 	305.97	橙5易伤3伤害2时间	134伤害23456易伤34序列升级7攻速8a时间9核
3	21311 16641	7	 * 	305.53	橙4易伤3伤害2时间1等级	139伤害2379易伤39序列升级4掉矿5最后敌人69时间8核a等级
4	21513 51333	10	 * 	303.33	橙4易伤2伤害2等级2暴击1时间	18伤害2589易伤34暴击6时间78等级8序列升级a核
5	21356 11322	9	 * 	302.60	橙5易伤3伤害1等级	134伤害23468易伤34序列升级5双倍物品7全技能9等级a核
6	21352 23524	4	 * 	301.12	橙5易伤3伤害2等级	134伤害2349a易伤349序列升级59等级6赏金塔7核8立即金币
7	21352 23624	4	   	301.12	橙5易伤3伤害2等级	134伤害2349a易伤349序列升级59等级6赏金塔7核8双倍矿
8	21353 31146	5	   	300.51	橙4易伤3伤害1等级1时间	134伤害2345易伤34序列升级6掉矿7核8全技能9等级a时间
9	21353 33562	10	   	299.70	橙5易伤3伤害1时间	134伤害23456易伤34序列升级7攻速8时间9核a雷电
10	21353 23165	7	   	299.25	橙4易伤3伤害1等级1时间	134伤害2345易伤34序列升级6平台7时间8核9雷电a等级
11	21353 23123	7	   	297.67	橙5易伤3伤害2时间	134伤害2345a易伤34序列升级6平台79时间8核
12	21353 31561	10	   	296.73	橙5易伤3伤害1时间1暴击	134伤害23456易伤34序列升级7矿等8时间9核a暴击
13	21352 23122	4	 * 	296.32	橙4易伤3伤害3等级1暴击	134伤害2349易伤349序列升级589等级6赏金塔7核a暴击
14	21353 31156	7	   	293.04	橙5易伤3伤害1等级	134伤害23456易伤34序列升级7矿等8等级9最后敌人a核
15	21353 32222	7	   	293.04	橙5易伤3伤害1等级	134伤害23456易伤34序列升级7平台8核9金币生成a等级
16	21353 32236	7	   	293.04	橙5易伤3伤害1等级	134伤害23456易伤34序列升级7平台8核9敌人爆炸a等级
17	21353 26311	9	   	292.94	橙5易伤3伤害1等级	134伤害2345a易伤34序列升级6平台7双倍物品8等级9核
18	21353 26314	10	   	292.94	橙5易伤3伤害1等级	134伤害2345a易伤34序列升级6平台7双倍物品8等级9核
19	21356 13142	10	   	292.94	橙5易伤3伤害1等级	134伤害2346a易伤34序列升级5双倍物品7矿等8等级9核
20	21353 26231	8	   	292.94	橙5易伤3伤害1等级	134伤害2345a易伤34序列升级6平台7双倍物品8核9等级
21	21354 12235	4	   	292.88	橙4易伤3伤害2时间1暴击	134伤害2348易伤34序列升级5赏金塔67时间9核a暴击
22	21356 16323	7	   	292.84	橙5易伤3伤害1等级	134伤害2346a易伤34序列升级5双倍物品7等级8核9赏金塔
23	21353 15133	7	   	292.79	橙5易伤3伤害1等级1卖塔	134伤害23459易伤34序列升级6卖塔7核8金币生成a等级
24	21353 15433	7	   	292.79	橙5易伤3伤害1等级1卖塔	134伤害23459易伤34序列升级6卖塔7核8矿等a等级
25	21353 15533	8	   	292.79	橙5易伤3伤害1等级1卖塔	134伤害23459易伤34序列升级6卖塔7核8金币生成a等级
26	21353 15313	9	   	292.50	橙5易伤3伤害1时间1卖塔	134伤害2345a易伤34序列升级6卖塔7核8全技能9时间
27	21353 15333	9	   	292.50	橙5易伤3伤害1时间1卖塔	134伤害23459易伤34序列升级6卖塔7核8全技能a时间
28	21353 15363	8	   	292.50	橙5易伤3伤害1时间1卖塔	134伤害23459易伤349序列升级6卖塔7核8全技能a时间
29	21354 12234	4	 * 	292.45	橙4易伤3伤害3时间	134伤害2348易伤34序列升级5赏金塔67a时间9核
30	21313 24542	5	   	292.45	橙4易伤3伤害3时间	136伤害2389易伤369序列升级479掉矿569时间a核
31	21353 23161	7	   	291.39	橙5易伤3伤害1时间	134伤害2345a易伤34序列升级6平台7时间8核9雷电
32	21353 33363	10	   	291.39	橙5易伤3伤害1时间	134伤害23456易伤34序列升级7攻速8低血量敌人9核a时间
33	21353 34136	10	   	291.39	橙5易伤3伤害1时间	134伤害23456易伤34序列升级7敌人爆炸8时间9攻速a核
34	21353 52136	10	   	291.39	橙5易伤3伤害1时间	134伤害23458易伤34序列升级6敌人爆炸7时间9攻速a核
35	21356 11116	9	   	291.35	橙5易伤3伤害2雷电	134伤害23469易伤349序列升级5双倍物品7全技能89雷电a核
36	21353 33561	10	   	291.29	橙5易伤3伤害1时间	134伤害23456易伤34序列升级7攻速8时间9核a加一
37	21353 33562	9	   	291.29	橙5易伤3伤害1时间	134伤害23456易伤34序列升级7攻速8时间9核a挖青
38	21353 33563	9	   	291.29	橙5易伤3伤害1时间	134伤害23456易伤34序列升级7攻速8时间9核a挖尘
39	21352 23523	4	   	291.08	橙4易伤3伤害2等级	134伤害2349易伤349序列升级59等级6赏金塔7核8立即金币a雷电
40	21352 23623	4	   	291.08	橙4易伤3伤害2等级	134伤害2349易伤349序列升级59等级6赏金塔7核8双倍矿a雷电
41	21356 16313	7	   	290.84	橙4易伤3伤害1等级1时间	134伤害2346易伤34序列升级5双倍物品7等级8核9低血量敌人a时间
42	21352 23244	4	   	290.74	橙4易伤3伤害1等级1时间	134伤害2349易伤34序列升级5等级6赏金塔7核8加一a时间
43	21352 23414	4	   	290.74	橙4易伤3伤害1等级1时间	134伤害2349易伤34序列升级5等级6赏金塔7核8掉矿a时间
44	21353 32256	7	   	290.15	橙5易伤3伤害1暴击	134伤害23456易伤34序列升级7平台8核9暴击a全技能
45	21324 31243	9	   	288.84	橙4易伤2伤害1等级1时间1暴击	13伤害236a易伤3序列升级4低血量敌人5暴击7等级8核9时间
46	21324 31245	8	   	288.84	橙4易伤2伤害1等级1时间1暴击	13伤害2369易伤3序列升级4低血量敌人5暴击7等级8核a时间
47	21326 26243	9	   	288.84	橙4易伤2伤害1等级1时间1暴击	13伤害237a易伤3序列升级4低血量敌人5等级6暴击8核9时间
48	21364 35222	8	   	288.84	橙4易伤2伤害1等级1时间1暴击	13伤害2367易伤3序列升级4敌人爆炸5暴击8核9时间a等级
49	21324 31563	7	   	288.84	橙4易伤2伤害1等级1时间1暴击	13伤害236a易伤3序列升级4低血量敌人5暴击7等级8时间9核
50	21324 35263	10	   	288.84	橙4易伤2伤害1等级1时间1暴击	13伤害2367易伤3序列升级4低血量敌人5暴击8核9等级a时间
51	21326 22333	6	   	288.84	橙4易伤2伤害1等级1时间1暴击	13伤害239a易伤3序列升级4低血量敌人5等级6暴击7时间8核
52	21366 22333	6	   	288.84	橙4易伤2伤害1等级1时间1暴击	13伤害239a易伤3序列升级4敌人爆炸5等级6暴击7时间8核
53	21353 33365	9	   	288.79	橙5易伤3伤害1暴击	134伤害23456易伤34序列升级7攻速8低血量敌人9核a暴击
54	21353 15311	9	   	288.74	橙4易伤3伤害2时间1卖塔	134伤害2345易伤34序列升级6卖塔7核8全技能9a时间
55	21353 15316	10	   	288.74	橙4易伤3伤害2时间1卖塔	134伤害2345易伤34序列升级6卖塔7核8全技能9a时间
56	21332 33316	3	   	288.18	橙3易伤3伤害2时间2攻速1暴击	137伤害237易伤37序列升级4暴击5a时间67攻速8敌人爆炸9核
57	21332 33516	3	   	288.08	橙3易伤3伤害2时间2攻速1暴击	137伤害237易伤37序列升级4暴击5a时间67攻速8挖尘9核
58	21353 23166	7	   	287.63	橙4易伤3伤害2时间	134伤害2345易伤34序列升级6平台7a时间8核9雷电
59	21353 32255	7	   	286.80	橙5易伤3伤害2暴击	134伤害23456易伤34序列升级7平台8核9a暴击
60	21353 15153	7	   	286.75	橙5易伤3伤害2暴击1卖塔	134伤害2345a易伤34a序列升级6卖塔7核8a金币生成9a暴击
61	21351 32425	6	   	286.70	橙4易伤3伤害1时间1暴击	134伤害234a易伤34序列升级5策反6暴击7雷电8核9时间
62	21353 15141	8	   	286.65	橙5易伤3伤害2暴击1卖塔	134伤害23459易伤349序列升级6卖塔7核89暴击a金币生成
63	21353 15151	8	   	286.55	橙5易伤3伤害2暴击1卖塔	134伤害2345a易伤34a序列升级6卖塔7核8a暴击9赏金塔
64	21353 15142	8	   	286.41	橙5易伤3伤害2暴击2卖塔	134伤害23459易伤349序列升级6a卖塔7核89暴击
65	21352 23141	4	   	286.18	橙3易伤3伤害2等级1时间	134伤害234易伤34序列升级58等级6赏金塔7核9时间a攻速
66	21352 23146	4	   	286.18	橙3易伤3伤害2等级1时间	134伤害234易伤34序列升级58等级6赏金塔7核9时间a雷电
67	21333 12641	7	   	284.58	橙3易伤3伤害2时间1等级	139伤害239易伤39序列升级4金币生成56时间79敌人爆炸8核a等级
68	21333 14641	6	   	284.58	橙3易伤3伤害2时间1等级	139伤害239易伤39序列升级4金币生成56时间79低血量敌人8核a等级
69	21313 12641	7	   	284.48	橙3易伤3伤害2时间1等级	139伤害239易伤39序列升级4掉矿56时间79敌人爆炸8核a等级
70	21313 14641	6	   	284.48	橙3易伤3伤害2时间1等级	139伤害239易伤39序列升级4掉矿56时间79低血量敌人8核a等级
71	21311 15641	7	   	284.38	橙3易伤3伤害2时间1等级	139伤害239易伤39序列升级47掉矿5最后敌人69时间8核a等级
72	21353 13574	4	   	284.28	橙3易伤3伤害2时间1等级	134伤害234易伤34序列升级5加一6双倍物品7核8a时间9等级
73	21353 31144	5	   	284.26	橙4易伤3伤害1等级	134伤害2345易伤34序列升级6掉矿7核8全技能9等级a金币生成
74	21353 31145	5	   	284.26	橙4易伤3伤害1等级	134伤害2345易伤34序列升级6掉矿7核8全技能9等级a平台
75	21353 61142	6	   	284.26	橙4易伤3伤害1等级	134伤害2345易伤34序列升级6金币生成7核8全技能9等级a挖青
76	21353 61143	6	   	284.26	橙4易伤3伤害1等级	134伤害2345易伤34序列升级6金币生成7核8全技能9等级a掉矿
77	21353 31142	5	   	284.16	橙4易伤3伤害1等级	134伤害2345易伤34序列升级6掉矿7核8全技能9等级a挖青
78	21353 31143	5	   	284.16	橙4易伤3伤害1等级	134伤害2345易伤34序列升级6a掉矿7核8全技能9等级
79	21356 16321	7	   	284.16	橙4易伤3伤害1等级	134伤害2346易伤34序列升级5双倍物品7等级8核9赏金塔a全技能
80	21353 15341	10	   	284.11	橙4易伤3伤害1等级1卖塔	134伤害2345易伤34序列升级6卖塔7核8全技能9立即金币a等级
81	21353 15336	9	   	284.02	橙5易伤3伤害2全技能1卖塔	134伤害23459易伤34序列升级6卖塔7核8a全技能
82	21353 33362	10	   	283.45	橙5易伤3伤害	134伤害23456易伤34序列升级7攻速8低血量敌人9核a雷电
83	21353 33516	7	   	283.45	橙5易伤3伤害	134伤害23456易伤34序列升级7攻速8立即金币9核a雷电
84	21324 31223	9	   	283.44	橙3易伤3伤害1等级1时间1暴击	139伤害236易伤3序列升级4低血量敌人5暴击7等级8核a时间
85	21324 31223	10	   	283.44	橙3易伤3伤害1等级1时间1暴击	139伤害236易伤3序列升级4低血量敌人5暴击7等级8核a时间
86	21326 26223	9	   	283.44	橙3易伤3伤害1等级1时间1暴击	139伤害237易伤3序列升级4低血量敌人5等级6暴击8核a时间
87	21326 26223	10	   	283.44	橙3易伤3伤害1等级1时间1暴击	139伤害237易伤3序列升级4低血量敌人5等级6暴击8核a时间
88	21353 23146	7	   	283.08	橙5易伤3伤害1时间	134伤害2345a易伤34序列升级6平台7时间8核9策反
89	21353 31562	9	   	283.08	橙5易伤3伤害1时间	134伤害23456易伤34序列升级7矿等8时间9核a双倍矿
90	21353 31562	10	   	283.08	橙5易伤3伤害1时间	134伤害23456易伤34序列升级7矿等8时间9核a平台
91	21353 31563	9	   	283.08	橙5易伤3伤害1时间	134伤害23456易伤34序列升级7矿等8时间9核a低血量敌人
92	21353 31563	10	   	283.08	橙5易伤3伤害1时间	134伤害23456易伤34序列升级7矿等8时间9核a额外掉落
93	21353 21516	8	   	283.08	橙5易伤3伤害1时间	134伤害2345a易伤34序列升级6平台7矿等8时间9核
94	21353 23234	9	   	283.08	橙5易伤3伤害1时间	134伤害2345a易伤34序列升级6平台7时间8额外掉落9核
95	21353 23316	8	   	283.08	橙5易伤3伤害1时间	134伤害2345a易伤34序列升级6平台7时间8矿等9核
96	21353 23416	8	   	283.08	橙5易伤3伤害1时间	134伤害2345a易伤34序列升级6平台7时间8金币生成9核
97	21353 32231	7	   	283.08	橙5易伤3伤害1时间	134伤害23456易伤34序列升级7平台8核9敌人爆炸a时间
98	21353 34116	10	   	283.08	橙5易伤3伤害1时间	134伤害23456易伤34序列升级79敌人爆炸8时间a核
99	21353 41126	9	   	283.08	橙5易伤3伤害1时间	134伤害23458易伤34序列升级6低血量敌人7最后敌人9时间a核
