0	Index      	 *	Score 	Summary	Detail	
1	44134 11734	 * 	285.92	橙橙2易伤2暴击2全技能	1a掉矿2加一3低血量敌人4a暴击5a易伤69核78全技能a序列升级
2	32364 35333	 * 	278.45	橙橙2易伤1伤害1平台	17敌人爆炸2赏金塔3平台47基地爆炸5双倍秒伤67易伤7序列升级8a核9伤害
3	44134 11334	   	278.15	橙橙2易伤2暴击1全技能	1a掉矿2加一38低血量敌人4a暴击5a易伤69核7全技能a序列升级
4	44334 11734	   	278.15	橙橙2易伤2暴击1全技能	1a掉矿2加一3基地爆炸4a暴击5a易伤69核7全技能8双倍矿a序列升级
5	43623 41132	 * 	277.96	橙橙2伤害1易伤3时间	1掉矿27伤害359时间4易伤6a核8寒冰对冰
6	12152 36362	   	274.17	橙橙2易伤1矿等	1时间2赏金塔39易伤4寒冰对黄5双倍秒伤6矿等7a核8加一
7	44231 11234	   	271.64	橙橙2易伤1暴击1全技能	1a掉矿2加一3a易伤4暴击5最后敌人69核7全技能8a激光减费a序列升级
8	43531 32623	 * 	270.74	橙橙3矿等1伤害1平台	1掉矿2伤害3平台4时间569矿等7赏金塔8a核
9	13224 41632	   	269.02	橙橙1易伤1伤害2时间1攻速	13时间2敌人爆炸4掉矿5攻速6a核7伤害8雷电9易伤
10	13224 53232	   	269.02	橙橙1易伤1伤害2时间1攻速	13时间2敌人爆炸4掉矿5攻速6易伤7伤害8a核9雷电
11	33564 11233	   	267.95	橙橙2易伤1全技能1平台	12a敌人爆炸3平台4金币生成5a易伤69核7全技能8a激光减费a序列升级
12	33342 44132	   	266.06	橙橙2易伤1矿等	124敌人爆炸3技能5多重对愈69易伤7a核8矿等
13	34224 43131	   	265.18	橙橙1易伤1矿等1攻速1暴击	14敌人爆炸2掉矿3易伤5攻速6a核7暴击8双倍秒伤9矿等
14	44334 11237	   	263.62	橙橙1易伤1伤害1暴击1全技能	1掉矿2加一3基地爆炸4暴击5易伤69核7全技能8激光减费a伤害
15	13355 53232	   	262.47	橙橙1易伤1伤害1攻速	1时间24敌人爆炸3易伤5技能点6攻速7伤害8a核9雷电
16	13424 53232	   	262.47	橙橙1易伤1伤害1攻速	1时间23敌人爆炸4掉矿5攻速6易伤7伤害8a核9雷电
17	14226 53232	   	262.37	橙橙1易伤1伤害1攻速	1时间25掉矿3易伤4敌人爆炸6攻速7伤害8a核9雷电
18	43511 32623	   	262.33	橙橙3矿等1伤害1平台	1掉矿2伤害3平台4挖尘569矿等7赏金塔8a核
19	43223 51232	   	262.27	橙橙1易伤1伤害1攻速	17掉矿2伤害3挖尘4易伤5时间6攻速8a核9雷电
20	43223 53232	   	262.27	橙橙1易伤1伤害1攻速	1掉矿2伤害37挖尘4易伤5时间6攻速8a核9雷电
21	51214 43312	   	262.23	橙橙1易伤1伤害1暴击1卖塔	1卖塔2暴击3挖尘4金币生成5时间6a核7易伤8雷电9伤害
22	51214 53232	   	262.23	橙橙1易伤1伤害1暴击1卖塔	1卖塔2暴击3挖尘4金币生成5时间6易伤7伤害8a核9雷电
23	12152 36322	 * 	261.70	橙橙1易伤2矿等	1时间2赏金塔3易伤4寒冰对黄5双倍秒伤69矿等7a核8加一
24	12113 11622	 * 	261.51	橙橙1易伤2攻速2时间	15时间2赏金塔3易伤4雷电6a核79攻速8技能
25	12463 11622	   	261.51	橙橙1易伤2攻速2时间	15时间2赏金塔3雷电4易伤6a核79攻速8技能
26	44134 11336	   	261.19	橙橙1易伤1矿等1暴击1全技能	1掉矿2加一38低血量敌人4暴击5易伤69核7全技能a矿等
27	44134 11236	   	261.09	橙橙1易伤1矿等1暴击1全技能	1掉矿2加一3低血量敌人4暴击5易伤69核7全技能8激光减费a矿等
28	44134 11732	   	261.09	橙橙1易伤2全技能1暴击1平台	1掉矿2加一3低血量敌人4暴击5易伤69核78全技能a平台
29	44231 11236	   	261.09	橙橙1易伤1矿等1暴击1全技能	1掉矿2加一3易伤4暴击5最后敌人69核7全技能8激光减费a矿等
30	44231 11732	   	261.09	橙橙1易伤2全技能1暴击1平台	1掉矿2加一3易伤4暴击5最后敌人69核78全技能a平台
31	33564 12221	   	258.29	橙橙2易伤1平台	127敌人爆炸3平台4金币生成5a易伤69核8赏金邻近
32	33544 12221	   	258.19	橙橙2易伤1平台	127敌人爆炸3平台4掉矿5a易伤69核8赏金邻近
33	44231 11734	   	257.85	橙橙1易伤2暴击2全技能	1a掉矿2加一3易伤4a暴击5a最后敌人69核78全技能a序列升级
34	35214 63132	   	256.73	橙橙2易伤	1敌人爆炸2等级37易伤4加农对甲5赏金塔6a核8核弹9时间
35	15211 26332	   	256.63	橙橙2易伤	1时间2等级39易伤4加农对甲5双倍秒伤6赏金邻近7a核8加一
36	15214 63122	   	256.63	橙橙2易伤	1时间2等级37易伤4加农对甲5赏金塔6a核8核弹9挖青
37	26324 63132	   	256.63	橙橙2易伤	1狙击对毒2等级37易伤4挖尘5赏金塔6a核8核弹9时间
38	34214 63132	   	256.63	橙橙2易伤	1敌人爆炸2掉矿37易伤4加农对甲5赏金塔6a核8核弹9时间
39	12156 63122	   	256.53	橙橙2易伤	1时间2赏金塔37易伤4寒冰对黄5掉矿6a核8核弹9挖青
40	14214 63122	   	256.53	橙橙2易伤	1时间2掉矿37易伤4加农对甲5赏金塔6a核8核弹9挖青
41	41214 63132	   	256.53	橙橙2易伤	1掉矿2挖尘37易伤4加农对甲5赏金塔6a核8核弹9时间
