0	Index      	 *	Score 	Summary	Detail	
1	15414 48348	 * 	286.08	橙橙2易伤3攻速	14a攻速2加一34易伤4序列升级5基地爆炸69核7随机矿8双倍秒伤
2	15261 22451	 * 	285.94	橙橙1易伤2攻速1伤害1全技能1平台	17攻速2加一3全技能4基地爆炸5平台6易伤89核a伤害
3	15414 48341	   	284.29	橙橙2易伤2攻速1平台	14攻速2加一34易伤4序列升级5基地爆炸69核7随机矿8双倍秒伤a平台
4	15414 48344	   	284.29	橙橙2易伤2攻速1全技能	14攻速2加一34易伤4序列升级5基地爆炸69核7随机矿8双倍秒伤a全技能
5	15348 36342	   	274.73	橙橙2易伤2攻速	18攻速2加一38低血量敌人4雷电5金币生成68易伤7a核8序列升级9基础对冰
6	15484 46342	   	274.73	橙橙2易伤2攻速	18攻速2加一38易伤4雷电5低血量敌人68金币生成7a核8序列升级9基础对冰
7	15414 48342	   	274.63	橙橙2易伤2攻速	14攻速2加一34易伤4序列升级5基地爆炸69核7随机矿8双倍秒伤a双倍矿
8	15414 48343	   	274.63	橙橙2易伤2攻速	14攻速2加一34易伤4序列升级5基地爆炸69核7随机矿8双倍秒伤a敌人爆炸
9	15414 48345	   	274.63	橙橙2易伤2攻速	14攻速2加一34易伤4序列升级5基地爆炸69核7随机矿8双倍秒伤a金币生成
10	15414 48346	   	274.53	橙橙2易伤2攻速	14攻速2加一34易伤4序列升级5基地爆炸69核7随机矿8双倍秒伤a掉矿
11	15421 48348	   	274.53	橙橙2易伤2攻速	1a攻速2加一35易伤4敌人爆炸69核7随机矿8双倍秒伤
12	15261 13451	   	273.49	橙橙1易伤1伤害1攻速1全技能1平台	1攻速2加一3全技能46基地爆炸5平台7易伤89核a伤害
13	15241 33451	   	273.39	橙橙1易伤1伤害1攻速1全技能1平台	1攻速2加一3全技能4挖尘5平台6双倍矿7易伤89核a伤害
14	15421 48341	   	271.74	橙橙2易伤1攻速1平台	1攻速2加一35易伤4敌人爆炸69核7随机矿8双倍秒伤a平台
15	15421 48344	   	271.74	橙橙2易伤1攻速1全技能	1攻速2加一35易伤4敌人爆炸69核7随机矿8双倍秒伤a全技能
16	15471 48341	   	271.74	橙橙2易伤1攻速1平台	1攻速2加一35易伤4基地爆炸69核7随机矿8双倍秒伤a平台
17	15471 48344	   	271.74	橙橙2易伤1攻速1全技能	1攻速2加一35易伤4基地爆炸69核7随机矿8双倍秒伤a全技能
18	24522 33315	   	267.85	橙橙2易伤1全技能1平台	1技能2立即金币35易伤4平台6赏金邻近7全技能8a核9技能点
19	15822 13115	 * 	267.74	橙4易伤2伤害2攻速	19攻速2加一3金币生成4赏金邻近59伤害689a易伤7核9序列升级
20	15842 13115	   	267.74	橙4易伤2伤害2攻速	19攻速2加一3金币生成4赏金塔59伤害689a易伤7核9序列升级
