0	Index      	 *	Score 	Summary	Detail	
1	34226 32428	 * 	284.69	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1SPLREG|2FEWX|3DMG|4ZMB|5VULN|6ASPD|7MBVNT|8aRCR|9TLV
2	16112 51161	 * 	281.99	DCR|2VULN|2TLV|2DMG|1MLV	1BEXP|28VULN|3DUR|4RAT|58DMG|6LWND|78TLV|8BPWR|9MLV|aRCR
3	16212 31161	   	281.99	DCR|2VULN|2TLV|2DMG|1MLV	1BEXP|28VULN|3LHND|4RAT|58DMG|6DUR|78TLV|8BPWR|9MLV|aRCR
4	16612 31161	   	281.99	DCR|2VULN|2TLV|2DMG|1MLV	1BEXP|28VULN|3FEWX|4RAT|58DMG|6DUR|78TLV|8BPWR|9MLV|aRCR
5	16112 11161	   	281.89	DCR|2VULN|2TLV|2DMG|1MLV	1BEXP|28VULN|3DUR|4RAT|58DMG|6DUST|78TLV|8BPWR|9MLV|aRCR
6	16152 15321	 * 	278.08	DCR|DCR|2VULN|3DUR|1CDMG	1BEXP|24VULN|345DUR|4BPWR|6FEWX|7CDMG|8LHND|9aRCR
7	26152 15321	   	278.08	DCR|DCR|2VULN|3DUR|1CDMG	1LEGI|24VULN|345DUR|4BPWR|6FEWX|7CDMG|8LHND|9aRCR
8	26152 35321	   	277.98	DCR|DCR|2VULN|3DUR|1CDMG	1LEGI|24VULN|345DUR|4BPWR|6BEXP|7CDMG|8LHND|9aRCR
9	16212 51161	   	273.69	DCR|2VULN|2TLV|2DMG|1MLV	1BEXP|28VULN|3LHND|4RAT|58DMG|6LWND|78TLV|8BPWR|9MLV|aRCR
10	16212 11161	   	273.59	DCR|2VULN|2TLV|2DMG|1MLV	1BEXP|28VULN|3LHND|4RAT|58DMG|6DUST|78TLV|8BPWR|9MLV|aRCR
11	16612 11161	   	273.59	DCR|2VULN|2TLV|2DMG|1MLV	1BEXP|28VULN|3FEWX|4RAT|58DMG|6DUST|78TLV|8BPWR|9MLV|aRCR
12	26112 51161	   	271.02	DCR|2VULN|2TLV|1MLV|1DMG|2RAT	1LEGI|28VULN|3DUR|48RAT|5DMG|6LWND|78TLV|8BPWR|9MLV|aRCR
13	26112 61161	   	271.02	DCR|2VULN|2TLV|1MLV|1DMG|2RAT	1LEGI|28VULN|3DUR|48RAT|5DMG|6FEWX|78TLV|8BPWR|9MLV|aRCR
14	26612 31161	   	271.02	DCR|2VULN|2TLV|1MLV|1DMG|2RAT	1LEGI|28VULN|3FEWX|48RAT|5DMG|6DUR|78TLV|8BPWR|9MLV|aRCR
15	26112 11161	   	270.92	DCR|2VULN|2TLV|1MLV|1DMG|2RAT	1LEGI|28VULN|3DUR|48RAT|5DMG|6DUST|78TLV|8BPWR|9MLV|aRCR
16	14312 34361	 * 	266.55	DCR|2MLV|2TLV|1VULN|1AAC|1ASPD	18BEXP|28MLV|3LWND|4VULN|5AAC|6AART|78TLV|8BPWR|9ASPD|aRCR
17	16386 11223	   	266.55	DCR|2VULN|2TLV|2DMG|1MLV	1BEXP|2aVULN|3MBVNT|4MLV|5CGEN|6aDMG|7BASARM|8RCR|9aTLV|aBPWR
18	16386 13223	   	266.55	DCR|2VULN|2TLV|2DMG|1MLV	1BEXP|2aVULN|3MBVNT|4MLV|5CGEN|6aDMG|7LSRICY|8RCR|9aTLV|aBPWR
19	32531 16226	   	264.43	DCR|DCR|1VULN|1TLV|1ASPD	1SPLREG|2DUST|3TLV|4VULN|5ASPD|6BBNT|7MDPS|8aRCR|9AEBURN
20	53336 31223	 * 	264.43	DCR|DCR|2VULN|1DMG	1MBVNT|2RCVC|3MDPS|49VULN|5DMG|6LIT|7LWND|8aRCR
21	53336 34223	   	264.43	DCR|DCR|2VULN|1DMG	1MBVNT|2RCVC|3MDPS|49VULN|5DMG|6LIT|7FEWX|8aRCR
22	53346 35223	   	264.43	DCR|DCR|2VULN|1DMG	1MBVNT|2RCVC|3MDPS|4LWND|5DMG|6LIT|79VULN|8aRCR
23	16316 31223	   	264.33	DCR|DCR|2VULN|1DMG	1BEXP|29VULN|3MBVNT|4DUST|5DMG|6LIT|7LWND|8aRCR
24	16316 34223	   	264.33	DCR|DCR|2VULN|1DMG	1BEXP|29VULN|3MBVNT|4DUST|5DMG|6LIT|7FEWX|8aRCR
25	21381 35223	   	264.33	DCR|DCR|2VULN|1DMG	1LEGI|2BEXP|3MBVNT|4DMG|5FEWX|6LIT|79VULN|8aRCR
26	26316 31223	   	264.33	DCR|DCR|2VULN|1DMG	1LEGI|29VULN|3MBVNT|4DUST|5DMG|6LIT|7LWND|8aRCR
27	26316 34223	   	264.33	DCR|DCR|2VULN|1DMG	1LEGI|29VULN|3MBVNT|4DUST|5DMG|6LIT|7FEWX|8aRCR
28	21316 35223	   	264.23	DCR|DCR|2VULN|1DMG	1LEGI|2BEXP|3MBVNT|4DUST|5DMG|6LIT|79VULN|8aRCR
29	21388 35223	   	264.23	DCR|DCR|2VULN|1DMG	1LEGI|2BEXP|3MBVNT|4DMG|5DUST|6LIT|79VULN|8aRCR
30	14154 11312	 * 	263.78	DCR|3MLV|2TLV|1VULN|1ASPD	17BEXP|267MLV|3VULN|49CGEN|57TLV|7BPWR|8ASPD|aRCR
31	14131 43113	 * 	263.47	DCR|2VULN|2MLV|1TLV|1ASPD	1BEXP|29MLV|37VULN|4TLV|5CGEN|6ASPD|8DUR|aRCR
32	14131 43143	 * 	262.74	DCR|3VULN|1TLV|1MLV|1ASPD	1BEXP|2MLV|379VULN|4TLV|5CGEN|6ASPD|8DUR|aRCR
33	52843 28322	   	262.71	DCR|2VULN|2TLV|1MLV|1DMG|2RAT	1MBVNT|29RAT|39TLV|4ZMB|5TBNT|6MLV|79VULN|8RCR|9BPWR|aDMG
34	26212 51161	   	262.71	DCR|2VULN|2TLV|1MLV|1DMG|2RAT	1LEGI|28VULN|3LHND|48RAT|5DMG|6LWND|78TLV|8BPWR|9MLV|aRCR
