0	Index      	 *	Score 	Summary	Detail	
1	61132 34231	 * 	314.11	DCR|DCR|2MLV|1VULN|1TLV	1aMLV|2DUR|3VULN|4VENFST|5RAT|6CGEN|79RCR|8TLV
2	61113 13215	 * 	307.48	DCR|3VULN|3MLV|2TLV	167MLV|2DUR|347VULN|57TLV|7BPWR|8AEBURN|9AME|aRCR
3	61113 13225	   	307.48	DCR|3VULN|3MLV|2TLV	167MLV|2DUR|347VULN|57TLV|7BPWR|8AEBURN|9RMIN|aRCR
4	61113 13365	   	307.48	DCR|3VULN|3MLV|2TLV	167MLV|2DUR|347VULN|57TLV|7BPWR|8CGEN|9BEXP|aRCR
5	61113 13265	   	307.38	DCR|3VULN|3MLV|2TLV	167MLV|2DUR|347VULN|57TLV|7BPWR|8AEBURN|9ERES|aRCR
6	61132 34235	   	306.18	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1MLV|2DUR|3VULN|4VENFST|5RAT|6CGEN|79RCR|8TLV|aASPD
7	61132 34232	   	296.48	DCR|DCR|1VULN|1TLV|1MLV|2DUR	1MLV|2aDUR|3VULN|4VENFST|5RAT|6CGEN|79RCR|8TLV
8	31131 44232	 * 	291.80	DCR|DCR|2VULN|1TLV	1CGEN|2DUR|3aVULN|4VENFST|5AME|6RAT|79RCR|8TLV
9	31132 44232	   	291.80	DCR|DCR|2VULN|1TLV	1CGEN|2DUR|3aVULN|4VENFST|5RAT|6AME|79RCR|8TLV
10	61132 34233	   	289.93	DCR|DCR|1VULN|1TLV|1MLV	1MLV|2DUR|3VULN|4VENFST|5RAT|6CGEN|79RCR|8TLV|aFEWX
11	61132 34236	   	289.93	DCR|DCR|1VULN|1TLV|1MLV	1MLV|2DUR|3VULN|4VENFST|5RAT|6CGEN|79RCR|8TLV|aRPLT
12	31131 44231	   	289.93	DCR|DCR|1VULN|1TLV|1MLV	1CGEN|2DUR|3VULN|4VENFST|5AME|6RAT|79RCR|8TLV|aMLV
13	31132 44231	   	289.93	DCR|DCR|1VULN|1TLV|1MLV	1CGEN|2DUR|3VULN|4VENFST|5RAT|6AME|79RCR|8TLV|aMLV
14	61132 34234	   	289.83	DCR|DCR|1VULN|1TLV|1MLV	1MLV|2DUR|3VULN|4VENFST|5RAT|6CGEN|79RCR|8TLV|aBEXP
15	26123 31251	 * 	288.03	DCR|2VULN|2MLV|3ASPD|1DMG|1AAC	1AETHUN|27MLV|37VULN|4AAC|567ASPD|7BPWR|8RMIN|9RCR|aDMG
16	26123 31651	   	288.03	DCR|2VULN|2MLV|3ASPD|1DMG|1AAC	1AETHUN|27MLV|37VULN|4AAC|567ASPD|7BPWR|8AME|9RCR|aDMG
17	26123 31151	   	287.93	DCR|2VULN|2MLV|3ASPD|1DMG|1AAC	1AETHUN|27MLV|37VULN|4AAC|567ASPD|7BPWR|8ERES|9RCR|aDMG
18	12261 34252	 * 	285.78	ACR|DCR|2VULN|1TLV|1MLV|1DMG	19RCR|2FEWX|3ERES|4BELT|5MLV|67VULN|8DMG|aTLV
19	55111 34211	 * 	284.64	DCR|DCR|3VULN	1AART|247VULN|3RPLT|5LIT|6TBNT|89RCR|aDUR
20	26612 43321	   	284.51	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	1AETHUN|2MLV|3DMG|4TBNT|5VULN|6DUR|79RCR|8LEGI|aCDMG
21	26612 53121	   	284.51	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	1AETHUN|2MLV|3DMG|4TBNT|5VULN|6LEGI|79RCR|8DUR|aCDMG
22	64314 22141	 * 	284.22	DCR|DCR|2VULN|1MLV|1CDMG	1MLV|25VULN|3CDMG|4MBVNT|6BEXP|7LIT|8aRCR|9RCVC
23	64314 22131	   	284.12	DCR|DCR|2VULN|1MLV|1CDMG	1MLV|25VULN|3CDMG|4MBVNT|69BEXP|7LIT|8aRCR
