0	Index      	 *	Score 	Summary	Detail	
1	61331 13321	 * 	298.73	DCR|DCR|1VULN|1TLV|1DMG|1AAC|1ASPD	1VULN|2BASHEA|3AEFBLL|4TLV|5AAC|6SPLARM|7ASPD|8aRCR|9DMG
2	61351 13321	 * 	295.22	DCR|DCR|1VULN|1MLV|1DMG|1AAC|1ASPD	1VULN|2BASHEA|3AEFBLL|4MLV|5AAC|6SPLARM|7ASPD|8aRCR|9DMG
3	41522 62312	 * 	291.10	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1FEWX|2MLV|3TLV|4ERES|5VULN|6aRCR|7CGEN|8AAC|9LIT
4	13522 64321	   	291.00	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1LHND|2AME|3TLV|47ERES|5VULN|69RCR|8AAC|aMLV
5	13522 63121	   	290.46	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1LHND|2AME|3TLV|4ERES|5VULN|69RCR|7ASPD|8DMSP|aMLV
6	13522 63521	   	290.46	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1LHND|2AME|3TLV|4ERES|5VULN|69RCR|7ASPD|8RCVC|aMLV
7	43522 63321	   	290.46	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1FEWX|2AME|3TLV|4ERES|5VULN|69RCR|7ASPD|8DMSP|aMLV
8	13522 63412	   	290.46	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1LHND|2AME|3TLV|4ERES|5VULN|6aRCR|7ASPD|8MLV|9LIT
9	43522 63212	   	290.46	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1FEWX|2AME|3TLV|4ERES|5VULN|6aRCR|7ASPD|8MLV|9LIT
10	36422 32221	 * 	289.09	ACR|DCR|2TLV|2DMG|1VULN|1MLV	19RCR|24TLV|34DMG|4BPWR|5CGEN|6VULN|7LWND|8ERES|aMLV
11	36422 33221	   	289.09	ACR|DCR|2TLV|2DMG|1VULN|1MLV	19RCR|24TLV|34DMG|4BPWR|5CGEN|6VULN|7LHND|8ERES|aMLV
12	36422 31221	   	288.99	ACR|DCR|2TLV|2DMG|1VULN|1MLV	19RCR|24TLV|34DMG|4BPWR|5CGEN|6VULN|7LEGI|8ERES|aMLV
13	13522 63124	 * 	288.07	DCR|DCR|2VULN|1TLV|1ASPD	1LHND|2AME|3TLV|4ERES|5aVULN|69RCR|7ASPD|8DMSP
