0	Index      	 *	Score 	Summary	Detail	
1	31163 32514	 * 	304.23	DCR|3VULN|3MLV|1TLV|3RAT	179VULN|2LWND|379MLV|4TLV|58FEWX|679RAT|79BPWR|aRCR
2	53374 26441	 * 	301.64	ACR|DCR|2VULN|1TLV|1DMG|1AAC|1ASPD|1CDMG	1AAC|2MBVNT|3DMG|4ASPD|56RCR|7aVULN|8CDMG|9TLV
3	53451 14137	 * 	301.43	DCR|DCR|2MLV|1VULN|1AAC	1AAC|2MBVNT|3VENICY|4aMLV|5VULN|6AART|79RCR|8DUR
4	35111 52631	   	297.83	DCR|DCR|2MLV|1VULN|1ASPD|1CDMG	1VULN|25DUST|35MLV|4TBNT|5BPWR|6ASPD|7LHND|8aRCR|9CDMG
5	35111 33266	   	292.38	DCR|DCR|2MLV|1VULN|1ASPD	1VULN|256DUST|35MLV|4TBNT|5BPWR|7DUR|8ASPD|9aRCR
6	53451 14132	   	291.87	DCR|DCR|1VULN|1MLV|1AAC|1ASPD	1AAC|2MBVNT|3VENICY|4MLV|5VULN|6AART|79RCR|8DUR|aASPD
7	53347 18222	 * 	290.28	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1AAC|1ASPD	1AAC|2MBVNT|3DMG|4ERES|59RCR|6MLV|7VULN|8ASPD|aTLV
8	53451 14134	   	289.27	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	1AAC|2MBVNT|3VENICY|4MLV|5VULN|6AART|79RCR|8DUR|aCDMG
9	53436 71222	 * 	287.46	DCR|DCR|3AAC|1VULN|2ASPD	168AAC|2MBVNT|35VENICY|45ASPD|5BPWR|7VULN|9aRCR
10	31523 15431	 * 	284.71	DCR|2VULN|3DMG|2TLV|1AAC|1ASPD	1aVULN|2LWND|36aDMG|4ASPD|5FEWX|7RCR|8AAC|9aTLV|aBPWR
11	31522 15431	   	284.61	DCR|2VULN|3DMG|2TLV|1AAC|1ASPD	1aVULN|2LWND|36aDMG|4ASPD|5DUST|7RCR|8AAC|9aTLV|aBPWR
12	53451 14432	   	283.47	DCR|DCR|1VULN|1MLV|1AAC|1ASPD	1AAC|2MBVNT|3VENICY|4MLV|5VULN|6AART|79RCR|8BEXP|aASPD
13	53451 14138	   	282.56	DCR|DCR|1VULN|1MLV|1AAC	1AAC|2MBVNT|3VENICY|4MLV|5VULN|6AART|79RCR|8DUR|aRAT
14	53451 14434	   	280.87	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	1AAC|2MBVNT|3VENICY|4MLV|5VULN|6AART|79RCR|8BEXP|aCDMG
