0	Index      	 *	Score 	Summary	Detail	
1	32263 42311	 * 	302.34	DCR|DCR|2VULN|2MLV	1DUR|2BEXP|35MLV|47VULN|6aRCR|8ERES|9LIT
2	13262 42211	 * 	298.97	DCR|DCR|3VULN|1MLV	15LHND|2DUR|3MLV|457VULN|5BPWR|6aRCR|8CGEN|9LIT
3	32262 42311	   	298.67	DCR|DCR|3VULN|1MLV	1DUR|2BEXP|3MLV|457VULN|6aRCR|8ERES|9LIT
4	13262 42631	 * 	288.20	DCR|4VULN|2MLV|1TLV	158LHND|2DUR|38MLV|4578VULN|58BPWR|6RCR|9TLV|aDMSP
5	46432 32122	 * 	288.13	DCR|3VULN|2TLV|2ASPD|1MLV	1AART|278VULN|3RPLT|47TLV|57ASPD|6RCVC|7BPWR|9MLV|aRCR
6	13262 42632	   	288.10	DCR|4VULN|2MLV|1TLV	158LHND|2DUR|38MLV|4578VULN|58BPWR|6RCR|9TLV|aSNIFST
7	13262 42633	   	288.10	DCR|4VULN|2MLV|1TLV	158LHND|2DUR|38MLV|4578VULN|58BPWR|6RCR|9TLV|aMBVNT
8	33232 41262	 * 	277.04	DCR|DCR|1TLV|1MLV|1DMG|2DUR	12DUR|3RMIN|4RPLT|5MLV|6aRCR|7TLV|8DMG|9ERES
9	33233 42262	   	277.04	DCR|DCR|1TLV|1MLV|1DMG|2DUR	12DUR|3RMIN|4RPLT|5TLV|6aRCR|7MLV|8DMG|9ERES
10	13263 42211	   	276.73	DCR|DCR|2VULN|1MLV	15LHND|2DUR|3MLV|47VULN|6aRCR|8CGEN|9LIT
11	32261 42311	   	276.43	DCR|DCR|2VULN|1MLV	1DUR|25BEXP|3MLV|47VULN|6aRCR|8ERES|9LIT
12	63242 42311	   	276.43	DCR|DCR|2VULN|1MLV	14DUST|2DUR|3MLV|57VULN|6aRCR|8ERES|9LIT
13	13262 42611	   	276.17	DCR|4VULN|2MLV|1DMG	158LHND|2DUR|38MLV|4578VULN|58BPWR|6RCR|9DMG|aDMSP
14	13262 42612	   	276.07	DCR|4VULN|2MLV|1DMG	158LHND|2DUR|38MLV|4578VULN|58BPWR|6RCR|9DMG|aBASICY
15	13262 42613	   	276.07	DCR|4VULN|2MLV|1DMG	158LHND|2DUR|38MLV|4578VULN|58BPWR|6RCR|9DMG|aMBVNT
16	46432 22122	   	273.76	DCR|3VULN|1TLV|2ASPD|1MLV	1AART|278VULN|3RPLT|4TLV|57ASPD|67AEBURN|7BPWR|9MLV|aRCR
17	46432 32222	   	272.54	DCR|2VULN|2TLV|2ASPD|1MLV|2AART	18AART|27VULN|3RPLT|47TLV|57ASPD|6RCVC|7BPWR|9MLV|aRCR
