0	Index      	 *	Score 	Summary	Detail	
1	41231 24316	 * 	277.24	橙橙1易伤1伤害1矿等1暴击	1时间2金币生成3易伤4伤害5暴击6矿等7额外掉落8敌人爆炸9a核
2	32231 56612	 * 	275.11	橙橙2伤害1易伤2暴击	1掉矿26挖尘3易伤48伤害56暴击6序列升级79核a基地爆炸
3	32231 56613	   	275.11	橙橙2伤害1易伤2暴击	1掉矿26挖尘3易伤48伤害56暴击6序列升级79核a随机矿
4	32231 56611	   	275.01	橙橙2伤害1易伤2暴击	1a掉矿26挖尘3易伤48伤害56暴击6序列升级79核
5	41231 11266	   	273.36	橙橙1易伤1伤害1攻速1暴击	1时间2金币生成3易伤4伤害5暴击6攻速7雷电8a核9低血量敌人
6	41231 11226	   	273.26	橙橙1易伤1伤害1攻速1暴击	1时间2金币生成3易伤4伤害5暴击6攻速7雷电8a核9挖尘
7	45231 11226	   	273.16	橙橙1易伤1伤害1攻速1暴击	1时间2掉矿3易伤4伤害5暴击6攻速7雷电8a核9挖尘
8	31231 11266	   	264.96	橙橙1易伤1伤害1攻速1暴击	1掉矿2敌人爆炸3易伤4伤害5暴击6攻速7雷电8a核9低血量敌人
9	31231 11466	   	264.96	橙橙1易伤1伤害1攻速1暴击	1掉矿2敌人爆炸3易伤4伤害5暴击6攻速7雷电8低血量敌人9a核
10	31231 15266	   	264.96	橙橙1易伤1伤害1攻速1暴击	1掉矿2敌人爆炸3易伤4伤害5暴击6攻速7最后敌人8雷电9a核
11	32231 11266	   	264.86	橙橙1易伤1伤害1攻速1暴击	1掉矿2挖尘3易伤4伤害5暴击6攻速7雷电8a核9低血量敌人
12	32231 11466	   	264.86	橙橙1易伤1伤害1攻速1暴击	1掉矿2挖尘3易伤4伤害5暴击6攻速7雷电8低血量敌人9a核
13	32231 15266	   	264.86	橙橙1易伤1伤害1攻速1暴击	1掉矿2挖尘3易伤4伤害5暴击6攻速7最后敌人8雷电9a核
14	31622 66312	 * 	263.86	橙橙2易伤1伤害	1掉矿2敌人爆炸3基地爆炸4赏金邻近5a易伤68核7金币生成9伤害
15	42143 22116	   	259.85	橙橙1易伤2时间1攻速1暴击	13时间2最后敌人4额外掉落5敌人爆炸6攻速7暴击8易伤9a核
16	51513 22116	   	259.71	橙橙1易伤1伤害1暴击	1伤害2敌人爆炸34低血量敌人5额外掉落6暴击7时间8易伤9a核
17	56233 31353	   	258.76	橙橙2伤害1攻速1暴击	14伤害2散射对喷气3攻速5随机矿6时间7a核8暴击9基地爆炸
18	56233 31313	   	258.66	橙橙2伤害1攻速1暴击	14伤害2散射对喷气3攻速5随机矿6时间7a核8暴击9挖尘
19	61513 22116	   	253.30	橙橙1易伤1攻速1暴击	1攻速2敌人爆炸34低血量敌人5额外掉落6暴击7时间8易伤9a核
20	42224 22116	   	253.20	橙橙1易伤1攻速1暴击	1时间2最后敌人3挖尘4立即金币5额外掉落6攻速7暴击8易伤9a核
21	51261 13132	   	251.41	橙橙1易伤1伤害1暴击	1伤害25敌人爆炸3易伤4雷电6暴击7立即金币89核a金币生成
22	51261 13133	   	251.41	橙橙1易伤1伤害1暴击	1伤害25敌人爆炸3易伤4雷电6暴击7立即金币89核a赏金邻近
23	51261 13135	   	251.41	橙橙1易伤1伤害1暴击	1伤害25敌人爆炸3易伤4雷电6暴击7立即金币89核a最后敌人
24	51261 13131	   	251.31	橙橙1易伤1伤害1暴击	1伤害25敌人爆炸3易伤4雷电6暴击7立即金币89核a掉矿
25	51261 13134	   	251.31	橙橙1易伤1伤害1暴击	1伤害25敌人爆炸3易伤4雷电6暴击7立即金币89核a挖青
26	56133 61122	 * 	248.48	橙3易伤2伤害2矿等	1a伤害2散射对喷气35a易伤4掉矿6金币生成7核8赏金塔9a矿等a序列升级
27	56133 61322	   	248.48	橙3易伤2伤害2矿等	1a伤害2散射对喷气35a易伤4掉矿6金币生成7核8赏金邻近9a矿等a序列升级
28	56133 11122	   	248.38	橙3易伤2伤害2矿等	1a伤害2散射对喷气35a易伤4掉矿6技能点7核8赏金塔9a矿等a序列升级
29	56133 11322	   	248.38	橙3易伤2伤害2矿等	1a伤害2散射对喷气35a易伤4掉矿6技能点7核8赏金邻近9a矿等a序列升级
30	53413 52123	 * 	248.34	紫橙1易伤1伤害1矿等1攻速	1伤害2赏金塔3攻速4低血量敌人5a核6时间7易伤8矿等9技能
