0	Index      	Bounty	 *	Score 	Summary	Detail	
1	53433 22511	1	 * 	272.41	DCR|3VULN|2DMG|3LIT|1DUR|1CDMG	19aLIT|259VULN|3CDMG|4DUR|69DMG|7TBNT|8RCR|9BPWR
2	54321 31153	3	 * 	270.81	DCR|3VULN|2DUR|2CDMG|1DMG|2LIT	18LIT|24aVULN|38DUR|5DMG|6ZMB|78CDMG|8BPWR|9RCR
3	54321 31153	4	   	270.81	DCR|3VULN|2DUR|2CDMG|1DMG|2LIT	18LIT|24aVULN|38DUR|5DMG|6ZMB|78CDMG|8BPWR|9RCR
4	53433 22512	1	   	267.41	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	19LIT|259VULN|3CDMG|4DUR|69DMG|7TBNT|8RCR|9BPWR|aRMIN
5	53433 22513	1	   	267.41	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	19LIT|259VULN|3CDMG|4DUR|69DMG|7TBNT|8RCR|9BPWR|aRPLT
6	53433 11114	1	 * 	266.79	DCR|2VULN|3DUR|2CDMG|1DMG|2LIT|1AART	18LIT|25VULN|38CDMG|468DUR|7RCR|8BPWR|9DMG|aAART
7	31362 62611	1	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1MLV|2DMG|349VULN|5CDMG|68DUR|7TLV|aRCR
8	53411 13151	1	   	264.57	DCR|2VULN|2DUR|2CDMG|1DMG|2LIT|1ASPD|1AART	18LIT|27VULN|38CDMG|4ASPD|5DMG|68DUR|8BPWR|9RCR|aAART
9	53161 31253	1	   	264.40	DCR|3VULN|2DUR|1DMG|2LIT|1CDMG	13LIT|23aVULN|3BPWR|48DUR|5DMG|6ZMB|7CDMG|9RCR
10	53143 11322	1	 * 	263.82	DCR|4VULN|3LIT|1DMG|1DUR	136LIT|2358VULN|3BPWR|4DMG|7DUR|9CGEN|aRCR
11	53143 26122	1	   	263.82	DCR|4VULN|3LIT|1DMG|1DUR	139LIT|2357VULN|3BPWR|4DMG|6DUR|8LHND|aRCR
12	54143 11322	2	   	263.82	DCR|4VULN|3LIT|1DMG|1DUR	136LIT|2358VULN|3BPWR|4DMG|7DUR|9CGEN|aRCR
13	53411 13152	1	 * 	260.95	DCR|2VULN|2DUR|3CDMG|1DMG|2LIT|1ASPD	18LIT|27VULN|38aCDMG|4ASPD|5DMG|68DUR|8BPWR|9RCR
14	53433 21135	1	   	260.76	DCR|3VULN|2DMG|1DUR|1CDMG	1LIT|258VULN|3CDMG|4DUR|6aDMG|7LHND|9RCR
15	53433 23335	1	   	260.76	DCR|3VULN|2DMG|1DUR|1CDMG	1LIT|257VULN|3CDMG|4DUR|6aDMG|8LWND|9RCR
16	53125 33623	1	   	260.59	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	13LIT|237VULN|3BPWR|4CGEN|5CDMG|6RCR|89DUR|aTLV
17	31351 43513	1	 * 	260.25	DCR|4VULN|2DMG|2LIT	18MLV|29DMG|378aVULN|4RPLT|58LIT|6RCR|8BPWR
18	51212 43513	4	   	260.25	DCR|4VULN|2DMG|2LIT	18LIT|2RPLT|39DMG|478aVULN|58CGEN|6RCR|8BPWR
19	21351 43513	1	   	260.05	DCR|4VULN|2DMG|2LIT	18ERES|29DMG|378aVULN|4RPLT|58LIT|6RCR|8BPWR
20	31365 32241	1	 * 	258.34	DCR|4VULN|2DUR|1DMG	1MLV|2DMG|345aVULN|68DUR|7ERES|9RCR
21	53141 32623	1	 * 	258.17	DCR|3VULN|3DMG|3LIT	138LIT|239VULN|389BPWR|489DMG|5RPLT|689ERES|7MBVNT|aRCR
22	54321 31253	4	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|24aVULN|38DUR|5DMG|6ZMB|7CDMG|9RCR
23	54321 31253	3	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|24aVULN|38DUR|5DMG|6ZMB|7CDMG|9RCR
24	53433 22134	1	   	257.65	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|258VULN|3CDMG|4aDUR|6DMG|7TBNT|9RCR
25	53433 23234	1	   	257.65	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|257VULN|3CDMG|4aDUR|6DMG|8TBNT|9RCR
26	53163 11122	1	 * 	257.42	DCR|3VULN|3LIT|2CDMG|1TLV|1DUR	138LIT|238VULN|38BPWR|4DUR|5RMIN|6TLV|78CDMG|9TBNT|aRCR
27	54163 11122	2	   	257.42	DCR|3VULN|3LIT|2CDMG|1TLV|1DUR	138LIT|238VULN|38BPWR|4DUR|5RMIN|6TLV|78CDMG|9TBNT|aRCR
28	53433 11111	1	   	257.13	DCR|2VULN|3DUR|2CDMG|1DMG|2LIT	18LIT|25VULN|38CDMG|468DUR|7RCR|8BPWR|9DMG|aZMB
29	53433 11113	1	   	257.13	DCR|2VULN|3DUR|1DMG|2CDMG|2LIT	18LIT|25VULN|38CDMG|468DUR|7RCR|8BPWR|9DMG|aMLV
