0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31514 51311	2	 * 	283.88	ACR|3VULN|3DMG|3DUR|3LIT|1CDMG	138LIT|28aVULN|4RCR|5CDMG|69aDMG|78aDUR|8aBPWR
2	33522 53312	3	 * 	282.94	DCR|3VULN|3DUR|3LIT|1DMG|1CDMG	178LIT|2CDMG|378DUR|4LWND|5DMG|678VULN|78BPWR|9RMIN|aRCR
3	33522 53312	4	   	282.94	DCR|3VULN|3DUR|3LIT|1DMG|1CDMG	178LIT|2CDMG|378DUR|4LWND|5DMG|678VULN|78BPWR|9RMIN|aRCR
4	33522 53322	3	   	282.94	DCR|3VULN|3DUR|3LIT|1DMG|1CDMG	178LIT|2CDMG|378DUR|4LWND|5DMG|678VULN|78BPWR|9MLV|aRCR
5	33522 53322	4	   	282.94	DCR|3VULN|3DUR|3LIT|1DMG|1CDMG	178LIT|2CDMG|378DUR|4LWND|5DMG|678VULN|78BPWR|9MLV|aRCR
6	33522 53362	3	   	282.94	DCR|3VULN|3DUR|3LIT|1DMG|1CDMG	178LIT|2CDMG|378DUR|4LWND|5DMG|678VULN|78BPWR|9CGEN|aRCR
7	33522 53362	4	   	282.94	DCR|3VULN|3DUR|3LIT|1DMG|1CDMG	178LIT|2CDMG|378DUR|4LWND|5DMG|678VULN|78BPWR|9CGEN|aRCR
8	33532 53312	3	   	282.94	DCR|3VULN|3DUR|3LIT|1DMG|1CDMG	178LIT|2CDMG|378DUR|4LHND|5DMG|678VULN|78BPWR|9RMIN|aRCR
9	33532 53322	3	   	282.94	DCR|3VULN|3DUR|3LIT|1DMG|1CDMG	178LIT|2CDMG|378DUR|4LHND|5DMG|678VULN|78BPWR|9MLV|aRCR
10	52222 53312	2	   	282.94	DCR|3VULN|3DUR|3LIT|1DMG|1CDMG	178DUR|2CDMG|378LIT|4LWND|5DMG|678VULN|78BPWR|9RMIN|aRCR
11	52222 53322	2	   	282.94	DCR|3VULN|3DUR|3LIT|1DMG|1CDMG	178DUR|2CDMG|378LIT|4LWND|5DMG|678VULN|78BPWR|9MLV|aRCR
12	52222 53362	2	   	282.94	DCR|3VULN|3DUR|3LIT|1DMG|1CDMG	178DUR|2CDMG|378LIT|4LWND|5DMG|678VULN|78BPWR|9CGEN|aRCR
13	52232 53312	2	   	282.94	DCR|3VULN|3DUR|3LIT|1DMG|1CDMG	178DUR|2CDMG|378LIT|4LHND|5DMG|678VULN|78BPWR|9RMIN|aRCR
14	52232 53322	2	   	282.94	DCR|3VULN|3DUR|3LIT|1DMG|1CDMG	178DUR|2CDMG|378LIT|4LHND|5DMG|678VULN|78BPWR|9MLV|aRCR
15	31522 51326	3	 * 	282.09	DCR|3VULN|2DMG|2DUR|2LIT|1CDMG	1aLIT|26aVULN|37DUR|4CDMG|5aDMG|8RCR|9RPLT|aBPWR
16	31432 52621	3	 * 	276.50	DCR|4VULN|2DMG|1TLV|2LIT	1aLIT|246aVULN|3TLV|58DMG|7RCR|9aZMB|aBPWR
17	33554 23331	8	 * 	275.82	DCR|3VULN|2DUR|3LIT|2CDMG|1DMG	189LIT|26CDMG|39DUR|459VULN|7RCR|9BPWR|aDMG
18	31122 56326	2	   	273.90	DCR|4VULN|2DMG|2LIT|1CDMG	1aLIT|267aVULN|3LHND|4CDMG|5aDMG|8RCR|9RPLT|aBPWR
