0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32212 51551	3	 * 	298.51	DCR|5VULN|3ASPD|2DUR	13456VULN|245ASPD|45BPWR|78DUR|9AART|aRCR
2	34513 14321	10	 * 	292.01	DCR|4VULN|3DMG|3LIT|1ASPD	1578VULN|2DUST|378DMG|478LIT|6BELT|78BPWR|9RCR|aASPD
3	31213 34513	3	   	291.44	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	1349VULN|24DMG|4BPWR|5DUR|6TLV|7MLV|8RCR|aCDMG
4	31213 34536	3	   	291.44	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	134aVULN|24DMG|4BPWR|5DUR|6TLV|7MLV|8RCR|9CDMG
5	35214 13423	10	 * 	291.20	DCR|5VULN|3DUR|2TLV	1248aVULN|28aBPWR|368DUR|58aERES|7RCR|9aTLV
6	36214 13423	10	   	291.20	DCR|5VULN|3DUR|2TLV	1248aVULN|368DUR|58aERES|7RCR|8aBPWR|9aTLV
7	31115 11613	9	 * 	291.16	DCR|4VULN|2DMG|2ASPD|1DUR	189aVULN|29DMG|3DUR|4LIT|59ASPD|6RCR|7BELT|9BPWR
8	35331 33366	3	 * 	289.14	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	128VULN|28BPWR|3TLV|48DUR|5BEXP|6LIT|78DMG|9ASPD|aRCR
9	36331 33366	3	   	289.14	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	128VULN|3TLV|48DUR|5BEXP|6LIT|78DMG|8BPWR|9ASPD|aRCR
10	32212 64213	3	   	288.85	DCR|5VULN|3ASPD|2DUR	13458VULN|245ASPD|458BPWR|68DUR|78ERES|9CGEN|aRCR
11	31242 11113	4	 * 	287.23	DCR|4VULN|2DMG|2DUR|1ASPD	137aVULN|27DMG|4ASPD|5LHND|67DUR|7BPWR|8FEWX|9RCR
12	31243 11113	5	   	287.23	DCR|4VULN|2DMG|2DUR|1ASPD	137aVULN|27DMG|4ASPD|5LHND|67DUR|7BPWR|8FEWX|9RCR
13	31246 11316	4	   	287.23	DCR|4VULN|2DMG|2DUR|1ASPD	137aVULN|27DMG|4ASPD|5BEXP|67DUR|7BPWR|8FEWX|9RCR
14	31246 11316	5	   	287.23	DCR|4VULN|2DMG|2DUR|1ASPD	137aVULN|27DMG|4ASPD|5FEWX|67DUR|7BPWR|8BEXP|9RCR
15	31246 11613	5	   	287.23	DCR|4VULN|2DMG|2DUR|1ASPD	137aVULN|27DMG|4ASPD|5FEWX|67DUR|7BPWR|8LHND|9RCR
16	31246 11613	4	   	287.23	DCR|4VULN|2DMG|2DUR|1ASPD	137aVULN|27DMG|4ASPD|5BEXP|67DUR|7BPWR|8LHND|9RCR
17	31164 24212	10	 * 	286.77	DCR|3VULN|3DUR|2DMG|3LIT	17aVULN|2aDMG|357DUR|4RPLT|678LIT|7aBPWR|9RCR
18	32212 34224	3	 * 	286.38	DCR|5VULN|3ASPD|1DMG	13457VULN|245ASPD|45BPWR|6LIT|8RPLT|9DMG|aRCR
19	31211 32316	3	 * 	285.94	DCR|5VULN|2DMG|2ASPD	1346aVULN|24DMG|4BPWR|58ASPD|7BBNT|9RCR
20	31321 41361	1	   	285.56	DCR|4VULN|3DMG|2LIT	135aVULN|2aLIT|4RMIN|69aDMG|7RCR|8AART|aBPWR
21	35121 41361	3	   	285.56	DCR|4VULN|3DMG|2LIT	125aVULN|2aBPWR|3aLIT|4RMIN|69aDMG|7RCR|8AART
22	36121 41361	3	   	285.56	DCR|4VULN|3DMG|2LIT	125aVULN|3aLIT|4RMIN|69aDMG|7RCR|8AART|aBPWR
23	31115 11614	10	   	284.77	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	189VULN|29DMG|3DUR|4LIT|59ASPD|6RCR|7BELT|9BPWR|aTLV
24	31212 21364	3	   	284.43	DCR|4VULN|2DMG|2DUR	1346VULN|24DMG|4BPWR|5BEXP|78DUR|9LIT|aRCR
25	31115 11613	10	 * 	284.17	DCR|3VULN|3DMG|2ASPD|1DUR	189VULN|29aDMG|3DUR|4LIT|59ASPD|6RCR|7BELT|9BPWR
26	31342 43432	10	 * 	283.02	DCR|3VULN|3DMG|2TLV|1CDMG|1ASPD	168VULN|278DMG|3CGEN|4CDMG|58TLV|8BPWR|9ASPD|aRCR
27	31153 15744	10	 * 	283.00	DCR|3VULN|2DMG|2DUR|2ASPD	17aVULN|27DMG|3aDUR|4MBVNT|5LIT|67DUST|7aBPWR|8aASPD|9RCR
28	32231 11316	3	   	282.85	DCR|4VULN|2DMG|2ASPD|1DUR	137aVULN|27ASPD|4DUR|5BEXP|67DMG|7BPWR|8FEWX|9RCR
29	32231 11613	3	   	282.85	DCR|4VULN|2DMG|2ASPD|1DUR	137aVULN|27ASPD|4DUR|5BEXP|67DMG|7BPWR|8LHND|9RCR
30	32235 11316	3	   	282.75	DCR|4VULN|2DMG|2ASPD|1DUR	137aVULN|27ASPD|4DUR|5DUST|67DMG|7BPWR|8FEWX|9RCR
31	32235 11613	3	   	282.75	DCR|4VULN|2DMG|2ASPD|1DUR	137aVULN|27ASPD|4DUR|5DUST|67DMG|7BPWR|8LHND|9RCR
32	31211 32313	3	   	282.65	DCR|4VULN|2DMG|2ASPD|1DUR	1346VULN|24DMG|4BPWR|58ASPD|7BBNT|9RCR|aDUR
33	25211 61253	7	 * 	282.46	DCR|3VULN|3DMG|3DUR	1LEGI|238DUR|48aVULN|5RMIN|6RCR|78aDMG|8aBPWR|9BELT
34	25211 61523	9	   	282.46	DCR|3VULN|3DMG|3DUR	1LEGI|239DUR|49aVULN|5RMIN|6RCR|79aDMG|8BELT|9aBPWR
35	31252 13311	3	 * 	281.50	DCR|4VULN|2DMG|2CDMG|1TLV	138aVULN|2aDMG|4BBNT|5TLV|6FEWX|7RCR|9aCDMG|aBPWR
36	31252 51311	3	   	281.50	DCR|4VULN|2DMG|2CDMG|1TLV	138aVULN|2aDMG|4BBNT|5TLV|6RCR|7LHND|9aCDMG|aBPWR
37	31252 52311	3	   	281.50	DCR|4VULN|2DMG|2CDMG|1TLV	138aVULN|2aDMG|4BBNT|5TLV|6RCR|7BEXP|9aCDMG|aBPWR
38	31212 34516	3	   	281.08	DCR|5VULN|2DMG|1TLV	1349aVULN|24DMG|4BPWR|5BEXP|6TLV|7MLV|8RCR
39	34513 14321	9	   	281.01	DCR|4VULN|3DMG|3LIT	1578VULN|2DUST|378DMG|478LIT|6BELT|78BPWR|9RCR|aRCVC
40	34513 14322	10	   	281.01	DCR|4VULN|3DMG|3LIT	1578VULN|2DUST|378DMG|478LIT|6BELT|78BPWR|9RCR|aCGEN
41	34513 14323	10	   	281.01	DCR|4VULN|3DMG|3LIT	1578VULN|2DUST|378DMG|478LIT|6BELT|78BPWR|9RCR|aRPLT
42	34513 14322	8	   	281.01	DCR|4VULN|3DMG|3LIT	1578VULN|2DUST|378DMG|478LIT|6BELT|78BPWR|9MLV|aRCR
43	31234 23426	10	   	280.98	DCR|5VULN|2DMG|1DUR	13689VULN|28DMG|4RMIN|58ERES|7RCR|8BPWR|aDUR
44	31256 23323	10	   	280.98	DCR|5VULN|2DMG|1TLV	13569VULN|28DMG|4LHND|7RCR|aTLV
