0	Index      	Bounty	 *	Score 	Summary	Detail	
1	53126 42233	9	 * 	284.46	DCR|3VULN|2DMG|2DUR|2ASPD|1AART	1aDUR|249VULN|3RCVC|5AART|6aASPD|7aDMG|8RCR|aBPWR
2	53226 22243	4	 * 	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	19aDUR|25aVULN|3BEXP|4CDMG|6aDMG|7TBNT|8RCR|aBPWR
3	53226 22263	4	 * 	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	1aDUR|25aVULN|3BEXP|49CDMG|6aDMG|7TBNT|8RCR|aBPWR
4	53126 42223	9	 * 	273.20	DCR|2VULN|3DMG|2DUR|2ASPD|1AART	1aDUR|24VULN|3RCVC|5AART|6aASPD|79aDMG|8RCR|aBPWR
5	33131 43265	5	 * 	271.14	DCR|5VULN|3DUR	1LEGI|2679aVULN|3RCVC|479DUST|579DUR|79BPWR|8RCR
6	33131 53265	6	   	271.14	DCR|5VULN|3DUR	1LEGI|2679aVULN|3RCVC|479DUST|579DUR|79BPWR|8RCR
7	53362 31211	5	   	270.10	DCR|3VULN|2DMG|1DUR|1TLV|2LIT	1DUR|28aVULN|3LHND|4LWND|5aDMG|6TLV|7aLIT|9RCR|aBPWR
8	53432 31211	5	   	270.00	DCR|3VULN|2DMG|1DUR|1TLV|2LIT	1DUR|28aVULN|3DUST|4LWND|5aDMG|6TLV|7aLIT|9RCR|aBPWR
9	53224 42213	6	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	1aDUR|26aVULN|39BEXP|4CDMG|5aDMG|7TBNT|8RCR|aBPWR
10	53226 22213	4	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	1aDUR|25aVULN|39BEXP|4CDMG|6aDMG|7TBNT|8RCR|aBPWR
11	33432 31211	5	   	266.90	DCR|3VULN|2DUR|1DMG|1TLV|2LIT	1LEGI|28aVULN|3DUST|4aDUR|5DMG|6TLV|7aLIT|9RCR|aBPWR
12	53214 41133	10	   	266.81	DCR|3VULN|3DUR|2DMG	189DUR|29aVULN|3BEXP|4DMSP|5LHND|69DMG|7RCR|9BPWR
13	53231 41133	10	   	266.81	DCR|3VULN|3DUR|2DMG	189DUR|29aVULN|35BEXP|4LWND|69DMG|7RCR|9BPWR
14	53321 41133	10	   	266.81	DCR|3VULN|3DUR|2DMG	189DUR|29aVULN|3LHND|45BEXP|69DMG|7RCR|9BPWR
15	33221 41133	10	   	266.71	DCR|3VULN|3DUR|2DMG	1LEGI|29aVULN|34BEXP|589DUR|69DMG|7RCR|9BPWR
16	53123 22443	4	   	266.71	DCR|3VULN|3DUR|2DMG	19aDUR|24aVULN|3RCVC|5RPLT|6aDMG|7TBNT|8RCR|aBPWR
17	53253 43231	2	   	266.66	DCR|4VULN|3DUR|2LIT	17aDUR|236aVULN|47LWND|57DUST|7aBPWR|8RCR|9aLIT
18	56122 11231	10	 * 	266.62	DCR|3VULN|3DUR|2ASPD|1TLV	12aDUR|3LHND|49aVULN|5TLV|6LWND|7RCR|8aASPD|aBPWR
19	56322 11231	10	   	266.62	DCR|3VULN|3DUR|2ASPD|1TLV	12aDUR|3TLV|49aVULN|5BEXP|6LWND|7RCR|8aASPD|aBPWR
20	56322 61231	10	   	266.62	DCR|3VULN|3DUR|2ASPD|1TLV	12aDUR|3TLV|49aVULN|5BEXP|6LHND|7RCR|8aASPD|aBPWR
21	33131 41133	10	   	266.61	DCR|3VULN|3DUR|2DMG	1LEGI|29aVULN|3RCVC|4DUST|589DUR|69DMG|7RCR|9BPWR
22	53432 61133	10	   	266.61	DCR|3VULN|3DUR|2DMG	189DUR|29aVULN|36DUST|4LWND|59DMG|7RCR|9BPWR
23	33131 43231	5	   	266.56	DCR|4VULN|3DUR|2LIT	1LEGI|267aVULN|3RCVC|47DUST|57aDUR|7aBPWR|8RCR|9aLIT
24	33131 53231	6	   	266.56	DCR|4VULN|3DUR|2LIT	1LEGI|267aVULN|3RCVC|47DUST|57aDUR|7aBPWR|8RCR|9aLIT
25	56324 11231	10	   	266.52	DCR|3VULN|3DUR|2ASPD|1TLV	12aDUR|3TLV|49aVULN|5DUST|6LWND|7RCR|8aASPD|aBPWR
26	56326 31231	10	   	266.52	DCR|3VULN|3DUR|2ASPD|1TLV	12aDUR|3TLV|49aVULN|5LWND|6DUST|7RCR|8aASPD|aBPWR
27	56122 41231	10	   	266.52	DCR|3VULN|3DUR|2ASPD|1TLV	12aDUR|3LHND|49aVULN|5TLV|6DUST|7RCR|8aASPD|aBPWR
28	33432 61133	10	   	266.51	DCR|3VULN|3DUR|2DMG	1LEGI|29aVULN|36DUST|489DUR|59DMG|7RCR|9BPWR
29	52122 51251	8	   	265.53	DCR|4VULN|2DUR|1TLV|1ASPD	13DUR|2ERES|458aVULN|6TLV|7ASPD|9RCR
