0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51611 13251	1	 * 	266.58	DCR|3VULN|3DMG|2DUR	1RPLT|28aVULN|3BELT|4LIT|56aDMG|7aDUR|9RCR|aBPWR
2	13225 43316	1	 * 	259.22	DCR|5VULN|2DUR|2LIT	17LHND|2LEGI|35DUR|45789VULN|57BPWR|67LIT|aRCR
3	12225 36313	1	 * 	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1LHND|2467VULN|3DUR|5BBNT|8RCR|9TLV|aDMG
4	12234 36313	1	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1LHND|2567VULN|3DUR|4BBNT|8RCR|9TLV|aDMG
5	42235 36313	1	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1BEXP|2467VULN|3DUR|5BBNT|8RCR|9TLV|aDMG
6	62235 36313	1	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1FEWX|2467VULN|3DUR|5BBNT|8RCR|9TLV|aDMG
7	53131 33141	9	 * 	255.73	DCR|3VULN|2DMG|2TLV|1AART	1RPLT|29FEWX|358VULN|49TLV|69DMG|7AART|9BPWR|aRCR
8	62131 33141	9	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19FEWX|2RPLT|358VULN|49TLV|69DMG|7AART|9BPWR|aRCR
9	11241 24631	10	 * 	254.28	DCR|3VULN|2DMG|3TLV	19LHND|2LIT|357TLV|49aVULN|69DMG|8RCR|9BPWR
10	11241 45331	10	   	254.28	DCR|3VULN|2DMG|3TLV	19LHND|2LIT|357TLV|49aVULN|6RCR|89DMG|9BPWR
11	13225 43326	1	 * 	254.10	DCR|4VULN|3DUR|2LIT	17LHND|2LEGI|359DUR|4578VULN|57BPWR|67LIT|aRCR
12	41243 41323	6	   	254.05	DCR|4VULN|1TLV|1DUR	1BEXP|2LIT|3TLV|457aVULN|6RCR|8ASPD|9DUR
13	16633 32234	7	 * 	253.32	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	13LHND|235DUR|3BPWR|4CDMG|6DMG|79VULN|8RCR|aTLV
14	16533 32234	7	   	253.22	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	1LHND|235DUR|4CDMG|6DMG|79VULN|8RCR|aTLV
15	11241 41163	6	   	252.84	DCR|3VULN|2TLV|1DMG|1DUR	1LHND|2LIT|35TLV|47aVULN|6RCR|8DUR|9DMG
16	12225 36311	1	 * 	251.92	DCR|4VULN|2DUR|1TLV	1LHND|2467VULN|3aDUR|5BBNT|8RCR|9TLV
17	12234 36311	1	   	251.92	DCR|4VULN|2DUR|1TLV	1LHND|2567VULN|3aDUR|4BBNT|8RCR|9TLV
18	42235 36311	1	   	251.92	DCR|4VULN|2DUR|1TLV	1BEXP|2467VULN|3aDUR|5BBNT|8RCR|9TLV
19	62235 36311	1	   	251.92	DCR|4VULN|2DUR|1TLV	1FEWX|2467VULN|3aDUR|5BBNT|8RCR|9TLV
20	16633 32232	7	 * 	251.81	DCR|3VULN|3DUR|1DMG|1CDMG	13LHND|235DUR|3BPWR|4CDMG|6DMG|79aVULN|8RCR
21	16633 36132	6	   	251.81	DCR|3VULN|3DUR|1DMG|1CDMG	13LHND|235DUR|3BPWR|4CDMG|6DMG|7RCR|89aVULN
22	16533 32232	7	   	251.71	DCR|3VULN|3DUR|1DMG|1CDMG	1LHND|235DUR|4CDMG|6DMG|79aVULN|8RCR
23	16533 36132	6	   	251.71	DCR|3VULN|3DUR|1DMG|1CDMG	1LHND|235DUR|4CDMG|6DMG|7RCR|89aVULN
24	34311 25113	8	 * 	251.24	DCR|3VULN|2DUR|1TLV|1DMG	139ZMB|2RMIN|39BPWR|4TLV|589VULN|6RCR|79DUR|aDMG
25	16225 36313	2	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1LHND|23DUR|467VULN|5BBNT|8RCR|9TLV|aDMG
26	42215 36313	1	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1BEXP|267VULN|34DUR|5BBNT|8RCR|9TLV|aDMG
27	62215 36313	1	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1FEWX|267VULN|34DUR|5BBNT|8RCR|9TLV|aDMG
28	53131 33151	9	   	250.91	DCR|4VULN|1TLV|1DMG|1AART	1RPLT|2FEWX|3589VULN|4TLV|6DMG|7AART|aRCR
29	62131 33151	9	   	250.91	DCR|4VULN|1TLV|1DMG|1AART	1FEWX|2RPLT|3589VULN|4TLV|6DMG|7AART|aRCR
30	11253 32443	9	   	249.56	DCR|4VULN|1TLV|1DMG	1LHND|2LIT|3TLV|4DMG|568aVULN|7BEXP|9RCR
31	12132 24252	9	 * 	249.09	DCR|4VULN|2DMG|1DUR	19LHND|2RPLT|3689VULN|4DUR|5BEXP|79DMG|9BPWR|aRCR
32	12132 26452	9	   	249.09	DCR|4VULN|2DMG|1DUR	19LHND|2RPLT|3679VULN|4DUR|5BEXP|89DMG|9BPWR|aRCR
33	12135 24252	9	   	249.09	DCR|4VULN|2DMG|1DUR	19LHND|2RPLT|3689VULN|4DUR|5LWND|79DMG|9BPWR|aRCR
34	42233 53213	1	   	248.99	DCR|4VULN|2DMG|1DUR	19BEXP|2479VULN|3DUR|5ERES|6RMIN|89DMG|9BPWR|aRCR
35	62233 53213	1	   	248.99	DCR|4VULN|2DMG|1DUR	19FEWX|2479VULN|3DUR|5ERES|6RMIN|89DMG|9BPWR|aRCR
36	11653 63313	4	 * 	248.35	DCR|5VULN|1DMG|2LIT	17LHND|27LIT|35789VULN|4MBVNT|6RCR|7BPWR|aDMG
37	43234 11125	2	 * 	248.27	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	1BEXP|2LWND|3aDUR|4aVULN|5DMG|6aTLV|7CDMG|8CGEN|9RCR|aBPWR
38	63234 11125	2	   	248.27	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	1FEWX|2LWND|3aDUR|4aVULN|5DMG|6aTLV|7CDMG|8CGEN|9RCR|aBPWR
39	63351 21225	6	   	248.27	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	1FEWX|2LWND|3aTLV|4aVULN|5CGEN|6aDUR|7CDMG|8DMG|9RCR|aBPWR
