0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32262 26234	2	 * 	297.62	DCR|5VULN|3DUR|3LIT|1DMG	147LIT|23479VULN|479BPWR|579DUR|6RCR|8TBNT|aDMG
2	31236 23156	7	 * 	295.22	DCR|4VULN|3TLV|2DUR|1DMG|2LIT	19LIT|249TLV|3456VULN|49BPWR|7DMG|89DUR|aRCR
3	32225 26622	2	 * 	293.96	DCR|4VULN|3DUR|1TLV|2LIT|1CDMG	17LIT|237aVULN|457DUR|6RCR|7BPWR|8TLV|9CDMG
4	23422 33361	10	 * 	292.79	DCR|4VULN|2DMG|2TLV|1DUR|1SELL	1SELL|267aVULN|3DUR|4AART|5aDMG|8aTLV|9RCR|aBPWR
5	31232 23664	8	 * 	291.58	DCR|4VULN|2DMG|2TLV|1DUR	1LIT|24TLV|348aVULN|4BPWR|5DUR|6RCR|79DMG
6	32262 26423	2	 * 	290.53	DCR|5VULN|2DUR|1TLV|3LIT	147LIT|2347aVULN|47BPWR|57DUR|6RCR|8FEWX|9TLV
7	32262 26533	2	   	290.53	DCR|5VULN|2DUR|1TLV|3LIT	147LIT|2347aVULN|47BPWR|57DUR|6RCR|8TLV|9BEXP
8	32262 26523	2	   	290.43	DCR|5VULN|2DUR|1TLV|3LIT	147LIT|2347aVULN|47BPWR|57DUR|6RCR|8TLV|9DUST
9	23422 63361	10	 * 	287.39	DCR|3VULN|3DMG|2TLV|1DUR|1SELL	1SELL|27aVULN|3DUR|4AART|56aDMG|8aTLV|9RCR|aBPWR
10	32262 26422	2	 * 	285.41	DCR|4VULN|3DUR|1TLV|3LIT	147LIT|2347VULN|47BPWR|57aDUR|6RCR|8FEWX|9TLV
11	32262 26532	2	   	285.41	DCR|4VULN|3DUR|1TLV|3LIT	147LIT|2347VULN|47BPWR|57aDUR|6RCR|8TLV|9BEXP
12	32262 26522	2	   	285.31	DCR|4VULN|3DUR|1TLV|3LIT	147LIT|2347VULN|47BPWR|57aDUR|6RCR|8TLV|9DUST
13	31232 23464	8	 * 	285.11	DCR|3VULN|2DMG|2TLV|2DUR	1LIT|24TLV|34aVULN|4BPWR|58DUR|6RCR|79DMG
14	32262 26633	2	   	284.39	DCR|5VULN|2DUR|3LIT|1DMG	147LIT|2347aVULN|47BPWR|57DUR|6RCR|8DMG|9BEXP
15	32262 26623	2	   	284.29	DCR|5VULN|2DUR|3LIT|1DMG	147LIT|2347aVULN|47BPWR|57DUR|6RCR|8DMG|9DUST
16	32236 64322	8	   	281.88	DCR|4VULN|2DMG|2TLV|2LIT	17LIT|247aVULN|34ERES|47BPWR|58TLV|67DMG|9RCR
17	32225 26621	2	 * 	280.99	DCR|3VULN|3DUR|2TLV|2LIT|1CDMG	17LIT|237VULN|457DUR|6RCR|7BPWR|8aTLV|9CDMG
18	31231 25523	7	 * 	280.17	DCR|4VULN|2TLV|2DUR|3LIT	158LIT|24TLV|3468VULN|48BPWR|78DUR|9TBNT|aRCR
19	31231 46523	5	   	280.17	DCR|4VULN|2TLV|2DUR|3LIT	158LIT|24TLV|3478VULN|48BPWR|68DUR|9TBNT|aRCR
20	31231 66523	6	   	280.17	DCR|4VULN|2TLV|2DUR|3LIT	158LIT|24TLV|3478VULN|48BPWR|68DUR|9TBNT|aRCR
21	31232 66523	5	   	280.17	DCR|4VULN|2TLV|2DUR|3LIT	168LIT|24TLV|3478VULN|48BPWR|58DUR|9TBNT|aRCR
22	32262 26632	2	   	279.27	DCR|4VULN|3DUR|3LIT|1DMG	147LIT|2347VULN|47BPWR|57aDUR|6RCR|8DMG|9BEXP
