0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31443 12243	9	 * 	289.67	DCR|5VULN|3DUR|3ASPD	19aASPD|2359aVULN|4BEXP|6LIT|7RCR|89aDUR|9aBPWR
2	31424 14122	8	 * 	280.90	DCR|4VULN|2DMG|1TLV|1CDMG	1ASPD|2359VULN|45DMG|5BPWR|6CDMG|7TLV|8CGEN|aRCR
3	15543 12462	4	 * 	279.69	DCR|3VULN|3DMG|3TLV|1AART	19aTLV|2MBVNT|39aVULN|4ASPD|5AART|6CGEN|79aDMG|8RCR|9aBPWR
4	15541 22462	5	   	279.59	DCR|3VULN|3DMG|3TLV|1AART	19aTLV|2MBVNT|39aVULN|4ASPD|5ERES|6AART|79aDMG|8RCR|9aBPWR
5	31424 43131	6	   	278.10	DCR|3VULN|3DMG|1TLV|1DUR	1ASPD|235VULN|45aDMG|5BPWR|6RCVC|7RCR|8DUR|9TLV
6	11441 11121	10	   	277.40	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	1TLV|23aVULN|4BEXP|5ASPD|6aDMG|7DUR|8aLIT|9RCR|aBPWR
7	11461 12121	10	   	277.40	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	1TLV|23aVULN|4DUR|5ASPD|6aDMG|7FEWX|8aLIT|9RCR|aBPWR
8	11431 11121	10	   	277.30	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	1TLV|23aVULN|4DUST|5ASPD|6aDMG|7DUR|8aLIT|9RCR|aBPWR
9	31424 43133	6	 * 	277.03	DCR|3VULN|2DMG|2DUR|1TLV	1ASPD|235VULN|45DMG|5BPWR|6RCVC|7RCR|8aDUR|9TLV
10	11461 13361	9	   	272.99	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1TLV|237VULN|4aDUR|5ASPD|6DMG|8CDMG|9RCR
11	11366 34231	7	 * 	272.72	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG|1SELL	18TLV|258VULN|3MLV|4CDMG|68DUR|7SELL|8BPWR|9RCR|aDMG
12	31253 52413	4	 * 	272.17	DCR|4VULN|3DMG|3ASPD	18aASPD|268aVULN|3RMIN|4RCVC|58aDMG|7TBNT|8aBPWR|9RCR
13	31253 52413	3	   	272.17	DCR|4VULN|3DMG|3ASPD	18aASPD|268aVULN|3RMIN|4RCVC|58aDMG|7TBNT|8aBPWR|9RCR
14	31424 43121	6	 * 	271.88	DCR|4VULN|2DMG|2DUR	1ASPD|235aVULN|45DMG|5BPWR|6RCVC|7RCR|89DUR
15	15253 21462	3	   	271.38	DCR|3VULN|3DMG|3TLV|1AART	19aTLV|2MBVNT|3RMIN|4CGEN|59aVULN|6AART|79aDMG|8RCR|9aBPWR
16	15273 21462	4	   	271.38	DCR|3VULN|3DMG|3TLV|1AART	19aTLV|2MBVNT|3RMIN|4CGEN|59aVULN|6AART|79aDMG|8RCR|9aBPWR
17	15384 21462	4	   	271.28	DCR|3VULN|3DMG|3TLV|1NUKE|1AART	19aTLV|2MBVNT|3MLV|49aDMG|59aVULN|6AART|7NUKE|8RCR|9aBPWR
18	15274 21462	3	   	271.28	DCR|3VULN|3DMG|3TLV|1AART	19aTLV|2MBVNT|3RMIN|4ERES|59aVULN|6AART|79aDMG|8RCR|9aBPWR
19	15312 31462	3	   	271.28	DCR|3VULN|3DMG|3TLV|1NUKE|1AART	19aTLV|2MBVNT|3MLV|4AART|59aVULN|69aDMG|7NUKE|8RCR|9aBPWR
20	15343 31462	3	   	271.28	DCR|3VULN|3DMG|3TLV|1NUKE|1AART	19aTLV|2MBVNT|3MLV|49aVULN|5AART|69aDMG|7NUKE|8RCR|9aBPWR
21	15343 31462	2	   	271.18	DCR|3VULN|3DMG|3TLV|1NUKE|1AART	19aTLV|2MBVNT|3ERES|49aVULN|5AART|69aDMG|7NUKE|8RCR|9aBPWR
22	15743 31462	3	   	271.18	DCR|3VULN|3DMG|3TLV|1NUKE|1AART	19aTLV|2MBVNT|3ERES|49aVULN|5AART|69aDMG|7NUKE|8RCR|9aBPWR
23	11421 16433	10	   	270.63	DCR|3VULN|2DMG|2TLV|1DUR	18TLV|238VULN|4LWND|5ASPD|68DMG|7RPLT|8BPWR|9DUR|aRCR
24	31422 22531	6	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	17ASPD|237VULN|47DMG|5DLOT|6BELT|7BPWR|8TLV|9RCR|aDUR
25	31422 22541	6	   	269.69	DCR|3VULN|3DMG|1TLV|2ASPD	17ASPD|237VULN|479DMG|5DLOT|6BELT|7BPWR|8TLV|aRCR
26	11413 11121	10	   	269.10	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	1TLV|23aVULN|4ZMB|5BEXP|6aDMG|7DUR|8aLIT|9RCR|aBPWR
27	31443 12233	8	   	268.82	DCR|5VULN|2DUR|2ASPD	1aASPD|2359aVULN|4BEXP|6LIT|7RCR|8aDUR|aBPWR
28	31443 12323	7	   	268.82	DCR|5VULN|2DUR|2ASPD	1aASPD|2358aVULN|4BEXP|6LIT|7RCR|9aDUR|aBPWR
29	31411 21426	7	 * 	268.28	ACR|4VULN|3DUR|2DMG|3ASPD	158ASPD|238aVULN|4RCR|678DUR|8aBPWR|9aDMG
30	31424 14322	8	   	267.93	DCR|3VULN|2DMG|2TLV|1CDMG	1ASPD|235VULN|45DMG|5BPWR|6CDMG|78TLV|9RCVC|aRCR
31	11413 52215	3	 * 	267.80	DCR|5VULN|1TLV|1DMG	1TLV|2368aVULN|4DMG|5ASPD|7TBNT|9RCR
32	31423 52215	3	   	267.80	DCR|5VULN|1TLV|1DMG	1ASPD|2368aVULN|4TLV|5DMG|7TBNT|9RCR
33	31413 23441	7	 * 	267.65	ACR|5VULN|3DUR|1TLV|2ASPD	18ASPD|23578VULN|4RCR|68aDUR|8BPWR|9TLV
34	15584 23311	9	 * 	267.57	DCR|5VULN|2TLV|1DMG	15TLV|2MBVNT|3679aVULN|4DMG|8RCR
35	13413 26111	9	 * 	267.42	DCR|3VULN|2TLV|2DUR|1DMG	1aTLV|2DUST|39aVULN|4LIT|5LEGI|6DMG|7aDUR|8RCR|aBPWR
36	31424 23262	10	 * 	267.23	DCR|5VULN|2DMG|2ASPD	1aASPD|23578VULN|45DMG|5BPWR|6CGEN|9RCR
37	11613 43215	3	 * 	267.12	DCR|4VULN|2DMG|3TLV	158TLV|268aVULN|3FEWX|45DMG|58BPWR|78ZMB|9RCR
38	11413 12215	3	   	267.05	DCR|4VULN|2DMG|1TLV	1TLV|238aVULN|46DMG|5ASPD|7TBNT|9RCR
39	31423 12215	3	   	267.05	DCR|4VULN|2DMG|1TLV	1ASPD|238aVULN|4TLV|56DMG|7TBNT|9RCR
40	11163 23226	2	   	267.02	DCR|4VULN|2DMG|2TLV	18TLV|2458VULN|3CGEN|6BEXP|78DMG|8BPWR|9BBNT|aRCR
41	11163 23256	2	   	267.02	DCR|4VULN|2DMG|2TLV	18TLV|2458VULN|3CGEN|6BEXP|78DMG|8BPWR|9TBNT|aRCR
42	11413 43215	2	   	267.02	DCR|4VULN|2DMG|3TLV	158TLV|268aVULN|3DUST|45DMG|58BPWR|78ZMB|9RCR
43	11563 23226	3	   	267.02	DCR|4VULN|2DMG|2TLV	18TLV|2458VULN|3CGEN|6BEXP|78DMG|8BPWR|9BBNT|aRCR
44	11422 23215	3	   	267.02	DCR|4VULN|2DMG|3TLV	148TLV|238aVULN|5ZMB|6BEXP|78DMG|8BPWR|9RCR
45	43343 33631	9	 * 	267.02	DCR|2VULN|3DUR|2DMG|1TLV|1AART	1RCVC|29DMG|359DUR|4BEXP|6TLV|79VULN|8AART|9BPWR|aRCR
46	15584 13311	9	   	266.82	DCR|4VULN|2DMG|2TLV	15TLV|2MBVNT|379aVULN|46DMG|8RCR
47	11413 52213	3	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1TLV|2368VULN|4DMG|5ASPD|7TBNT|9RCR|aDUR
48	31423 52213	3	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1ASPD|2368VULN|4TLV|5DMG|7TBNT|9RCR|aDUR
49	11112 46223	2	 * 	265.67	DCR|4VULN|2DUR|1TLV|1CDMG	1TLV|2678VULN|3CGEN|45DUR|9CDMG|aRCR
50	11512 46223	3	   	265.67	DCR|4VULN|2DUR|1TLV|1CDMG	1TLV|2678VULN|3CGEN|45DUR|9CDMG|aRCR
51	43313 33511	9	 * 	265.66	ACR|4VULN|2DMG|2TLV|2DUR	1RCVC|28DMG|35DUR|4RCR|68TLV|789aVULN|8BPWR
52	15584 23324	8	   	265.48	DCR|4VULN|2TLV|1DMG|1DUR	15TLV|2MBVNT|367aVULN|4DMG|8RCR|9DUR
53	52363 13251	6	   	264.91	ACR|4VULN|2DMG|1TLV|2LIT|1CDMG|1AART	1RCR|2AART|37DMG|4CDMG|57LIT|678aVULN|7BPWR|9TLV
54	31424 22361	9	   	264.48	DCR|3VULN|2DMG|2DUR|1CDMG	1ASPD|235VULN|45DMG|5BPWR|6CGEN|7aDUR|8CDMG|9RCR
55	11122 53346	2	 * 	264.46	DCR|3VULN|3DUR|1TLV|2CDMG	1TLV|26aVULN|3CGEN|4FEWX|56aDUR|6aBPWR|7LWND|8aCDMG|9RCR
56	11312 53346	4	   	264.46	DCR|3VULN|3DUR|1TLV|2CDMG	1TLV|26aVULN|3MLV|4FEWX|56aDUR|6aBPWR|7LWND|8aCDMG|9RCR
57	11322 53346	3	   	264.46	DCR|3VULN|3DUR|1TLV|2CDMG	1TLV|26aVULN|3MLV|4FEWX|56aDUR|6aBPWR|7LWND|8aCDMG|9RCR
58	31424 13261	9	   	264.38	DCR|3VULN|2DMG|2DUR|1CDMG	1ASPD|235VULN|45DMG|5BPWR|6CDMG|7ERES|8aDUR|9RCR
59	11122 52346	2	   	264.36	DCR|3VULN|3DUR|1TLV|2CDMG	1TLV|26aVULN|3CGEN|4FEWX|56aDUR|6aBPWR|7DUST|8aCDMG|9RCR
60	11162 23351	4	 * 	264.36	DCR|3VULN|3DUR|1TLV|1DMG	1TLV|256VULN|3RPLT|45aDUR|5BPWR|7LHND|8RCR|9DMG
61	11312 52346	4	   	264.36	DCR|3VULN|3DUR|1TLV|2CDMG	1TLV|26aVULN|3MLV|4FEWX|56aDUR|6aBPWR|7DUST|8aCDMG|9RCR
62	11322 52346	3	   	264.36	DCR|3VULN|3DUR|1TLV|2CDMG	1TLV|26aVULN|3MLV|4FEWX|56aDUR|6aBPWR|7DUST|8aCDMG|9RCR
63	11322 53346	2	   	264.36	DCR|3VULN|3DUR|1TLV|2CDMG	1TLV|26aVULN|3ERES|4FEWX|56aDUR|6aBPWR|7LWND|8aCDMG|9RCR
64	11332 52346	4	   	264.36	DCR|3VULN|3DUR|1TLV|2CDMG	1TLV|26aVULN|3MLV|4LWND|56aDUR|6aBPWR|7DUST|8aCDMG|9RCR
65	11322 52346	2	   	264.26	DCR|3VULN|3DUR|1TLV|2CDMG	1TLV|26aVULN|3ERES|4FEWX|56aDUR|6aBPWR|7DUST|8aCDMG|9RCR
66	31435 33633	10	 * 	264.15	DCR|3VULN|2DMG|2CDMG|2ASPD|1DUR	1aASPD|238VULN|4aCDMG|5FEWX|6DUR|7RCR|9aDMG|aBPWR
67	31463 33633	8	   	264.09	DCR|5VULN|1TLV|1DUR	1ASPD|23578VULN|4DUR|6TLV|9CGEN|aRCR
68	31463 33633	9	   	264.09	DCR|5VULN|1TLV|1DUR	1ASPD|23578VULN|4DUR|6TLV|9MLV|aRCR
69	43316 13421	6	 * 	263.85	ACR|2VULN|3DMG|3DUR|2TLV|2LIT	1RCVC|267DMG|37aDUR|4RCR|57TLV|7aBPWR|8aLIT|9aVULN
70	31422 22536	6	   	263.70	DCR|3VULN|2DMG|1TLV|2ASPD|1AART	17ASPD|237VULN|47DMG|5DLOT|6BELT|7BPWR|8TLV|9RCR|aAART
71	31411 23425	7	 * 	263.57	ACR|4VULN|2DUR|1TLV|3ASPD|1DMG	158ASPD|2378VULN|4RCR|68DUR|8BPWR|9TLV|aDMG
72	11413 41622	2	   	262.74	DCR|2VULN|3DMG|2TLV|1DUR|1AART	15TLV|26VULN|3DUST|45aDMG|5BPWR|7RCR|8DUR|9AART
73	13413 41622	3	   	262.74	DCR|2VULN|3DMG|2TLV|1DUR|1AART	15TLV|2DUST|36VULN|45aDMG|5BPWR|7RCR|8DUR|9AART
74	31424 43112	6	   	262.45	DCR|3VULN|2DMG|1TLV|1DUR	1ASPD|235VULN|45DMG|5BPWR|6RCVC|7RCR|8DUR|9LHND|aTLV
75	31424 43132	6	   	262.45	DCR|3VULN|2DMG|1TLV|1DUR	1ASPD|235VULN|45DMG|5BPWR|6RCVC|7RCR|8DUR|9TLV|aLWND
76	11613 43213	3	   	262.32	DCR|3VULN|2DMG|3TLV|1DUR	158TLV|268VULN|3FEWX|45DMG|58BPWR|78ZMB|9RCR|aDUR
77	11413 12213	3	   	262.25	DCR|3VULN|2DMG|1TLV|1DUR	1TLV|238VULN|46DMG|5ASPD|7TBNT|9RCR|aDUR
78	31423 12213	3	   	262.25	DCR|3VULN|2DMG|1TLV|1DUR	1ASPD|238VULN|4TLV|56DMG|7TBNT|9RCR|aDUR
79	11413 43213	2	   	262.22	DCR|3VULN|2DMG|3TLV|1DUR	158TLV|268VULN|3DUST|45DMG|58BPWR|78ZMB|9RCR|aDUR
80	11422 23213	3	   	262.22	DCR|3VULN|2DMG|3TLV|1DUR	148TLV|238VULN|5ZMB|6BEXP|78DMG|8BPWR|9RCR|aDUR
81	15383 21216	8	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	18TLV|2MBVNT|3MLV|48DMG|5DUR|6FEWX|78aVULN|8BPWR|9RCR
82	15384 31216	8	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	18TLV|2MBVNT|3MLV|48DMG|5DUST|6DUR|78aVULN|8BPWR|9RCR
83	15584 13324	8	   	262.02	DCR|3VULN|2DMG|2TLV|1DUR	15TLV|2MBVNT|37aVULN|46DMG|8RCR|9DUR
84	11613 43261	3	   	261.72	DCR|3VULN|3DMG|3TLV	158TLV|268VULN|3FEWX|459DMG|58BPWR|78ZMB|aRCR
85	11413 41621	2	 * 	261.67	DCR|2VULN|2DMG|2TLV|2DUR|1AART	15TLV|26VULN|3DUST|45DMG|5BPWR|7RCR|8aDUR|9AART
