0	Index      	Bounty	 *	Score 	Summary	Detail	
1	46232 26313	8	 * 	280.21	DCR|5VULN|2TLV|2ASPD|1DUR	12678VULN|3MLV|48TLV|58ASPD|8BPWR|9RCR|aDUR
2	42321 46312	8	 * 	278.85	DCR|3VULN|3DUR|2TLV|1AART	167VULN|2ASPD|37TLV|4AART|567DUR|67BPWR|8LIT|9RCR|aLHND
3	42321 46313	8	   	278.85	DCR|3VULN|3DUR|2TLV|1AART	167VULN|2ASPD|37TLV|4AART|567DUR|67BPWR|8LIT|9RCR|aRPLT
4	46243 21312	5	 * 	278.49	DCR|3VULN|2DMG|2DUR|1TLV|1AART	129VULN|3MLV|49DUR|5AART|6LHND|7TLV|89DMG|9BPWR|aRCR
5	53321 61333	10	   	278.39	DCR|3VULN|2DMG|2DUR|1TLV|1NUKE|1AART	1NUKE|289VULN|3TLV|4AART|59DUR|69DMG|7RPLT|9BPWR|aRCR
6	42332 11331	5	 * 	278.37	DCR|3VULN|2DMG|2TLV|2ASPD|1DUR	148VULN|25ASPD|38TLV|6BBNT|78DMG|8BPWR|9DUR|aRCR
7	42332 45331	5	   	278.37	DCR|3VULN|2DMG|2TLV|2ASPD|1DUR	148VULN|25ASPD|38TLV|68DMG|7BBNT|8BPWR|9DUR|aRCR
8	42332 65331	6	   	278.37	DCR|3VULN|2DMG|2TLV|2ASPD|1DUR	148VULN|25ASPD|38TLV|68DMG|7BBNT|8BPWR|9DUR|aRCR
9	63373 14431	2	 * 	275.60	DCR|5VULN|2DMG|2LIT|1AART	18LIT|2AART|3MBVNT|45789VULN|68DMG|8BPWR|aRCR
10	63373 14431	1	   	275.60	DCR|5VULN|2DMG|2LIT|1AART	18LIT|2AART|3MBVNT|45789VULN|68DMG|8BPWR|aRCR
11	42312 26313	8	   	272.37	DCR|5VULN|2TLV|1DUR	15678VULN|2ASPD|38TLV|48CGEN|8BPWR|9RCR|aDUR
12	42352 26313	8	   	272.17	DCR|5VULN|2TLV|1DUR	15678VULN|2ASPD|38TLV|48ERES|8BPWR|9RCR|aDUR
13	46115 13221	2	 * 	271.88	DCR|4VULN|2DMG|2DUR	1238VULN|4ASPD|58DMG|6BBNT|78DUR|8BPWR|9CGEN|aRCR
14	42342 26313	8	 * 	271.39	DCR|5VULN|2TLV|3ASPD	15678VULN|28aASPD|38TLV|4RMIN|8BPWR|9RCR
15	46132 26313	8	   	271.39	DCR|5VULN|2TLV|3ASPD	12678VULN|3RMIN|48TLV|58aASPD|8BPWR|9RCR
16	66633 21321	4	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	1LIT|29TLV|3ERES|4DUR|59aVULN|6CGEN|79DMG|8RCR|9BPWR
17	42321 44233	10	   	269.10	DCR|3VULN|2DUR|1TLV|1DMG|1AART	167VULN|2ASPD|3TLV|4AART|56DUR|6BPWR|8RPLT|9DMG|aRCR
18	41521 51312	3	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	149VULN|2MLV|39DUR|5LWND|6DLOT|7TLV|89DMG|9BPWR|aRCR
19	43221 21514	10	 * 	267.52	DCR|4VULN|3DUR|2CDMG	1379VULN|2RPLT|4ASPD|589DUR|69CDMG|9BPWR|aRCR
20	42523 15313	6	   	266.09	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	17VULN|2ASPD|37DUR|4FEWX|5CDMG|67DMG|7BPWR|8TLV|9BEXP|aRCR
21	42523 15322	6	   	266.09	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	17VULN|2ASPD|37DUR|4FEWX|5CDMG|67DMG|7BPWR|8TLV|9LWND|aRCR
22	12366 31361	6	   	265.70	DCR|4VULN|2DMG|1DUR	19BEXP|2ASPD|359aVULN|4LIT|6DUR|79DMG|8RCR|9BPWR
23	46133 14311	6	 * 	265.65	DCR|4VULN|3DUR|1TLV	1278VULN|3RMIN|4TLV|578DUR|678BEXP|78BPWR|9CGEN|aRCR
24	46133 24311	6	   	265.65	DCR|4VULN|3DUR|1TLV	1278VULN|3RMIN|4TLV|578DUR|678FEWX|78BPWR|9CGEN|aRCR
25	46134 11331	5	 * 	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1258VULN|3RMIN|45TLV|5BPWR|6BBNT|7DMG|9DUR|aRCR
26	46135 11331	4	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1258VULN|3RMIN|45TLV|5BPWR|6BBNT|7DMG|9DUR|aRCR
27	53331 64311	4	   	265.55	DCR|4VULN|3DUR|1TLV|1NUKE	1NUKE|2478VULN|3TLV|578BEXP|678DUR|78BPWR|9CGEN|aRCR
28	53333 14311	6	   	265.55	DCR|4VULN|3DUR|1TLV|1NUKE	1NUKE|2478VULN|3TLV|578DUR|678BEXP|78BPWR|9CGEN|aRCR
29	53333 24311	6	   	265.55	DCR|4VULN|3DUR|1TLV|1NUKE	1NUKE|2478VULN|3TLV|578DUR|678FEWX|78BPWR|9CGEN|aRCR
30	53334 11331	5	   	265.48	DCR|4VULN|2TLV|1DMG|1DUR|1NUKE	1NUKE|2458VULN|35TLV|5BPWR|6BBNT|7DMG|9DUR|aRCR
