0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35225 43122	3	 * 	301.85	DCR|4VULN|3DMG|1TLV|1DUR	1RPLT|247DMG|3457VULN|47BPWR|6RCR|8LIT|9TLV|aDUR
2	23222 24441	8	 * 	296.21	DCR|3VULN|3DMG|3DUR|1CDMG	189DUR|289DMG|3CDMG|4LHND|5RPLT|689VULN|7LEGI|89BPWR|aRCR
3	33252 11441	8	   	296.21	DCR|3VULN|3DMG|3DUR|1CDMG	1RPLT|289DUR|3LWND|489VULN|5CDMG|6DUST|789DMG|89BPWR|aRCR
4	41225 33423	9	 * 	295.47	ACR|5VULN|3DMG|3ASPD|1DUR	189DMG|289ASPD|3ZMB|4RCR|5DUR|6789aVULN|89BPWR
5	42233 12436	8	 * 	294.83	DCR|5VULN|2DMG|1TLV|1CDMG	17DMG|27BEXP|3CDMG|4TLV|5679aVULN|7BPWR|8RCR
6	42233 12436	6	   	294.83	DCR|5VULN|2DMG|1TLV|1CDMG	18DMG|28BEXP|3CDMG|4TLV|5678aVULN|8BPWR|9RCR
7	42233 12536	8	   	294.83	DCR|5VULN|2DMG|1TLV|1CDMG	17DMG|27BEXP|3CDMG|4TLV|5678aVULN|7BPWR|9RCR
8	63233 12436	6	   	294.83	DCR|5VULN|2DMG|1TLV|1CDMG	18BEXP|28DMG|3CDMG|4TLV|5678aVULN|8BPWR|9RCR
9	63233 12436	8	   	294.83	DCR|5VULN|2DMG|1TLV|1CDMG	17BEXP|27DMG|3CDMG|4TLV|5679aVULN|7BPWR|8RCR
10	63233 12536	8	   	294.83	DCR|5VULN|2DMG|1TLV|1CDMG	17BEXP|27DMG|3CDMG|4TLV|5678aVULN|7BPWR|9RCR
11	35225 43323	3	 * 	294.23	DCR|5VULN|3DMG|1CDMG	1RPLT|247DMG|34578VULN|47BPWR|6RCR|9CDMG|aZMB
12	35225 43321	3	   	294.13	DCR|5VULN|3DMG|1CDMG	1RPLT|247DMG|34578VULN|47BPWR|6RCR|9CDMG|aTBNT
13	23156 13422	9	 * 	293.01	DCR|3VULN|3DUR|2DMG|3CDMG	189DUR|24DMG|3RPLT|589CDMG|6RMIN|789VULN|89BPWR|aRCR
14	41225 33421	10	   	292.18	ACR|4VULN|3DMG|3ASPD|1TLV|1DUR	189DMG|289ASPD|3ZMB|4RCR|5DUR|6789VULN|89BPWR|aTLV
15	43311 43352	4	 * 	291.88	DCR|4VULN|3DMG|2DUR	147DMG|2RCVC|3478VULN|47BPWR|5RPLT|6RCR|9aDUR
16	43312 43352	5	   	291.88	DCR|4VULN|3DMG|2DUR	147DMG|2RCVC|3478VULN|47BPWR|5RPLT|6RCR|9aDUR
17	42233 12431	6	   	290.94	DCR|4VULN|3DMG|1TLV|1CDMG	18aDMG|28BEXP|3CDMG|4TLV|5678VULN|8BPWR|9RCR
18	42233 12431	8	   	290.94	DCR|4VULN|3DMG|1TLV|1CDMG	17aDMG|27BEXP|3CDMG|4TLV|5679VULN|7BPWR|8RCR
19	42233 12531	8	   	290.94	DCR|4VULN|3DMG|1TLV|1CDMG	17aDMG|27BEXP|3CDMG|4TLV|5678VULN|7BPWR|9RCR
20	63233 12431	6	   	290.94	DCR|4VULN|3DMG|1TLV|1CDMG	18BEXP|28aDMG|3CDMG|4TLV|5678VULN|8BPWR|9RCR
21	63233 12431	8	   	290.94	DCR|4VULN|3DMG|1TLV|1CDMG	17BEXP|27aDMG|3CDMG|4TLV|5679VULN|7BPWR|8RCR
22	63233 12531	8	   	290.94	DCR|4VULN|3DMG|1TLV|1CDMG	17BEXP|27aDMG|3CDMG|4TLV|5678VULN|7BPWR|9RCR
23	23141 12626	10	   	286.97	DCR|3VULN|3DUR|2DMG|2CDMG	179DUR|27DMG|3RPLT|4RMIN|5RCVC|679VULN|79BPWR|89CDMG|aRCR
24	35225 43123	3	   	285.60	DCR|4VULN|3DMG|1TLV	1RPLT|247DMG|3457VULN|47BPWR|6RCR|8LIT|9TLV|aFEWX
25	35225 43132	3	   	285.60	DCR|4VULN|3DMG|1DUR	1RPLT|247DMG|3457VULN|47BPWR|6RCR|8LIT|9ZMB|aDUR
26	35225 43113	3	   	285.50	DCR|4VULN|3DMG|1DUR	1RPLT|247DMG|3457VULN|47BPWR|6RCR|8LIT|9TBNT|aDUR
27	35225 43121	3	   	285.50	DCR|4VULN|3DMG|1TLV	1RPLT|247DMG|3457VULN|47BPWR|6RCR|8LIT|9TLV|aTBNT
28	41225 33421	9	   	284.24	ACR|4VULN|3DMG|3ASPD|1DUR	189DMG|289ASPD|3ZMB|4RCR|5DUR|6789VULN|89BPWR|aLIT
