0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51334 11383	1	 * 	274.06	DCR|5VULN|2DUR|1TLV	1267aVULN|34DUR|5TLV|8MBVNT|9RCR
2	51133 32236	3	 * 	273.21	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV|1SELL	15aVULN|2SELL|3aDUR|4DMG|6BELT|7TLV|8aASPD|9RCR|aBPWR
3	51331 34251	1	 * 	271.66	DCR|4VULN|3DUR|1DMG	1278VULN|349DUR|5RPLT|6RCR|aDMG
4	51155 33123	3	 * 	271.62	DCR|4VULN|3DUR|3TLV|1SELL	147aVULN|2SELL|37aDUR|57aTLV|6BELT|7aBPWR|8RCVC|9RCR
5	51123 33332	5	 * 	271.52	DCR|4VULN|3DUR|2TLV|1SELL	179aVULN|2SELL|347DUR|57TLV|6BELT|7BPWR|8RCR
6	51125 33332	4	 * 	271.52	DCR|4VULN|3DUR|2TLV|1SELL	179aVULN|2SELL|347DUR|57TLV|6BELT|7BPWR|8RCR
7	11323 14322	1	 * 	269.84	DCR|4VULN|2DMG|1CDMG|1ASPD	1CGEN|23DMG|4ASPD|5689VULN|7CDMG|aRCR
8	51242 33226	1	   	269.24	DCR|5VULN|1TLV|1DUR|1AART	12457VULN|3AART|6LHND|8RCR|9DUR|aTLV
9	21353 11313	1	 * 	269.10	DCR|5VULN|1DMG|1CDMG	1LWND|24567VULN|3DMG|8LIT|9CDMG|aRCR
10	53353 11313	2	   	269.10	DCR|5VULN|1DMG|1CDMG	14567VULN|2LWND|3DMG|8LIT|9CDMG|aRCR
11	53553 11313	3	   	269.10	DCR|5VULN|1DMG|1CDMG	14567VULN|2LWND|3DMG|8LIT|9CDMG|aRCR
12	52353 11313	2	   	269.00	DCR|5VULN|1DMG|1CDMG	14567VULN|2DUST|3DMG|8LIT|9CDMG|aRCR
13	52553 11313	3	   	269.00	DCR|5VULN|1DMG|1CDMG	14567VULN|2DUST|3DMG|8LIT|9CDMG|aRCR
14	51123 33336	5	 * 	268.94	DCR|3VULN|3DUR|2TLV|1DMG|1SELL	179VULN|2SELL|347DUR|57TLV|6BELT|7BPWR|8RCR|aDMG
15	51125 33336	4	 * 	268.94	DCR|3VULN|3DUR|2TLV|1DMG|1SELL	179VULN|2SELL|347DUR|57TLV|6BELT|7BPWR|8RCR|aDMG
16	51331 34225	1	   	268.10	DCR|4VULN|2DUR|1DMG|1AART	1278VULN|34DUR|5RPLT|6RCR|9DMG|aAART
17	51334 11382	1	   	267.75	DCR|4VULN|3DUR|1TLV	1267VULN|34aDUR|5TLV|8MBVNT|9RCR
18	51121 32636	4	 * 	266.91	DCR|2VULN|3DUR|2DMG|1TLV|1ASPD|1SELL	1aVULN|2SELL|34aDUR|5ASPD|6BELT|7TLV|8aDMG|9RCR|aBPWR
19	53232 16331	6	 * 	266.84	DCR|4VULN|2DUR|2TLV	147aVULN|2LWND|37DUR|57TLV|6RPLT|7BPWR|8LIT|9RCR
20	51331 31234	1	 * 	266.81	DCR|3VULN|3DUR|2DMG	12aVULN|34aDUR|5RPLT|6RCR|7FEWX|8BEXP|9aDMG|aBPWR
21	55253 12122	7	 * 	266.76	DCR|3VULN|2DUR|3LIT|2CDMG|1ASPD	15aVULN|246LIT|3ASPD|7aDUR|8aCDMG|9RCR|aBPWR
22	53234 14333	4	   	266.56	DCR|4VULN|3DUR|2LIT	148aVULN|2LWND|36aDUR|5TBNT|7RCR|9aLIT|aBPWR
23	53222 51523	8	   	265.83	DCR|4VULN|2DUR|1TLV|1ASPD	189aVULN|2LWND|38DUR|4TLV|5ASPD|6RCR|78MLV|8BPWR
24	51331 31312	1	 * 	265.37	DCR|3VULN|3DUR|2CDMG|1TLV	12aVULN|34aDUR|5RPLT|6RCR|7FEWX|8TLV|9aCDMG|aBPWR
25	51533 31621	1	 * 	263.79	ACR|4VULN|2DMG|2DUR|2TLV	129aVULN|3RCR|46DUR|5aTLV|7aDMG|8BBNT|aBPWR
26	51516 22211	1	 * 	263.47	ACR|5VULN|2DMG|2DUR	1267aVULN|3RCR|46CGEN|5TBNT|6aBPWR|8aDUR|9aDMG
27	55631 32312	1	 * 	262.57	DCR|4VULN|2ASPD|1DMG|1CDMG	1468VULN|2LHND|3CDMG|56ASPD|6BPWR|7CGEN|9DMG|aRCR
28	53231 26611	9	   	261.46	DCR|4VULN|3DUR|1AART	1479VULN|29LWND|369DUR|5BELT|8AART|9BPWR|aRCR
29	21353 21323	1	   	261.44	DCR|4VULN|2DMG|1DUR	1LWND|245aVULN|37DMG|6LHND|8DUR|9RCR
30	53353 21323	2	   	261.44	DCR|4VULN|2DMG|1DUR	145aVULN|2LWND|37DMG|6LHND|8DUR|9RCR
31	53553 21323	3	   	261.44	DCR|4VULN|2DMG|1DUR	145aVULN|2LWND|37DMG|6LHND|8DUR|9RCR
32	51133 36622	3	   	261.20	DCR|4VULN|2DMG|1DUR|1SELL	157aVULN|2SELL|3DUR|48DMG|6BELT|9RCR
33	64135 22321	9	 * 	260.23	DCR|3VULN|3DUR|3LIT|1ASPD	189LIT|234DUR|5ASPD|689VULN|789BEXP|89BPWR|aRCR
34	21353 51323	1	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1LWND|245aVULN|3DMG|6MLV|7TLV|8DUR|9RCR
35	21353 52313	1	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1LWND|245aVULN|3DMG|6MLV|7RCR|8DUR|9TLV
36	53353 51323	2	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	145aVULN|2LWND|3DMG|6MLV|7TLV|8DUR|9RCR
37	53353 52313	2	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	145aVULN|2LWND|3DMG|6MLV|7RCR|8DUR|9TLV
38	53153 11313	3	   	260.04	DCR|5VULN|1CDMG|1ASPD	14567VULN|2LWND|3ASPD|8LIT|9CDMG|aRCR
39	51331 36322	1	   	260.03	DCR|3VULN|3DUR|1DMG|1ASPD	128VULN|347DUR|5RPLT|6RCR|8BPWR|9DMG|aASPD
40	52153 11313	3	   	259.94	DCR|5VULN|1CDMG|1ASPD	14567VULN|2DUST|3ASPD|8LIT|9CDMG|aRCR
41	53233 12154	4	 * 	259.93	DCR|3VULN|3DUR|2ASPD|1AART	14aVULN|2LWND|36aDUR|5AART|7aASPD|8RCR|9BBNT|aBPWR
42	51123 25236	6	 * 	259.53	DCR|2VULN|3DUR|2ASPD|1DMG|1TLV|1SELL	1aVULN|2SELL|34aDUR|5TLV|6DMG|7BELT|8aASPD|9RCR|aBPWR
43	53516 11323	6	   	258.77	DCR|3VULN|2ASPD|1DMG|1TLV|1DUR	16aVULN|24LWND|3DMG|56ASPD|6BPWR|7TLV|8DUR|9RCR
44	51331 34215	1	   	258.44	DCR|4VULN|2DUR|1DMG	1278VULN|34DUR|5RPLT|6RCR|9FEWX|aDMG
45	51331 34222	1	   	258.44	DCR|4VULN|2DUR|1DMG	1278VULN|34DUR|5RPLT|6RCR|9DMG|aMLV
46	51331 34223	1	   	258.44	DCR|4VULN|2DUR|1DMG	1278VULN|34DUR|5RPLT|6RCR|9DMG|aBELT
47	51331 34235	1	   	258.44	DCR|4VULN|2DUR|1DMG	1278VULN|34DUR|5RPLT|6RCR|9BEXP|aDMG
48	51331 34432	1	   	258.44	DCR|4VULN|2DUR|1DMG	127aVULN|34DUR|5RPLT|6RCR|8ZMB|9DMG
49	51331 34224	1	   	258.34	DCR|4VULN|2DUR|1DMG	1278VULN|34DUR|5RPLT|6RCR|9DMG|aDUST
50	65432 12733	10	 * 	258.17	DCR|3VULN|3DMG|3LIT	18aLIT|2MBVNT|38aDMG|4DLOT|5MLV|6DUST|78aVULN|8aBPWR|9RCR
51	51331 23126	1	   	258.03	DCR|3VULN|3DUR|1ASPD|1AART	126VULN|346DUR|5RPLT|6BPWR|7LIT|8ASPD|9AART|aRCR
52	51331 34232	1	   	257.91	DCR|5VULN|2DUR	1278aVULN|34DUR|5RPLT|6RCR|9BEXP
53	51331 34262	1	   	257.91	DCR|5VULN|2DUR	1278aVULN|34DUR|5RPLT|6RCR|9LWND
54	53231 26313	10	   	257.91	DCR|5VULN|2DUR	14789VULN|2LWND|36DUR|5BELT|aRCR
55	53232 16332	6	   	257.85	DCR|3VULN|2DUR|2TLV|1CDMG	147VULN|2LWND|37DUR|57TLV|6RPLT|7BPWR|8LIT|9RCR|aCDMG
56	53633 23351	2	   	257.85	DCR|3VULN|2DUR|1DMG|1CDMG	146VULN|2aLWND|3CDMG|56DUR|6BPWR|7DMG|8LIT|9RCR
57	51335 11383	1	   	257.81	DCR|5VULN|2DUR	1267aVULN|34DUR|5CGEN|8MBVNT|9RCR
