0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62143 33153	1	 * 	297.88	DCR|3VULN|3DUR|2DMG|2CDMG|1ASPD	139VULN|23CDMG|39BPWR|49DMG|5MLV|6ASPD|7RCR|89aDUR
2	62153 33341	1	 * 	294.75	DCR|4VULN|2DUR|1DMG|2CDMG|1TLV	1358VULN|23CDMG|3BPWR|4aDUR|6DMG|7RCR|9TLV
3	62142 63321	1	   	289.50	DCR|4VULN|2DUR|1DMG|2CDMG|1ASPD	1358VULN|23CDMG|3BPWR|4DMG|6aDUR|7RCR|9ASPD
4	62153 33321	1	   	289.50	DCR|4VULN|2DUR|1DMG|2CDMG|1ASPD	1358VULN|23CDMG|3BPWR|4aDUR|6DMG|7RCR|9ASPD
5	62523 33341	1	   	288.34	DCR|4VULN|2DUR|1DMG|1TLV|1CDMG	1458VULN|2CDMG|3aDUR|6DMG|7RCR|9TLV
6	62153 33141	1	   	285.34	DCR|3VULN|3DUR|1DMG|2CDMG|1TLV	135VULN|23CDMG|3BPWR|48aDUR|6DMG|7RCR|9TLV
7	62143 33151	1	   	284.65	DCR|3VULN|2DMG|2DUR|2CDMG|1ASPD	139VULN|23CDMG|39BPWR|49DMG|5MLV|6ASPD|7RCR|89DUR|aLWND
8	62143 33152	1	   	284.55	DCR|3VULN|2DMG|2DUR|2CDMG|1ASPD	139VULN|23CDMG|39BPWR|49DMG|5MLV|6ASPD|7RCR|89DUR|aBBNT
9	62142 63313	1	 * 	283.46	DCR|5VULN|1DMG|2CDMG|1DUR	1358aVULN|23CDMG|3BPWR|4DMG|6DUR|7RCR|9BELT
10	62153 33313	1	   	283.46	DCR|5VULN|1DMG|2CDMG|1DUR	1358aVULN|23CDMG|3BPWR|4DUR|6DMG|7RCR|9BELT
11	62523 33321	1	   	283.09	DCR|4VULN|2DUR|1DMG|1CDMG|1ASPD	1458VULN|2CDMG|3aDUR|6DMG|7RCR|9ASPD
12	61423 13314	8	 * 	282.56	DCR|3VULN|3DMG|3DUR	189VULN|2CGEN|3DLOT|489DUR|5RMIN|689DMG|7RCVC|89BPWR|aRCR
13	62153 33335	1	 * 	281.26	DCR|4VULN|2DMG|2CDMG|1DUR|1SELL	1358VULN|23CDMG|3BPWR|4DUR|6aDMG|7RCR|9SELL
14	51132 55212	10	 * 	281.18	DCR|4VULN|3DUR|1DMG|1SELL	1SELL|256DUR|346aVULN|6BPWR|7DMG|8AART|9RCR
15	62122 55212	10	 * 	281.18	DCR|4VULN|3DUR|1DMG|1SELL	136aVULN|2SELL|456DUR|6BPWR|7DMG|8AART|9RCR
16	62153 33343	1	   	280.17	DCR|4VULN|1DMG|2CDMG|1TLV|1DUR	1358VULN|23CDMG|3BPWR|4DUR|6DMG|7RCR|9TLV|aRPLT
17	62142 63121	1	   	280.09	DCR|3VULN|3DUR|1DMG|2CDMG|1ASPD	135VULN|23CDMG|3BPWR|4DMG|68aDUR|7RCR|9ASPD
18	62153 33121	1	   	280.09	DCR|3VULN|3DUR|1DMG|2CDMG|1ASPD	135VULN|23CDMG|3BPWR|48aDUR|6DMG|7RCR|9ASPD
19	62153 33342	1	   	280.07	DCR|4VULN|1DMG|2CDMG|1TLV|1DUR	1358VULN|23CDMG|3BPWR|4DUR|6DMG|7RCR|9TLV|aDUST
20	62523 33141	1	   	278.92	DCR|3VULN|3DUR|1DMG|1TLV|1CDMG	145VULN|2CDMG|38aDUR|6DMG|7RCR|9TLV
21	62142 63113	1	   	278.50	DCR|4VULN|2DUR|1DMG|2CDMG	135aVULN|23CDMG|3BPWR|4DMG|68DUR|7RCR|9BELT
22	62153 33113	1	   	278.50	DCR|4VULN|2DUR|1DMG|2CDMG	135aVULN|23CDMG|3BPWR|48DUR|6DMG|7RCR|9BELT
23	62153 33263	1	   	278.50	DCR|4VULN|2DUR|2CDMG|1DMG	1359VULN|23CDMG|3BPWR|4aDUR|6DMG|7RCR|8BEXP
24	62153 33353	1	   	278.40	DCR|4VULN|2DUR|1DMG|2CDMG	1358VULN|23CDMG|3BPWR|4aDUR|6DMG|7RCR|9DUST
25	62146 33333	1	 * 	278.39	DCR|3VULN|3CDMG|2ASPD|1DMG|1TLV	138VULN|238CDMG|38BPWR|4DMG|5TLV|68ASPD|7RCR|9RCVC|aAART
26	62143 33153	2	   	277.57	DCR|3VULN|3DUR|2DMG|1ASPD|1SELL	139VULN|2SELL|39BPWR|49DMG|5MLV|6ASPD|7RCR|89aDUR
27	62143 33153	3	   	277.57	DCR|3VULN|3DUR|2DMG|1ASPD|1SELL	139VULN|2SELL|49DMG|5MLV|6ASPD|7RCR|89aDUR|9BPWR
28	62523 33313	1	   	277.04	DCR|5VULN|1DMG|1DUR|1CDMG	1458aVULN|2CDMG|3DUR|6DMG|7RCR|9BELT
29	62142 62233	1	   	276.83	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR|1ASPD	135VULN|23CDMG|3BPWR|4DMG|6DUR|7LIT|8ASPD|9TLV|aRCR
30	62153 32233	1	   	276.83	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR|1ASPD	135VULN|23CDMG|3BPWR|4DUR|6DMG|7LIT|8ASPD|9TLV|aRCR
31	64114 32211	5	   	276.81	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1579VULN|2DMG|3LIT|4CDMG|6RCR|8ASPD|aTLV
32	66114 32211	5	   	276.81	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1579VULN|2ASPD|3LIT|4CDMG|6RCR|8DMG|aTLV
33	64112 31163	8	   	276.41	DCR|3VULN|3DMG|1DUR|1CDMG	169VULN|258DMG|3LIT|4CDMG|7DUR|aRCR
34	62153 13341	6	 * 	276.22	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR|1SELL	138VULN|2SELL|4CGEN|58DMG|68ASPD|7RCR|8BPWR|9TLV|aDUR
35	62153 33341	5	 * 	276.22	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR|1SELL	138VULN|2SELL|4CGEN|58DMG|68ASPD|7RCR|8BPWR|9TLV|aDUR
36	62153 13326	6	 * 	275.88	DCR|4VULN|2DMG|3ASPD|1SELL	138aVULN|2SELL|4CGEN|58DMG|689ASPD|7RCR|8BPWR
37	62153 33326	5	 * 	275.88	DCR|4VULN|2DMG|3ASPD|1SELL	138aVULN|2SELL|4CGEN|58DMG|689ASPD|7RCR|8BPWR
38	64116 11322	3	   	275.02	DCR|3VULN|3DUR|2DMG	157VULN|28DMG|3LIT|456DUR|5BPWR|9MLV|aRCR
