0	Index      	Bounty	 *	Score 	Summary	Detail	
1	24223 84722	10	 * 	278.50	DCR|4VULN|2DUR|2TLV|1DMG	1RCVC|28TLV|3MBVNT|48DUR|5789VULN|6RCR|8BPWR|aDMG
2	24223 84733	10	   	272.09	DCR|4VULN|2DUR|2TLV|1CDMG	1RCVC|28TLV|3MBVNT|48DUR|578aVULN|6RCR|8BPWR|9CDMG
3	24223 84714	8	 * 	271.66	DCR|4VULN|3DUR|2TLV	1RCVC|28TLV|3MBVNT|48aDUR|5789VULN|6RCR|8BPWR
4	24223 84724	9	   	271.66	DCR|4VULN|3DUR|2TLV	1RCVC|28TLV|3MBVNT|48aDUR|5789VULN|6RCR|8BPWR
5	23611 32113	8	 * 	269.87	DCR|3VULN|2DMG|2ASPD|1TLV|1AART	1RCVC|2AART|37aVULN|47ASPD|5RMIN|67DMG|7BPWR|8TLV|9RCR
6	23621 62513	7	 * 	268.70	DCR|4VULN|2DMG|1CDMG|1AART	1RCVC|2AART|3478VULN|57BEXP|67DMG|7BPWR|9CDMG|aRCR
7	24223 84733	8	   	266.86	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1RCVC|28TLV|3MBVNT|48DUR|578VULN|6RCR|8BPWR|9ASPD|aDMG
8	11341 16335	6	   	263.52	DCR|3VULN|2DMG|1DUR|2LIT|1AART	19LWND|29LIT|3DUR|4AART|56aVULN|79DMG|8RCR|9BPWR
9	23231 65135	2	   	261.56	DCR|4VULN|3DUR|1AART	1RCVC|2AART|3TBNT|478BEXP|5789VULN|678DUR|789BPWR|aRCR
10	23625 63121	10	   	260.82	DCR|3VULN|2DMG|2LIT|1CDMG|1AART	1RCVC|2AART|34aVULN|5aLIT|6CDMG|7DUST|8aDMG|9RCR|aBPWR
11	23512 43121	10	 * 	260.58	DCR|3VULN|2DMG|2CDMG|1AART	1RCVC|2AART|3aCDMG|45aVULN|6LIT|7DUST|8aDMG|9RCR|aBPWR
12	24223 84734	9	   	259.11	DCR|3VULN|2DUR|2TLV|1CDMG|1AART	1RCVC|28TLV|3MBVNT|48DUR|578VULN|6RCR|8BPWR|9CDMG|aAART
13	23626 12216	8	 * 	258.68	DCR|4VULN|2ASPD|1DMG|1AART	1RCVC|2AART|347aVULN|57LWND|67ASPD|7BPWR|8DMG|9RCR
14	23611 32114	9	 * 	258.62	DCR|2VULN|3DMG|2ASPD|1TLV|1AART	1RCVC|2AART|37VULN|47ASPD|5RMIN|679DMG|7BPWR|8TLV|aRCR
15	23611 32224	8	   	258.62	DCR|2VULN|3DMG|2ASPD|1TLV|1AART	1RCVC|2AART|37VULN|47ASPD|5RMIN|678DMG|7BPWR|9TLV|aRCR
16	23623 12216	8	   	258.48	DCR|4VULN|2ASPD|1DMG|1AART	1RCVC|2AART|347aVULN|5LEGI|67ASPD|7BPWR|8DMG|9RCR
17	24223 84711	8	   	258.44	DCR|4VULN|2DUR|2TLV	1RCVC|28TLV|3MBVNT|48DUR|5789VULN|6RCR|8BPWR|aRPLT
18	24223 84712	8	   	258.44	DCR|4VULN|2DUR|2TLV	1RCVC|28TLV|3MBVNT|48DUR|5789VULN|6RCR|8BPWR|aFEWX
19	24223 84713	8	   	258.44	DCR|4VULN|2DUR|2TLV	1RCVC|28TLV|3MBVNT|48DUR|5789VULN|6RCR|8BPWR|aZMB
20	24223 84721	9	   	258.44	DCR|4VULN|2DUR|2TLV	1RCVC|28TLV|3MBVNT|48DUR|5789VULN|6RCR|8BPWR|aRPLT
21	24223 84722	9	   	258.44	DCR|4VULN|2DUR|2TLV	1RCVC|28TLV|3MBVNT|48DUR|5789VULN|6RCR|8BPWR|aFEWX
22	24223 84723	9	   	258.44	DCR|4VULN|2DUR|2TLV	1RCVC|28TLV|3MBVNT|48DUR|5789VULN|6RCR|8BPWR|aZMB
23	24223 84723	10	   	258.44	DCR|4VULN|2DUR|2TLV	1RCVC|28TLV|3MBVNT|48DUR|5789VULN|6RCR|8BPWR|aBELT
24	24223 84724	10	   	258.44	DCR|4VULN|2DUR|2TLV	1RCVC|28TLV|3MBVNT|48DUR|5789VULN|6RCR|8BPWR|aCGEN
25	24223 84721	10	   	258.34	DCR|4VULN|2DUR|2TLV	1RCVC|28TLV|3MBVNT|48DUR|5789VULN|6RCR|8BPWR|aDUST
26	23631 56333	3	 * 	258.19	DCR|2VULN|2DMG|2DUR|1CDMG|1AART	1RCVC|2AART|39VULN|4LIT|59DUR|6LEGI|79DMG|8RCR|9BPWR|aCDMG
27	11313 53346	3	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LWND|2LIT|39DUR|458VULN|6DMG|7CDMG|aRCR
28	24223 84732	10	   	257.75	DCR|3VULN|2DUR|2TLV|1CDMG	1RCVC|28TLV|3MBVNT|48DUR|578VULN|6RCR|8BPWR|9CDMG|aLIT
29	15652 31221	10	   	256.57	DCR|4VULN|1DMG|1ASPD|1AART	1LWND|239aVULN|4AART|5DMG|6LIT|7ASPD|8RCR
30	35652 31221	10	   	256.47	DCR|4VULN|1DMG|1ASPD|1AART	1DUST|239aVULN|4AART|5DMG|6LIT|7ASPD|8RCR
31	24223 84743	9	   	255.86	DCR|3VULN|2DUR|2TLV|1DMG	1RCVC|28TLV|3MBVNT|48DUR|578VULN|6RCR|8BPWR|9RMIN|aDMG
32	24223 84743	8	   	255.86	DCR|3VULN|2DUR|2TLV|1DMG	1RCVC|28TLV|3MBVNT|48DUR|578VULN|6RCR|8BPWR|9CGEN|aDMG
33	24223 84723	8	   	255.76	DCR|3VULN|2DUR|2TLV|1DMG	1RCVC|28TLV|3MBVNT|48DUR|578VULN|6RCR|8BPWR|9TBNT|aDMG
34	23621 51513	4	   	255.29	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1RCVC|2AART|348VULN|56DUR|7TLV|9CDMG|aRCR
35	62337 52442	8	   	254.95	DCR|4VULN|2DMG|1AART	18FEWX|2ZMB|3MBVNT|48DMG|578aVULN|6AART|8BPWR|9RCR
36	23623 62533	7	   	254.75	DCR|4VULN|2DMG|1AART	1RCVC|2AART|3478VULN|5LEGI|67DMG|7BPWR|9TBNT|aRCR
37	32337 52442	8	   	254.75	DCR|4VULN|2DMG|1AART	18DUST|2ZMB|3MBVNT|48DMG|578aVULN|6AART|8BPWR|9RCR
38	24223 12434	6	   	254.52	DCR|4VULN|2DUR|1TLV	1RCVC|2TLV|3MBVNT|4aDUR|5678VULN|9RCR
39	24223 18434	7	   	254.52	DCR|4VULN|2DUR|1TLV	1RCVC|2TLV|3MBVNT|4aDUR|5678VULN|9RCR
40	24288 12434	6	   	254.52	DCR|4VULN|2DUR|1TLV	1RCVC|2TLV|3MBVNT|4578VULN|6aDUR|9RCR
41	21426 42121	10	   	254.37	DCR|3VULN|2DMG|1CDMG|1AART	1RCVC|2aLWND|3AART|47aVULN|5LIT|6CDMG|8aDMG|9RCR|aBPWR
42	22426 42121	10	   	254.37	DCR|3VULN|2DMG|1CDMG|1AART	1RCVC|2aLHND|3AART|47aVULN|5LIT|6CDMG|8aDMG|9RCR|aBPWR
43	23426 42121	10	   	254.37	DCR|3VULN|2DMG|1CDMG|1AART	1RCVC|2AART|3aLWND|47aVULN|5LIT|6CDMG|8aDMG|9RCR|aBPWR
44	11341 16325	6	   	253.76	DCR|3VULN|2DUR|1DMG|1AART	1LWND|2LIT|39DUR|4AART|56aVULN|7DMG|8RCR
45	23512 43631	10	 * 	253.76	DCR|3VULN|2DUR|2CDMG|1AART	1RCVC|2AART|3aCDMG|45aVULN|6LIT|7DUST|8RCR|9aDUR|aBPWR
46	23631 53335	3	   	253.76	DCR|3VULN|2DUR|2TLV|1AART	1RCVC|2AART|39aVULN|4LIT|59DUR|6LEGI|79TLV|8RCR|9BPWR
47	23611 32613	7	   	253.62	DCR|3VULN|2DMG|2ASPD|1AART	1RCVC|2AART|37aVULN|47ASPD|5RMIN|67DMG|7BPWR|8CGEN|9RCR
48	23621 12216	10	   	253.62	DCR|3VULN|2DMG|2ASPD|1AART	1RCVC|2AART|347VULN|57BEXP|67ASPD|7BPWR|89DMG|aRCR
