0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33414 21211	10	 * 	277.16	DCR|3VULN|3DMG|1TLV|1CDMG|1AART	1RMIN|29aLWND|39aDMG|4TLV|5AART|6RCR|7CDMG|89aVULN|9aBPWR
2	11123 24511	1	 * 	273.73	DCR|3VULN|2DMG|2DUR|2ASPD|2LIT	1RCVC|27aVULN|3aDMG|47DUR|57ASPD|6LEGI|7aBPWR|8RCR|9aLIT
3	13123 24511	2	   	273.73	DCR|3VULN|2DMG|2DUR|2ASPD|2LIT	1RCVC|27aVULN|3aDMG|47DUR|57ASPD|6LEGI|7aBPWR|8RCR|9aLIT
4	13231 33122	8	 * 	272.49	DCR|4VULN|2DMG|1TLV|1CDMG	1RCVC|2367VULN|4TLV|58DMG|9CDMG|aRCR
5	31233 66363	1	 * 	270.37	DCR|2VULN|3DMG|3TLV|3ASPD|1AART	1RMIN|278DMG|3aVULN|48aTLV|58aASPD|6RCR|8aBPWR|9AART
6	31233 56311	1	 * 	268.09	DCR|2VULN|3DMG|2DUR|1TLV	1RMIN|278DMG|38VULN|4TLV|5ASPD|68DUR|8BPWR|9RCR|aBEXP
7	31233 56312	1	   	268.09	DCR|2VULN|3DMG|2DUR|1TLV	1RMIN|278DMG|38VULN|4TLV|5ASPD|68DUR|8BPWR|9RCR|aLHND
8	31233 56314	1	   	268.09	DCR|2VULN|3DMG|2DUR|1TLV	1RMIN|278DMG|38VULN|4TLV|5ASPD|68DUR|8BPWR|9RCR|aRCVC
9	31233 56342	1	   	268.09	DCR|2VULN|3DMG|2DUR|1TLV	1RMIN|278DMG|38VULN|4TLV|5ASPD|68DUR|8BPWR|9BEXP|aRCR
10	31233 56313	1	   	267.99	DCR|2VULN|3DMG|2DUR|1TLV	1RMIN|278DMG|38VULN|4TLV|5ASPD|68DUR|8BPWR|9RCR|aTBNT
11	31233 56316	1	   	267.99	DCR|2VULN|3DMG|2DUR|1TLV	1RMIN|278DMG|38VULN|4TLV|5ASPD|68DUR|8BPWR|9RCR|aDUST
12	12233 67512	3	 * 	267.84	DCR|3VULN|3DMG|2DUR|1AART	1RCVC|249DMG|3MBVNT|59aVULN|6AART|79DUR|8RCR|9BPWR
13	11123 44511	1	   	265.98	DCR|3VULN|2DMG|2DUR|2LIT	1RCVC|27aVULN|37DMG|4aDUR|5ASPD|67BEXP|7aBPWR|8RCR|9aLIT
14	13123 44511	2	   	265.98	DCR|3VULN|2DMG|2DUR|2LIT	1RCVC|27aVULN|37DMG|4aDUR|5ASPD|67BEXP|7aBPWR|8RCR|9aLIT
15	12223 24511	2	   	264.69	DCR|2VULN|3DMG|2DUR|2ASPD|2LIT	1RCVC|27aDMG|3aVULN|47DUR|57ASPD|6LEGI|7aBPWR|8RCR|9aLIT
16	15223 24511	1	   	264.69	DCR|2VULN|3DMG|2DUR|2ASPD|2LIT	1RCVC|27aDMG|3aVULN|47DUR|57ASPD|6LEGI|7aBPWR|8RCR|9aLIT
17	31213 52366	1	 * 	264.05	DCR|3VULN|3DUR|2DMG	1RMIN|28DMG|378VULN|4ERES|5ASPD|68aDUR|8BPWR|9RCR
18	13233 15166	9	 * 	262.32	DCR|3VULN|2DMG|2TLV|1DUR	1RCVC|239VULN|49TLV|5BEXP|6LHND|7RCR|89DMG|9BPWR|aDUR
19	13233 15161	10	 * 	261.72	DCR|3VULN|3DMG|2TLV	1RCVC|239VULN|49TLV|5BEXP|6LHND|7RCR|89aDMG|9BPWR
20	13233 35161	10	   	261.62	DCR|3VULN|3DMG|2TLV	1RCVC|239VULN|49TLV|5BEXP|6DUST|7RCR|89aDMG|9BPWR
21	13233 66161	10	   	261.62	DCR|3VULN|3DMG|2TLV	1RCVC|239VULN|49TLV|5BEXP|6RCR|7DUST|89aDMG|9BPWR
22	33414 21215	9	   	261.30	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1RMIN|29LWND|39DMG|4TLV|5AART|6RCR|7CDMG|89aVULN|9BPWR
